id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
lee-fl-overture-f181d34b,Wings of Shelter,shelter,"21301 S Tamiami Trail, Estero",26.429868698120117,-81.80810546875,+12393402980,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.paypal.com/US/fundraiser/charity/1366757
lee-fl-overture-f89faedb,Gladiolus Food Pantry,meal,"10511 Gladiolus Dr, Fort Myers",26.518083572387695,-81.9278564453125,+12394378122,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://gladiolusfoodpantry.org
lee-fl-overture-dcb981b2,Saint Martin De Porres Outreach Community Ministry,meal,"4711 Palm Beach Blvd, Fort Myers",26.675888061523438,-81.81432342529297,12392184345,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.smdpoutreach.org
lee-fl-overture-a1b330a8,The South Fort Myers Food Pantry Coalition,meal,"8260 Cypress Lake Dr, Fort Myers",26.54652976989746,-81.8916015625,+12396283191,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.southfortmyersfoodpantry.org/
lee-fl-overture-4fd9b0de,The Salvation Army Center Of Hope,shelter,"2400 Edison Ave, Fort Myers",26.633060455322266,-81.86386108398438,12393343745,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.southernusa.salvationarmy.org
lee-fl-overture-c1aceb30,Fort Myers Christian Outreach Center,meal,"3500 Fowler St, Fort Myers",26.612897872924805,-81.86241912841797,+12394816262,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/fmcocchurch
lee-fl-overture-b055edac,Café of Life,meal,"26724 Nomad Dr, Bonita Springs",26.350305557250977,-81.76338958740234,+12394959325,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://cafeoflife.org
lee-fl-overture-366f2f52,Pine Island Food Pantry,meal,"12175 Stringfellow Rd, Bokeelia",26.637531280517578,-82.1268310546875,+17605297238,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://pineislandfoodpantry.org/
lee-fl-overture-5ca9d517,Cape Coral Bootstrap Homeless Ministry - Food Pantry - Soup Kitchen,meal,"2691 NE Pine Island Rd, Cape Coral",26.67935562133789,-81.91761779785156,12398982331,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.bootstraphomelessministry.com
lee-fl-overture-dde7e7cd,"Servants Of Christ Outreach, Inc",meal,"50 Bell Blvd N, Lehigh Acres",26.60228729248047,-81.61045837402344,2397220792,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
lee-fl-overture-7863e307,Wesley Community Food Pantry,meal,"4141 Deleon St, Fort Myers",26.601303100585938,-81.8760986328125,+12399362200,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://bit.ly/3ivtXr6
lee-fl-overture-a9421acb,FISH of Sanibel-Captiva,meal,"2422 Periwinkle Way, Sanibel",26.436100006103516,-82.07842254638672,+12394724775,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.fishofsancap.org/
lee-fl-overture-9a5c5c24,Beach Choice Market - Food Pantry - Fort Myers Beach,meal,"130 Connecticut St, Fort Myers Beach",26.442970275878906,-81.92988586425781,12394636452,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://beachbaptist.org
lee-fl-overture-5025a77f,Harry Chapin Food Bank,meal,"3760 Fowler St, Fort Myers",26.60725212097168,-81.86283874511719,+12393347007,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.harrychapinfoodbank.org
lee-fl-overture-79a7ad3d,Café of Life,meal,"10540 Childers St, Bonita Springs",26.339431762695312,-81.77819061279297,+12394959325,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://cafeoflife.org/
lee-fl-overture-a2c7e026,Our Lady’s Cupboard-food Pantry,meal,"13031 Palm Beach Blvd, Fort Myers",26.704345703125,-81.74337768554688,12396943985,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.stvincentftmyers.org
lee-fl-overture-40338784,We Care-food Pantry,meal,"4544 Coronado Pkwy, Cape Coral",26.567779541015625,-81.95852661132812,12392573473,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.fpcfl.org
lee-fl-overture-88e93fa7,McGregor Baptist Food Pantry,meal,"3341 Fowler St, Fort Myers",26.616182327270508,-81.8616943359375,+12399361754,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.mcgregor.net/food-pantry
