id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
lehigh-pa-overture-472c5054,Eastside Food Pantry,meal,"614 S Carlisle St, Allentown",40.60354995727539,-75.44402313232422,+16108204067,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://communitybikeworks.org/
lehigh-pa-overture-1cd95e86,Sharing Life,meal,"St Mark Lutheran Church - Allentown, 201 E Juniata St, Allentown",40.590213775634766,-75.4482421875,+16107379718,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://stmarkallentown.org/sharinglife.html
lehigh-pa-overture-f5f6166f,Betty Lou's Pantry,meal,"538 Thomas St, Coopersburg",40.5087890625,-75.39057922363281,+14848985482,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.bettylouspantry.com/
lehigh-pa-overture-a629797b,Northern Lehigh Food Bank,meal,"7884 Center St, Washington Twp",40.74574661254883,-75.63597869873047,+16107679525,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.shfblv.org/county_lehigh.php
lehigh-pa-overture-b2c13ef0,Groceries PLUS Food Bank,meal,"418 Elm St, Emmaus",40.537593841552734,-75.49500274658203,+16109652682,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.bethelbfc.com/
lehigh-pa-overture-f5f505ef,Allentown Area Ecumenical Food Bank,meal,"417 N 14th St, Allentown",40.604732513427734,-75.48875427246094,+16108211332,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://allentownfoodbank.org/
lehigh-pa-overture-f1ba3aaa,Family Promise of Lehigh Valley,shelter,"1346 Hamilton St, Allentown",40.5982666015625,-75.48553466796875,+16103511368,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fplehighvalley.org/
lehigh-pa-overture-90346b52,Allentown Ecumenical Food Bank,meal,"245 N 6th St, Allentown",40.606868743896484,-75.47122192382812,+16108211332,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://allentownfoodbank.org
lehigh-pa-overture-a72f03db,Parkland CARES Food Pantry,meal,"5074 Kernsville Rd, Orefield",40.63295364379883,-75.59754180908203,+14846565277,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.parklandcaresfp.org/
lehigh-pa-overture-723a8a91,Catasauqua Food Bank,meal,"527 Front St, Catasauqua",40.65399932861328,-75.47531127929688,+16102648366,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.shfblv.org/county_lehigh.php
lehigh-pa-overture-3c18dfe6,Sixth Street Shelter,shelter,"219 N 6th St, Allentown",40.60626983642578,-75.47086334228516,+16104351490,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://sixthstreetshelter.caclv.org/
lehigh-pa-overture-ca4cc2ff,Allentown Rescue Mission,shelter,"355 Hamilton St, Allentown",40.60469436645508,-75.4632568359375,+16107405500,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.allentownrescuemission.org/
