id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
little-rock-overture-62b4b946,Our House,shelter,"302 E Roosevelt Rd, Little Rock",34.72455596923828,-92.26915740966797,+15013747383,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://ourhouseshelter.org/
little-rock-overture-4fd47d2b,The Gaines House,shelter,"1702 S Gaines St, Little Rock",34.73318862915039,-92.2809066772461,+15013764015,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.thegaineshouse.org/
little-rock-overture-8e95df5f,River Valley Food 4 Kids,meal,"3001 E H St, Russellville",35.28415298461914,-93.09894561767578,+14792231544,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.rivervalleyfood4kids.org/
little-rock-overture-21967a92,Spirit of Vilonia,shelter,"1113 Main St, Vilonia",35.084041595458984,-92.20745086669922,+15017335344,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
little-rock-overture-c55553d9,The Orchard - Little Rock,meal,"6221 Colonel Glenn Rd, Little Rock",34.715423583984375,-92.3448486328125,+15013505632,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.vineandvillage.org/programs/the-orchard
little-rock-overture-c93f588d,Bethlehem House,shelter,"930 Faulkner St, Conway",35.09380340576172,-92.4434814453125,+15013294862,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.bethlehemhouse.net/
little-rock-overture-43b0be65,Open Arms Shelter,shelter,"1500 Navajo Trl, Lonoke",34.77129364013672,-91.91405487060547,+15016766166,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.openarmsshelter.org
little-rock-overture-9ee50cb7,Cjcohn,meal,"103 E Elm St, Benton",34.55705261230469,-92.58672332763672,+15017762912,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.bentoncourier.com/news/shelter-agents-donate-funds-to-cjcohn/article_0358db3c-9c36-11ea-9bba-3ba14991802b.html
little-rock-overture-b1c523f3,Neighbor To Neighbor,meal,"1419 S Pine St, Pine Bluff",34.21473693847656,-92.00394439697266,+18705342883,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
little-rock-overture-e29fe39d,Purple Purse,shelter,"1514 S State St, Pine Bluff",34.21367263793945,-92.00232696533203,+18705367777,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.casawomensshelter.org/
