id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
lucas-oh-overture-c5bc9453,Mom's House,shelter,"2505 Franklin Ave, Toledo",41.67153549194336,-83.5461196899414,+14192415554,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.momshousetoledo.org
lucas-oh-overture-44c16f19,Lutheran Social Services of Northwestern Ohio Food Pantry,meal,"2149 Collingwood Blvd, Toledo",41.66365051269531,-83.55531311035156,+14192439178,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.lssnwo.org/
lucas-oh-overture-f32845fe,Food For All Pantry,meal,"4030 Douglas Rd, Toledo",41.69303512573242,-83.60332489013672,+14194731294,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.Aldersgatetoledoumc.org/
lucas-oh-overture-7c443f8f,Toledo Northwestern Ohio Food Bank,meal,"24 E Woodruff Ave, Toledo",41.659881591796875,-83.54432678222656,+14192425000,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.toledofoodbank.org/
lucas-oh-overture-e38f93e2,Rebekah’s Haven,shelter,"703 Phillips Ave, Toledo",41.69113540649414,-83.56105041503906,14192430403,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.tgrm.org
lucas-oh-overture-f460b962,Family House,shelter,"669 Indiana Ave, Toledo",41.65018844604492,-83.56005859375,+14192425505,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://lfhtoledo.org/
lucas-oh-overture-3cda956b,South Side Life Station,meal,"402 South Ave, Toledo",41.63084411621094,-83.54846954345703,+14192423340,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://lifestationtoledo.com/
lucas-oh-overture-cff42988,Helping Hands of St Louis,shelter,"443 6th St, Toledo",41.64381790161133,-83.52127075195312,+14196910613,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.helpinghandstoledo.org
lucas-oh-overture-885ee111,Leading Families Home,shelter,"2283 Ashland Ave, Toledo",41.66599655151367,-83.55355072021484,+14192442175,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.lfhtoledo.org/
lucas-oh-overture-8c93e118,Food For Thought,meal,"3350 Hill Ave, Toledo",41.6388053894043,-83.62251281738281,+14196540235,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://feedtoledo.org/
lucas-oh-overture-2d91db18,SeaGate Food Bank,meal,"526 High St, Toledo",41.6374397277832,-83.5511245727539,+14192446996,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.seagatefoodbank.org/
lucas-oh-overture-8d804a44,Toledo Gospel Rescue Mission Donation Warehouse,shelter,"117 W Woodruff Ave, Toledo",41.66021728515625,-83.54755401611328,+14192416579,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://tgrm.org/
lucas-oh-overture-2b762281,Naomi Transitional Housing,shelter,"2321 Warren St, Toledo",41.66753387451172,-83.54712677001953,+14192444824,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.naomith.org/
lucas-oh-overture-414286b1,The Sparrow's Nest,shelter,"436 W Delaware Ave, Toledo",41.67125701904297,-83.55426788330078,+14193211835,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://cherrystreetmission.blogspot.com/2007/08/sparrows-nest.html
lucas-oh-overture-d90ad1fd,Anthony Wayne Food Pantry,meal,"10926 Maumee St, Whitehouse",41.51895523071289,-83.80508422851562,+14198775820,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.zionumcwhitehouse.org/
lucas-oh-overture-87fb2272,Beach House Family Shelter,shelter,"915 N Erie St, Toledo",41.659576416015625,-83.5291748046875,+14192419277,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.beachhousetoledo.org
lucas-oh-overture-a615921b,Islamic Food Bank Of Toledo,meal,"1804 Monroe St, Toledo",41.65498352050781,-83.5494155883789,14194874277,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://islamicfoodbank.org
lucas-oh-overture-b1256142,"Safety Net, Youth Runaway & Homeless Shelter, Zepf Center",shelter,"2005 Ashland Ave, Toledo",41.66143035888672,-83.55165100097656,+14192060926,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.zepfcenter.org/safety-net/
lucas-oh-overture-d143469c,Mustard Seed Outreach Ministry,meal,"5420 302nd St, Toledo",41.71916580200195,-83.47734832763672,+14197271800,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.pointplaceucc.com/mustard-seed-ministry.html
lucas-oh-overture-5223587b,The Life Revitalization Center,shelter,"1501 Monroe St, Toledo",41.652984619140625,-83.5474624633789,+14192425141,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.cherrystreetmission.org/facilities
lucas-oh-overture-a9ea6bd4,Marketplace for All People,meal,"1201 Madison Ave, Toledo",41.65474319458008,-83.54269409179688,+14192438284,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://stpaulsumctoledo.com/
