id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
madison-al-overture-5d19361b,Manna House,meal,"2110 Memorial Pkwy SW, Huntsville",34.717926025390625,-86.59376525878906,+12565034848,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.mymannahouse.com/
madison-al-overture-446f504d,Downtown Rescue Mission,shelter,"1400 NW Evangel Dr, Huntsville",34.73979187011719,-86.64070129394531,+12565362441,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://tinyurl.com/DRMAmazonWishList
madison-al-overture-f8925ddc,Salvation Army Emergency Shelter,shelter,"305 Seminole Dr SW, Huntsville",34.7208366394043,-86.59691619873047,+12565368876,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.salvationarmyusa.org/
madison-al-overture-6dbb8b80,The Dwelling Place,meal,"980 Hughes Rd, Madison",34.72956085205078,-86.74229431152344,+12568370365,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.asburyumcmadison.com/bookstore
madison-al-overture-ab5a3f44,Food Distribution Center - First Seventh-day Adventist Church,meal,"1035 Putman Dr NW, Huntsville",34.73885726928711,-86.6391830444336,12568528360,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.firstsdachurch.com
madison-al-overture-d08893c3,New Futures,shelter,"3419 Venona Ave NW, Huntsville",34.77069091796875,-86.59595489501953,+12569293215,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.newfuturesinc.com/
madison-al-overture-04231d47,Inside-out Ministries - Food Distribution Center,meal,"103 Gin Oaks Ct, Madison",34.69023132324219,-86.75263214111328,12563255193,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: inside-outministries.org
madison-al-overture-2fa9aaab,Meadow Drive Baptist Church - Food Distribution Center,meal,"1000 Meadow Dr NW, Huntsville",34.7325325012207,-86.6098403930664,12563370663,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: www.calcoisd.org
madison-al-overture-b42220ac,Breaking-Free Rescue Mission,shelter,"4005 Triana Blvd SW, Huntsville",34.69504165649414,-86.60963439941406,2568823334,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.breakingfreerescuemission.org/
madison-al-overture-e2291952,House of the Harvest,meal,"9144 Wall Triana Hwy, Harvest",34.858795166015625,-86.7492446899414,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://houseoftheharvest.org/
madison-al-overture-915c8854,Food Bank of North Alabama,meal,"225 Finney Dr SW, Huntsville",34.64332580566406,-86.7516098022461,+12565392256,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.foodbanknorthal.org/
