id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
maricopa-az-overture-084112cf,Chandler Christian Community Center,meal,"345 S California St, Chandler",33.298030853271484,-111.84358978271484,+14809631423,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.chandlerfoodbank.org
maricopa-az-overture-b61e9c4b,A New Leaf | East Valley Men's Center,shelter,"2345 N Country Club Dr, Mesa",33.45832443237305,-111.83920288085938,14806106722,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.turnanewleaf.org
maricopa-az-overture-c6f9e6f2,Foothills Food Bank,meal,"6038 E Hidden Valley Dr, Cave Creek",33.831417083740234,-111.95053100585938,4804881145,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.foothillsfoodbank.com/
maricopa-az-overture-ff5db7b2,AZCEND,meal,"345 S California St, Chandler",33.29800033569336,-111.84356689453125,+14809631423,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://azcend.org/
maricopa-az-overture-d3ea6562,City Hope,meal,"925 N Mcqueen Rd  Ste 105, Gilbert",33.36655044555664,-111.82381439208984,14809005422,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: weston1.k12.wy.us
maricopa-az-overture-5c79b38b,Mission Kitchen 153,meal,"6056 E Baseline Rd  Ste 137, Mesa",33.38097381591797,-111.69972229003906,16025054664,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://fountainoflife.tv
maricopa-az-overture-b4bb241f,Extended Hands Food Bank,meal,"16939 E Colony Dr, Fountain Hills",33.596588134765625,-111.71437072753906,+14808370303,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.ehfb.org/
maricopa-az-overture-cc34081b,Barbara Robey Community Pantry,meal,"5340 N Wigwam Creek Blvd, Litchfield Park",33.51299285888672,-112.33052062988281,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://affcb.org/
maricopa-az-overture-12d06883,Vista Del Camino - Food Distribution Center,meal,"7700 E Roosevelt St, Scottsdale",33.4597053527832,-111.91438293457031,14803122323,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: scottsdalecommunitypartners.org
maricopa-az-overture-e8dcdb1e,Scottsdale Senior Services,meal,"7700 E Roosevelt St  # 107, Scottsdale",33.4597053527832,-111.91438293457031,14803123111,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: scottsdalecommunitypartners.org
maricopa-az-overture-fecb8519,Family Promise Greater Phoenix,shelter,"7447 E Earll Dr, Scottsdale",33.483863830566406,-111.91983795166016,+14806595227,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.familypromiseaz.org/
maricopa-az-overture-fc701ca9,Salvation Army: Chandler Corps - Food Distribution Center,meal,"85 E Saragosa St, Chandler",33.294551849365234,-111.83993530273438,14809632041,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://centralusa.salvationarmy.org/indiana
maricopa-az-overture-333e7386,Matthew's Crossing Food Bank,meal,"1368 N Arizona Ave, Chandler",33.32695388793945,-111.84269714355469,+14808572296,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.matthewscrossing.org/
maricopa-az-overture-e07edf2d,United Food Bank,meal,"245 S Nina Dr, Mesa",33.410037994384766,-111.85055541992188,+14809264897,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/UnitedFoodBank
maricopa-az-overture-12fedd7c,Desert Manna Food Pantry,meal,"590 N 96th St, Mesa",33.4251708984375,-111.6245346069336,+14802330658,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://desertmannafoodpantry.org/
maricopa-az-overture-772378e9,Centennial Village,shelter,"By Appointment Only, 130 W Brown Rd, Mesa",33.43561935424805,-111.83491516113281,+14808336036,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.centennialvillage.org
maricopa-az-overture-49e4b502,A New Leaf | West Valley Housing Assistance Center,shelter,"12779 W Grand Ave, Surprise",33.626258850097656,-112.33573150634766,16238505611,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.turnanewleaf.org
