id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
marion-or-overture-3c976bfd,Sheltering Silverton,shelter,"830B McClaine St, Silverton",45.00617218017578,-122.79753875732422,+15035094797,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.shelteringsilverton.org/
marion-or-overture-bbd8269f,Silverton Area Community Aid,meal,"421 S Water St, Silverton",45.002906799316406,-122.78094482421875,5038733446,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://silvertonareacommunityaid.org/
marion-or-overture-e39c47b9,The ARCHES Project,shelter,"615 Commercial St NE, Salem",44.946533203125,-123.0380630493164,+15033999080,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://mwvcaa.org/programs/the-arches-project/
marion-or-overture-a3ff41d6,Jefferson Community Food Pantry,meal,"310 N 2nd St, Jefferson",44.719932556152344,-123.01044464111328,+15035107126,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
marion-or-overture-43dda9f6,Church at the Park - Young Adult Shelter,shelter,"2410 Turner Rd SE, Salem",44.90753173828125,-122.99291229248047,+19713720549,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.church-at-the-park.org/
marion-or-overture-79caf5da,St Vincent De Paul Society,meal,"3745 Portland Rd Ne  Ste 190, Salem",44.974464416503906,-123.0042953491211,15033643210,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: svdpusa.org
marion-or-overture-80408936,Silverton Area Community Aid,meal,"1030 N 1st St Ste A, Silverton",45.01409912109375,-122.78479766845703,+15038733446,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://silvertonareacommunityaid.org/
marion-or-overture-2608ec79,"Ugm Of Salem, Men's Mission",shelter,"345 Commercial St NE, Salem",44.943199157714844,-123.03954315185547,+15033623983,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.ugmsalem.org
marion-or-overture-b73c8d72,Marion Polk Food Share,meal,"1660 Salem Industrial Dr NE, Salem",44.97245407104492,-123.01020812988281,+15035813855,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.marionpolkfoodshare.org/ways-to-give/give-now/
marion-or-overture-7fd696f0,St Joseph Shelter,shelter,"925 S Main St, Mt Angel",45.061607360839844,-122.80398559570312,+15038456147,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://stjosephshelter.org/
marion-or-overture-2b68485b,St. Francis Family Housing,shelter,"1820 Berry St SE, Salem",44.92356491088867,-123.03237915039062,+15035880428,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://secure.qgiv.com/event/saddleup26/
marion-or-overture-a8656e8c,Highland Hooligans,shelter,"1290 Highland Ave NE, Salem",44.95978927612305,-123.0166015625,+19717180582,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
marion-or-overture-36cbb551,Stayton Community Food Bank,meal,"1210 Wilco Rd, Stayton",44.80323791503906,-122.81468963623047,+15037694088,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.usda.gov/non-discrimination-statement
marion-or-overture-b920dfed,Keizer Community Food Bank,meal,"4505 River Rd N, Keizer",44.990013122558594,-123.02684783935547,+15039317612,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://givebox.com/support-your-community-food-bank-26035
marion-or-overture-16b49cd0,Mission Of Hope,meal,"822 Industrial Way NE, Silverton",45.008522033691406,-122.79745483398438,+15038737353,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://scf.tv/ministries/missions/
