id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
mchenry-il-overture-ac541677,Helping Hands Food Pantry,meal,"2020 US-12 Unit B, Spring Grove",42.438026428222656,-88.23701477050781,+18152457345,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
mchenry-il-overture-929dcea0,"Home of the Sparrow, Inc.",shelter,"4209 W Shamrock Ln Unit B, McHenry",42.31431579589844,-88.28073120117188,8152715444,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
mchenry-il-overture-019dec49,Blessing Barn,meal,"8310 Railroad St, Crystal Lake",42.26777267456055,-88.35995483398438,+18153820206,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.blessingbarn.org/
mchenry-il-overture-365cd2b5,Grafton Food Pantry,meal,"11481 Allison Ct, Huntley",42.154502868652344,-88.42015838623047,+18474950922,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.graftonfoodpantry.org/
mchenry-il-overture-528252ec,Woodstock Food Pantry,meal,"1033 Lake Ave, Woodstock",42.30288314819336,-88.4309310913086,+18153370375,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.woodstockfoodpantry.org/
mchenry-il-overture-9379c792,FISH of McHenry Food Pantry,meal,"3515 N Richmond Rd, Johnsburg",42.378082275390625,-88.27293395996094,+18153444717,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fishofmchenry.org/
mchenry-il-overture-6b8f7d89,Crystal Lake Food Pantry,meal,"42 East St, Crystal Lake",42.24185562133789,-88.31124877929688,+18154550961,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://clfoodpantry.org/
mchenry-il-overture-38d7ff7c,Algonquin-Lith Food Pantry,meal,"1113 Pyott Rd, Lake in the Hills",42.18675994873047,-88.30754089355469,+18478541904,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://alithfoodpantry.org/
mchenry-il-overture-0a6d95be,Harvard Community Food Pantry,meal,"6817 Harvard Hills Rd, Harvard",42.42601013183594,-88.59932708740234,+18159434909,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.visitmchenrycounty.com/Harvard-Community-Food-Pantry
mchenry-il-overture-6f3d8559,Sparrow's Nest Thrift Store,shelter,"781 S Randall Rd, Algonquin",42.16254425048828,-88.33466339111328,8474582420,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.hosparrow.org/sparrowsnest/
