id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
miami-dade-fl-overture-26e20221,Farm Share,meal,"14125 SW 320th St, Homestead",25.47065544128418,-80.41863250732422,+13052463276,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.farmshare.org/
miami-dade-fl-overture-1f8b1077,Trinity Church/peacemakers - Food Distribution Center,meal,"655 NW 125th St, North Miami",25.89061737060547,-80.2101058959961,17868884673,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: trinitychurch.tv
miami-dade-fl-overture-2ccc43dc,Build A Better Tomorrow - Food Distribution Center,meal,"1510 NE 162nd St, North Miami Beach",25.924509048461914,-80.16915893554688,13059442222,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.buildabettertomorrow.org
miami-dade-fl-overture-65190d10,Bezerra de Menezes Food Pantry,meal,"6450 NW 77th Ct, Miami",25.832420349121094,-80.32280731201172,+17863467709,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.spiritist.com/
miami-dade-fl-overture-e7a11e2b,Miami Gardens Food Pantry,meal,"18041 NW 22nd Ave, Miami Gardens",25.939090728759766,-80.23696899414062,+13056104004,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
miami-dade-fl-overture-c043e457,Casa Familia,shelter,"10951 SW 84th St, Miami",25.69087028503418,-80.37055969238281,+17865058887,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.casafamiliainc.org/
miami-dade-fl-overture-5419fbbd,Friends of the Food Pantry,meal,"20740 Old Cutler Rd, Cutler Bay",25.574430465698242,-80.3432388305664,+13052356651,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.cornerstonefoodpantry.com/
miami-dade-fl-overture-019f52cc,Cityreach Ministries-food Distribution-registration Required - Food Distribution Center,meal,"12236 SW 128th St, Miami",25.649003982543945,-80.39217376708984,13052597677,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.cityreachministries.com
miami-dade-fl-overture-3cc81e9a,JCS Kosher Food Bank,meal,"15455 W Dixie Hwy, Miami",25.918010711669922,-80.15974426269531,+13059478093,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://jcsfl.org/mm-orientation-for-volunteers
miami-dade-fl-overture-8d235c9b,Miami Kosher Food Bank,meal,"1622 NE 205th Terrace Suite B, Miami",25.9641056060791,-80.16913604736328,+13052193353,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.Miamikosherfoodbank.org/
miami-dade-fl-overture-c2bf6990,Pepe' Save A Life',meal,"12300 SW 51st St, Miami",25.717721939086914,-80.39405822753906,+13057881556,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
miami-dade-fl-overture-bafdf95b,St. Anne's Gardens,shelter,"11800 Quail Roost Dr, Miami",25.588544845581055,-80.38224792480469,+13052341994,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.catholichealthservices.org/low-income-housing/st-annes-gardens
miami-dade-fl-overture-d12aed31,Pass It On Ministries Inc,meal,"14617 NW 7th Ave, Miami",25.90886878967285,-80.21146392822266,+13056811594,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://passitonministries.org/
miami-dade-fl-overture-46ae70dd,Healthy Always 365 Food Pantry,meal,"1031 Ives Dairy Rd, Miami",25.965709686279297,-80.18221282958984,+13057030903,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://healthyalways365foodpantry.org/
miami-dade-fl-overture-a2162bad,Biscayne Senior Housing,shelter,"28655 SW 153rd Ave, Homestead",25.501033782958984,-80.43840789794922,+13052467744,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.centrocampesino.org
miami-dade-fl-overture-717a9691,Purple Vine Refuge Inc,shelter,"20200 W Dixie Hwy  Ste 902, Aventura",25.963191986083984,-80.14789581298828,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://purplevinerefugeinc.org
