id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
milwaukee-osm-b9ab84f2,The Gathering at Running Rebels,meal,"1300 West Fond du Lac Avenue, Milwaukee, WI, 53205",43.0536464,-87.9285329,+14142724122,,,,,,,,,,,,,,"Mo-Fr 08:30-09:30, 11:30-12:30",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/6641472438
milwaukee-osm-6419c293,Ascension Saint Ben's Clinic,medical,,43.0438802,-87.924111,+14147650606,,,,,,,,,,,,,,"Mo,We,Th 08:00-16:00 || Tu 08:00-13:00 ""Appointment Only",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/6653455247
milwaukee-osm-f5815a6a,Saint Ben's Community Meal,meal,"930 West State Street, Milwaukee, WI, 53233",43.043394,-87.9241191,+14142710135,,,,,,,,,,,,,,Su-Fr 17:15-18:30,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/6653455248
milwaukee-osm-9b4d9fe3,Robles FoodShare Resource Center,meal,"802 West Historic Mitchell Street, Milwaukee, WI, 53204",43.0124499,-87.9214832,+14142386484,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12056074476
milwaukee-osm-0349b04b,NourishMKE,meal,"10230 West Fond du Lac Avenue, Milwaukee, WI, 53224",43.1396238,-88.0393334,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12574604284
milwaukee-osm-7effb4f3,UMOS South Side Food Pantry,meal,"2701 South Chase Avenue, Milwaukee, WI, 53207",42.9949137,-87.9133809,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13253330436
milwaukee-osm-0034f338,Gathering Meal at Mount Carmel,meal,"8421 West Center Street, Milwaukee, WI, 53222",43.0682357,-88.0177698,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13259772273
milwaukee-osm-ba293e12,St. Rose Food Pantry,meal,"540 North 31st Street, Milwaukee, WI, 53208",43.0370262,-87.9520972,+14143421778,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13259791757
milwaukee-osm-8646d78f,Unity Food Pantry,meal,"1007 East Oklahoma Avenue, Milwaukee, WI, 53207",42.9880822,-87.8963216,+14147446311,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13259795773
milwaukee-osm-45a89c0e,Souls Harbor Baptist Church Food Pantry,meal,"3800 South Howell Avenue, Milwaukee, WI, 53207",42.975469,-87.9091587,+14143421234,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13259810402
milwaukee-osm-8b0666e7,Brentwood Church of Christ Food Pantry,meal,"6425 North 60th Street, Milwaukee, WI, 53223",43.1356511,-87.9864496,+14143536757,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13259861997
milwaukee-osm-5c859d91,Good Samaritan Outreach Center,meal,"5924 West Burnham Street, West Allis, WI, 53214",43.0102923,-87.9870574,+14145417668,,,,,,,,,,,,,,We-Th 10:30-12:30,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13630155465
milwaukee-osm-06640773,The Cathedral Center,shelter,"845 North Van Buren Street, Milwaukee, WI, 53202",43.0424136,-87.9035712,+14148310394,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/392848483
milwaukee-osm-f7e07c0f,Friendship House,shelter,"1029 North Marshall Street, Milwaukee, WI, 53202",43.0446259,-87.9012695,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/394686801
milwaukee-osm-cdaab65d,Sojourner Family Peace Center,shelter,"619 West Walnut Street, Milwaukee, WI, 53212-3839",43.0518817,-87.9191814,+14149332722,,,,,,,,,,,,,,24/7,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/420446443
milwaukee-osm-45be646b,The Salvation Army Emergency Lodge & Social Services Department,shelter,"1730 North 7th Street, Milwaukee, 53205",43.0535643,-87.9196496,+14142656360,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/450836241
milwaukee-osm-4cc0a136,Pathfinders Youth Shelter,shelter,"1612;1614 East Kane Place, Milwaukee, WI, 53202",43.0557404,-87.890641,+14142711560,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/458178807
milwaukee-osm-f9a46320,Autumn West Safe Haven,shelter,"3410 West Lisbon Avenue, Milwaukee, WI, 53208",43.0547524,-87.9568145,+14146716337,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/662495082
milwaukee-osm-30704fc6,Feeding America Eastern Wisconsin Milwaukee Campus,meal,"1700 West Fond du Lac Avenue, Milwaukee, WI, 53205",43.0573754,-87.9331272,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/662653935
milwaukee-osm-d7f57ccc,Milwaukee Rescue Mission,shelter,,43.0409493,-87.9360201,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/1097532999
