id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
minneapolis-osm-d5c64cf7,Simpson Shelter (Temporary Location),shelter,"128 West 33rd Street, Minneapolis, MN, 55408",44.9432571,-93.2810618,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/777793294
minneapolis-osm-e0ceab19,Passage Community,shelter,"17 East 24th Street, Minneapolis, MN, 55404",44.9590663,-93.2768993,+16128707781,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/4630861998
minneapolis-osm-bfa46778,Abria Pregnancy Resources,medical,"2200 University Avenue West, Saint Paul, MN, 55114",44.9609572,-93.1912967,+16513501179,,,,,,,,,,,,,,Mo-Fr 08:00-16:30; Sa 08:00-13:30,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/7152738758
minneapolis-osm-e2dfbe2c,Sabathani Community Center Food Shelf,meal,"310 East 38th Street, Minneapolis, MN, 55409",44.9344391,-93.2720828,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/9130363724
minneapolis-osm-612a5130,Calvary Food Shelf,meal,,44.9322431,-93.2620259,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/11645865194
minneapolis-osm-06ac3caf,Groveland Food Shelf,meal,"1900 Nicollet Avenue, Minneapolis, MN, 55403",44.963941,-93.2789345,+16128710277,,,,,,,,,,,,,,"Mo,We,Fr 09:30-12:00; Tu,Th 15:00-17:30",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/11751851449
minneapolis-osm-6082c80b,Free Sunday Meal at Plymouth Congregational Church,meal,"1900 Nicollet Avenue, Minneapolis, MN, 55403",44.9638323,-93.2785059,,,,,,,,,,,,,,,"Su[2,3] 17:00-18:00",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/11919216900
minneapolis-osm-9e9a2d22,Community Meals,meal,"511 Groveland Avenue, Minneapolis, MN, 55403",44.9665436,-93.287533,,,,,,,,,,,,,,,"Su[1,5] 17:00-18:00",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/11919216901
minneapolis-osm-e90cb32b,Free Sunday Meal at Westminster Presbyterian,meal,"1200 Marquette Avenue, Minneapolis, MN, 55403",44.9713969,-93.2759089,,,,,,,,,,,,,,,Su[4] 17:00-18:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/11919216902
minneapolis-osm-f9fb794f,Community Emergency Service,meal,"1900 11th Avenue South, Minneapolis, MN, 55404",44.9637034,-93.2585633,+16128701125,,,,,,,,,,,,,,"Tu,We,Th 13:00-18:00; Fr 13:00-15:00",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/11941408455
minneapolis-osm-e31302be,Food Shelf,meal,"420 15th Avenue South, Minneapolis, MN, 55454",44.970659,-93.2503489,,,,,,,,,,,,,,,"Mo 12:00-18:00; We, Fr 12:00-16:00",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/11948034491
minneapolis-osm-6259f6aa,Produce Distribution,meal,"420 15th Avenue South, Minneapolis, MN, 55454",44.9706201,-93.2503905,,,,,,,,,,,,,,,"Th [1,3] 12:00-14:00",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/11948034492
minneapolis-osm-a58c1e52,Loaves & Fishes: Peace House Free Meal,meal,"1816 Portland Avenue, Minneapolis, MN, 55404",44.9645808,-93.2680026,,,,,,,,,,,,,,,Mo-Fr 17:00-18:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/11961968078
minneapolis-osm-ba3355ea,Source Community Meal & Discussion,meal,"2609 Stevens Avenue, Minneapolis, MN, 55408",44.9550963,-93.2751826,,,,,,,,,,,,,,,Th 18:00-20:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/11979176787
minneapolis-osm-c9926ba3,Source Food Distributions,meal,"2609 Stevens Avenue, Minneapolis, MN, 55408",44.9550959,-93.2750854,,,,,,,,,,,,,,,Tu 09:30-12:00; We 15:00-18:00; Sa[4] 09:30-11:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/11979176788
minneapolis-osm-5f108ed7,Waite House Community Meal,meal,"2323 11th Avenue South, Minneapolis, MN, 55404",44.9598227,-93.2565568,,,,,,,,,,,,,,,Mo-Th 11:00-12:30,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/11981558603
minneapolis-osm-02ff20f8,Waite House Food Shelf,meal,"2323 11th Avenue South, Minneapolis, MN, 55404",44.9597715,-93.25653,,,,,,,,,,,,,,,"Mo 12:00-16:00; Tu, Th 10:00-12:00, 13:00-16:00",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/11981558604
minneapolis-osm-0c309603,Waite House Produce Distribution,meal,"2323 11th Avenue South, Minneapolis, MN, 55404",44.9597886,-93.2566681,,,,,,,,,,,,,,,"We[2,4] 10:00-12:00",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/11981558605
minneapolis-osm-448a5b29,Soup for You!,meal,"2730 East 31st Street, Minneapolis, MN, 55406",44.9472283,-93.2319398,+16129787974,,,,,,,,,,,,,,Mo-Fr 12:00-13:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/11984276083
minneapolis-osm-6f371cc0,Community Meal,meal,"1701 North Oak Park Avenue, Minneapolis, MN, 55411",44.9874346,-93.3023878,,,,,,,,,,,,,,,Tu-Th 16:00-18:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/11984814581
