id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
missoula-overture-99d4517e,Missoula Food Bank & Community Center,meal,"1720 Wyoming St, Missoula",46.87210464477539,-114.02310943603516,+14065490543,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.missoulafoodbank.org
missoula-overture-a24f45f0,Poverello Center,shelter,"1110 W Broadway St, Missoula",46.87672805786133,-114.0091552734375,+14067281809,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.thepoverellocenter.org/donate/
missoula-overture-2f39a472,Bread Basket,meal,"10 6th Ave SW, Ronan",47.52951431274414,-114.10608673095703,+14066764357,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://ronanbreadbasket.org/
missoula-overture-f22aa979,Johnson Street shelter,shelter,"1919 North Ave W, Missoula",46.85219955444336,-114.02737426757812,+14065404085,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
missoula-overture-b6bc94c4,Love Missoula Food Pantry,meal,"1001 Cleveland St, Missoula",46.85831832885742,-114.0152587890625,+14067216884,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://heartchurch406.org/
missoula-overture-3cbca5a4,University of Montana Food Pantry,meal,"University Center, 32 Campus Dr room 119, Missoula",46.861167907714844,-113.98269653320312,+14062435125,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/asumbearnecessities
missoula-overture-cee8196d,Plains Community Food Bank,meal,"300 Clayton St, Plains",47.462303161621094,-114.88282012939453,+14068263800,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.plainsfoodbank.org/
missoula-overture-f62e4941,Montana Food Bank Network,meal,"5780 Alloy N, Missoula",46.926883697509766,-114.0781021118164,+14067213825,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://mfbn.org/
missoula-overture-fd93d2bb,Watson Children's Shelter,shelter,"2901 Fort Missoula Rd, Missoula",46.84477233886719,-114.05064392089844,+14068303322,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://watsonchildrensshelter.org
missoula-overture-d061a0ad,Garden City Harvest - Food Distribution Center,meal,"103 Hickory St, Missoula",46.8712272644043,-114.00685119628906,+14065233663,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.gardencityharvest.org
missoula-overture-c6fc9db3,North Missoula Community Development Corporation - Food Distribution Center,meal,"819 Stoddard St, Missoula",46.8836555480957,-114.0022201538086,+14068290873,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://nmcdc.org
missoula-overture-28c75cce,"Word, Women's Opportunity And Resource Development - Food Distribution Center",meal,"2525 Palmer St, Missoula",46.88670349121094,-114.02794647216797,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.wordinc.org
