id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
monroe-in-overture-b57f7fec,Grace Center Food Pantry,meal,"9206 S Old IN-37, Bloomington",39.01350021362305,-86.54142761230469,+18123290337,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://gracecenterindiana.org/
monroe-in-overture-cd058396,Hoosier Hills Food Bank,meal,"2333 W Industrial Park Dr, Bloomington",39.17448806762695,-86.568115234375,+18123348374,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://hhfoodbank.org/wp-content/uploads/Join-a-strong-team-that-is-making-a-difference.pdf
monroe-in-overture-3b84b77a,Mother Hubbard's Cupboard,meal,"1100 W Allen St, Bloomington",39.155784606933594,-86.54560089111328,+18123395887,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.mhcfoodpantry.org/
monroe-in-overture-457aadb0,Friend's Place,shelter,"919 S Rogers St, Bloomington",39.156822204589844,-86.5384292602539,+18123321444,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.beaconinc.org/
monroe-in-overture-030910dc,Wheeler Mission,shelter,"400 S Opportunity Ln, Bloomington",39.1634521484375,-86.5672836303711,18123344047,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.wheelermission.org
monroe-in-overture-78821530,Martha's House,shelter,"919 S Rogers St, Bloomington",39.15686798095703,-86.53849029541016,+18123321444,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://marthashouseofbloomington.org
monroe-in-overture-e2c03c41,Crimson Cupboard Food Pantry,meal,"800 N Union St, Bloomington",39.17361831665039,-86.50914764404297,18128551924,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://studentaffairs.indiana.edu
monroe-in-overture-31e63707,Crestmont Community Food Pantry,meal,"1007 N Summitt St, Bloomington",39.175270080566406,-86.54835510253906,18123393491,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://bhaindiana.net/summit-hill-community-development-corporation
monroe-in-overture-e2ce02a2,Wheeler Mission Center for Men,shelter,"215 S Westplex Ave RM 3, Bloomington",39.16509246826172,-86.55364990234375,+18123331905,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://wheelermission.org/our-work/bloomington/
monroe-in-overture-572521b2,Middle Way House,shelter,"338 S Washington St, Bloomington",39.16381072998047,-86.53243255615234,+18123360846,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.middlewayhouse.org/
monroe-in-overture-a44fff24,Community Kitchen,meal,"1515 S Rogers St, Bloomington",39.15027618408203,-86.53860473632812,+18123320999,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.monroecommunitykitchen.com/
