id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
monroe-ny-overture-ee03f1e1,Greece Ecumenical Food Shelf and Clothing Closet,meal,"500 Maiden Ln, Rochester",43.225826263427734,-77.65597534179688,+15856839674,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://gefsandcc.org/
monroe-ny-overture-022c9422,Volunteers Of America - Supportive Housing,shelter,"119 State St  Ste 100, Rochester",43.157527923583984,-77.61457061767578,15856471150,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.voaupny.org
monroe-ny-overture-5be5b67e,Penfield Ecumenical Food Shelf,meal,"1618 Jackson Rd, Penfield",43.164634704589844,-77.44932556152344,+15854358406,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.penfieldecumenicalfoodshelf.com/
monroe-ny-overture-a1e478d2,St. Peter's Kitchen,meal,"681 Brown St, Rochester",43.15205764770508,-77.63290405273438,+15852356511,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://stpeterskitchen.org/
monroe-ny-overture-03debdcd,Spencerport Food Shelf,meal,"4997 W Ridge Rd, Spencerport",43.218017578125,-77.79002380371094,+15853970290,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
monroe-ny-overture-e93f32e6,Devil's Bathtub Shelter,shelter,"County Rd 45, Mendon",43.02372741699219,-77.57357025146484,+15857537275,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www2.monroecounty.gov/parks-mendonponds.php
monroe-ny-overture-8218db8e,Irondequoit Community Cupboard,meal,"2841 Culver Rd, Irondequoit",43.199771881103516,-77.56233215332031,+15853369107,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://irondequoitcommunitycupboard.org/
monroe-ny-overture-2e897816,Foodlink,meal,"2011 Mt Read Blvd, Rochester",43.191429138183594,-77.66188049316406,+15853283380,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://trellis.org/festival-of-food
monroe-ny-overture-d4ff93c4,RIT FoodShare,meal,"113 Kimball Dr, Rochester",43.08268737792969,-77.68305969238281,+15854756333,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.rit.edu/lead/rit-foodshare
monroe-ny-overture-15294909,Saint Joseph's House of Hospitality,shelter,"402 South Ave, Rochester",43.14811325073242,-77.6059341430664,+15852323262,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.saintjoeshouse.org/blog/contact-us/
