id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
montgomery-md-overture-a7ff8422,Stepping Stones Shelter,shelter,"1070 Copperstone Ct, Rockville",39.074432373046875,-77.14189147949219,+13012510567,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.SteppingStonesShelter.org/
montgomery-md-overture-1a481325,Manna Food Center Market,meal,"12301 Old Columbia Pike, Silver Spring",39.057796478271484,-76.96961975097656,+13014241130,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.mannafood.org
montgomery-md-overture-d4df53dc,Wells Robertson House,shelter,"1 Wells Avenue, Gaithersburg",39.14094924926758,-77.19246673583984,+13012586390,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.gaithersburgmd.gov
montgomery-md-overture-aadec1da,Mid-County United Ministries,meal,"11002 Veirs Mill Rd Suite 710, Silver Spring",39.03489303588867,-77.05249786376953,+13019298675,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://mumhelp.org/
montgomery-md-overture-afdd1f1d,Community Hope Center (gaithersburg Hub) Food Pantry,meal,"13 Firstfield Rd, Gaithersburg",39.140323638916016,-77.22532653808594,12402299642,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: senecacreek.org
montgomery-md-overture-91cf64ca,American Muslim Senior Society,meal,"15800 Crabbs Branch Way Ste 300, Rockville",39.11369323730469,-77.15713500976562,+12407080536,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: amssmd.org
montgomery-md-overture-75f3090d,Manna Food Center,meal,"9311 Gaither Rd, Gaithersburg",39.1182861328125,-77.19200134277344,+13014241130,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.mannafood.org
montgomery-md-overture-16dbe842,Helping Hands Shelter,shelter,"622 N Horners Ln, Rockville",39.0942497253418,-77.14411926269531,+13013402796,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
montgomery-md-overture-f15a546e,Community Food Rescue,meal,"9311 Gaither Rd, Gaithersburg",39.1180419921875,-77.1923828125,12402682502,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.communityfoodrescue.org
montgomery-md-overture-d41d51f9,Montgomery County Coalition for the Homeless,shelter,"2301 Research Blvd Suite 200, Rockville",39.10367965698242,-77.18480682373047,+13012170314,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.mcch.net/
montgomery-md-overture-605c10db,Montgomery County Coalition,shelter,"12900 Middlebrook Road, Germantown",39.17904281616211,-77.26862335205078,+13015405883,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://mcch.net
montgomery-md-overture-b8f103a4,Rainbow Place Shelter,shelter,"215 W Montgomery Ave, Rockville",39.08470153808594,-77.15770721435547,+13017621496,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.rainbowplace.org/
montgomery-md-overture-81d72cd5,Montgomery County Coalition-home,shelter,"932 Hungerford Dr, Rockville",39.09832763671875,-77.15443420410156,13012170314,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.montgomerycountymd.gov
montgomery-md-overture-f4b0d282,Nourish Now,meal,"397 E Gude Dr, Rockville",39.10580825805664,-77.14877319335938,+13013300222,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/nourishnow.org
montgomery-md-overture-008532d9,Montgomery County Coalition For The Homeless,shelter,"600 E Gude Dr, Rockville",39.107852935791016,-77.14217376708984,+13012170314,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://mcch.net
montgomery-md-overture-ff7c4749,Gaithersburg HELP Pantry,meal,"301 Muddy Branch Rd, Gaithersburg",39.127197265625,-77.20835876464844,+13012162510,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.gaithersburghelp.org/contact/
montgomery-md-overture-e14b5681,Little Free Pantry at Covenant United Methodist Church,meal,"Covenant United Methodist Church, 20301 Pleasant Ridge Dr, Montgomery Village",39.19032287597656,-77.19123077392578,+13017921313,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.amazon.com/hz/wishlist/ls/25U5ZHWYBECCP?ref_=wl_share
montgomery-md-overture-20e1d48d,Interfaith Works New Leaf Shelter,shelter,"5320 Marinelli Rd, Rockville",39.0472526550293,-77.10652160644531,13016032322,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.iworksmc.org
