id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
montgomery-oh-overture-50c9d280,St. Vincent de Paul Gateway Shelter for Men,shelter,"1921 S Gettysburg Ave, Dayton",39.727333068847656,-84.2559585571289,+19372227350,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://stvincentdayton.org/contact
montgomery-oh-overture-f11f2531,Daybreak Dayton,shelter,"605 S Patterson Blvd, Dayton",39.7503547668457,-84.19026947021484,+19373954600,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://daybreakdayton.org/
montgomery-oh-overture-7db2046c,Feeding Friends Food Pantry,meal,"5737 Bigger Rd Rear entrance, Kettering",39.66031265258789,-84.12869262695312,+19374343941,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
montgomery-oh-overture-d0feb265,The Hearth Community Place Food Pantry,meal,"3415 Linden Ave, Dayton",39.747894287109375,-84.13402557373047,+19379039791,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.thehearthdayton.org/
montgomery-oh-overture-b5eb4feb,With God's Grace Food Pantry,meal,"622 Springfield St, Dayton",39.768890380859375,-84.15455627441406,19373974124,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.withgodsgracepantry.org
montgomery-oh-overture-dffa1159,Vandalia Butler Food Pantry,meal,"345 James Bohanan Dr, Vandalia",39.89348220825195,-84.19251251220703,+19378906628,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.vbfoodpantry.com/
montgomery-oh-overture-12036aa0,Miamisburg Helping Hands Food,meal,"224 Maple Ave, Miamisburg",39.64247131347656,-84.2861328125,+19378669323,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.foodpantries.org/li/miamisburg-helping-hands-food-pantry
montgomery-oh-overture-bd489a0b,Little Free Pantry,meal,"522 Kercher St, Miamisburg",39.647499084472656,-84.28141784667969,+19378290556,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.littlefreepantry.org/
montgomery-oh-overture-2fa86dc2,Westdale Terrace Housing,shelter,"110 Melba St, Dayton",39.74864196777344,-84.21549987792969,+19372224556,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
montgomery-oh-overture-96334048,Free Flo Box,meal,"8 Clover St, Dayton",39.748878479003906,-84.17729187011719,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/FreeFloBox
montgomery-oh-overture-8ba71232,Linda Vista Project,shelter,"1011 Linda Vista Ave Ste 5, Dayton",39.77739334106445,-84.2159652709961,9372779663,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.lindavistaproject.org/
montgomery-oh-overture-ace3b99b,Community Action Mission Program,meal,"115 E Walnut St, Farmersville",39.68049240112305,-84.42501831054688,+19377516235,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.campfoodpantry.org/
montgomery-oh-overture-df88af1b,Greenmont-oak Park Community Church - Food Distribution Center,meal,"1921 Woodman Dr, Kettering",39.71962356567383,-84.12459564208984,19372526705,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.greenmontoakpark.org
montgomery-oh-overture-ab2c9748,With God’s Grace Free Store,meal,"5505 N Dixie Dr, Dayton",39.81730270385742,-84.19866943359375,19376029981,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.withgodsgracepantry.org
montgomery-oh-overture-a7760af6,Miami Valley Housing Opportunities,shelter,"907 W 5th St, Dayton",39.75341796875,-84.20923614501953,+19372634449,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.mvho.net
montgomery-oh-overture-a3a85774,The Hope Foundation of Greater Dayton,meal,"Montgomery County, 1601 W 2nd St, Dayton",39.75589370727539,-84.22103118896484,+19375201561,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
montgomery-oh-overture-b7a056b6,The Foodbank,meal,"56 Armor Pl, Dayton",39.748207092285156,-84.21038818359375,+19374610265,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://thefoodbankdayton.org/donate/
montgomery-oh-overture-9b518d72,Stork's Nest Baby Pantry,meal,"425 N Findlay St, Dayton",39.771793365478516,-84.15977478027344,+19374613625,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.daytonlife.org/
