id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
montgomery-pa-overture-aa073baf,PV Power Packs,meal,"3 Iron Bridge Dr, Collegeville",40.20613479614258,-75.45965576171875,+16104898506,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.pvsd.org/families/pv-power-packs/
montgomery-pa-overture-ca21cdc2,Patrician Society,meal,"703 Green St, Norristown",40.11726379394531,-75.33940887451172,+16102726316,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.patriciansociety.org/
montgomery-pa-overture-f52ae447,Upper Merion Area Community Cupboard,meal,"191 Town Center Rd, King of Prussia",40.09615707397461,-75.36944580078125,+16102652420,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.amazon.com/hz/wishlist/ls/1Q6NVPSFMPQJ0?ref_=wl_share
montgomery-pa-overture-62bbb9ba,Ardmore Food Pantry,meal,"36 Ardmore Ave, Ardmore",40.0084228515625,-75.29544067382812,+16106491486,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.stmarysardmore.org/Ardmore-Food-Pantry
montgomery-pa-overture-a2bbab87,Shepherd's Shelf Emergency Food Cupboard-food Pantry,meal,"2211 Mainland Rd, Harleysville",40.25222396850586,-75.35171508789062,12152568738,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.christlc.org
montgomery-pa-overture-9ff115df,Lamb Foundation Cornucopia Cupboard,meal,"499 E Walnut St, North Wales",40.213600158691406,-75.27690124511719,+12156618800,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.lambfoundationpa.org/cornucopiacupboard.html
montgomery-pa-overture-544521b6,GodFeeds Vegan,meal,"2 E Main St, Norristown",40.1142578125,-75.34443664550781,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
montgomery-pa-overture-96dd9dc2,Garden of Health Inc,meal,"201 Church Rd Ste A, North Wales",40.22032928466797,-75.2884750366211,+12679059569,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://gardenofhealthinc.org/
montgomery-pa-overture-fe4e953f,Mattie N. Dixon Community Cupboard,meal,"150 N Main St, Ambler",40.15645217895508,-75.22657012939453,+12156283002,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.community-cupboard.org/
montgomery-pa-overture-235a5982,Daily Bread Community Food Pantry,meal,"3938 Ridge Pike, Collegeville",40.1795768737793,-75.44317626953125,+16104895540,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.dailybreadcommunityfoodpantry.org/
montgomery-pa-overture-998e82d0,Daily Bread Community Food Pantry,meal,"16 Iron Bridge Dr, Collegeville",40.20568084716797,-75.45386505126953,+16104895540,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://dailybreadcommunityfoodpantry.org/donate/
montgomery-pa-overture-cd2d732c,Catholic Charities Martha's Choice Marketplace,meal,"353 E Johnson Hwy, Norristown",40.125640869140625,-75.316650390625,+16102797372,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://marthaschoicemarketplace.com/
