id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
morris-nj-overture-abeecc50,New Hope Food Pantry,meal,"316 Dover Milton Rd, Oak Ridge",41.02046585083008,-74.52814483642578,19736973194,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: www.miltonumc.net
morris-nj-overture-e3ed87e0,Lincoln Park Food Pantry,meal,"10 Boonton Tpke, Lincoln Park",40.9227180480957,-74.30634307861328,+19736942890,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.lincolnpark.org/186/Food-Pantry
morris-nj-overture-950b1874,Mt Olive Manor,shelter,"49 Flanders Bartley Rd, Flanders",40.833927154541016,-74.70101165771484,+19732521403,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.lsmnj.org
morris-nj-overture-edbea3e2,Cove's Corner Food Pantry,meal,"298 Dover Chester Rd, Randolph",40.83622360229492,-74.61237335205078,+19739274362,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
morris-nj-overture-cffbfb6a,Hope House,shelter,"101-103 Bassett Hwy, Dover",40.884647369384766,-74.56311798095703,+19733615555,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
morris-nj-overture-a18f9f64,Montville Kiwanis Food Pantry,meal,"91 Passaic Valley Rd, Montville",40.89488220214844,-74.35579681396484,+19734009222,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.montvillekiwanis.org/food-pantry-mkfp
morris-nj-overture-56938514,CUMC Community Food Pantry,meal,"460 Main St, Chatham",40.744388580322266,-74.39066314697266,+19736357740,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.chathamumc.com/cumc-community-food-pantry/
morris-nj-overture-ffc07010,Plaid House,shelter,"54 Western Ave, Morristown",40.79655838012695,-74.48761749267578,+19732676335,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.plaidhouse.org/
morris-nj-overture-390fff77,Interfaith Food Pantry Network,meal,"2 Executive Dr, Morris Plains",40.83118438720703,-74.49694061279297,+19735388049,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.mcifp.org/
morris-nj-overture-af7abf7e,FRC Boonton Food Pantry,meal,"236 Washington St, Boonton",40.90032196044922,-74.40802001953125,+19733340317,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://firstreformedchurchofboonton.com/
