id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
naugatuck-valley-ct-overture-69f93d48,Seymour Oxford Food Bank,meal,"20 Pine Street No 1, Seymour",41.391517639160156,-73.07520294189453,+12038887826,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://seymouroxfordfoodbank.org/
naugatuck-valley-ct-overture-d82321e8,Plymouth Community Food Pantry,meal,"20 Dewey Ave, Terryville",41.67502975463867,-73.0045394897461,+18605841750,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.plymouthfoodpantry.org
naugatuck-valley-ct-overture-feed655f,The Blessing Pantry,meal,"91 Church St, Seymour",41.39509582519531,-73.07872772216797,+12038886596,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://theblessingpantry.org/
naugatuck-valley-ct-overture-6d7fb1b4,Cheshire Community Food Pantry,meal,"175 Sandbank Rd, Cheshire",41.53340148925781,-72.8991470336914,+12036999226,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.cheshirefoodpantry.org/
naugatuck-valley-ct-overture-bde28e50,Little Free Pantry on Skokorat,meal,"58 Skokorat St, Seymour",41.40320587158203,-73.0550537109375,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.skokoratpantry.com/
naugatuck-valley-ct-overture-26f9c87c,Ecumenical Food Bank Inc,meal,"75 Spring St, Naugatuck",41.50215148925781,-73.05287170410156,+12037231922,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
naugatuck-valley-ct-overture-cf454352,Southbury Food Bank,meal,"88 Main St S, Southbury",41.478607177734375,-73.21710968017578,+12037210377,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://SouthburyFoodBank.org/
naugatuck-valley-ct-overture-6c318a7a,St. Vincent DePaul Mission of Waterbury Shelter,shelter,"114 Benedict St, Waterbury",41.54862976074219,-73.04094696044922,+12035739018,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.svdpmission.org/
naugatuck-valley-ct-overture-cb9c1b23,Cheshire Food Pantry,meal,"51 Railroad Ave, Cheshire",41.50722885131836,-72.91405487060547,2036999226,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.cheshirefoodpantry.org/
naugatuck-valley-ct-overture-9aed3704,Thomaston Food Pantry,meal,"158 Main St, Thomaston",41.67287063598633,-73.07540893554688,+18608802426,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.thomastonct.org/content/161/214/328/default.aspx
naugatuck-valley-ct-overture-429474a1,SVDP Mission of Bristol,shelter,"19 Jacobs St, Bristol",41.67449188232422,-72.95095825195312,+18605899098,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.svdpofbristol.com/
naugatuck-valley-ct-overture-1b201b4c,Area Congregations Together - Food Distribution Center,meal,"30 Todd Rd, Shelton",41.29314041137695,-73.10942077636719,12032250453,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://actspooner.org
naugatuck-valley-ct-overture-b9a5e113,Safe Haven of Greater Waterbury,shelter,"29 Central Ave, Waterbury",41.55810546875,-73.04383087158203,+12035750388,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.safehavengw.org/
naugatuck-valley-ct-overture-8a18b8ff,Ortoli Center,shelter,"70 Woodlawn Ave, Ansonia",41.35564422607422,-73.07996368408203,+12037368840,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.ansoniahousing.com
naugatuck-valley-ct-overture-a5443ea0,Oxford Neighbor to Neighbor Pantry,meal,"130 Bee Mountain Rd, Oxford",41.40385818481445,-73.10425567626953,+2034448464,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
