id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
new-york-osm-3bd77c21,Community Kitchen and Pantry,meal,"252 West 116th Street, New York, NY, 10026",40.804032,-73.9549316,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/357622057
new-york-osm-d52282d4,The Bentley Hotel,shelter,"500 East 62nd Street, New York, NY",40.7602216,-73.9581709,+12126446000,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2629371810
new-york-osm-0ca1eb91,The Salvation Army Manhattan Citadel Corps Community Center,shelter,"145 East 125th Street, 10035",40.8044048,-73.9370707,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2765578547
new-york-osm-a8671530,Food Distribution Center,meal,"41-42 Murray Street, 11355",40.7617545,-73.8125082,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2882557568
new-york-osm-92305cce,Mainchance,shelter,,40.7453045,-73.9813962,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/5250613888
new-york-osm-9abfe0ba,Renaissance Shelter,shelter,"599 Ralph Avenue, 11233",40.6690998,-73.9223395,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/5419376906
new-york-osm-33d8dd10,The Prospect,shelter,"730 Kelly Street, Bronx, 10455",40.8163836,-73.8996173,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/5424792524
new-york-osm-35f20cb1,CHiPS,meal,,40.6782853,-73.9827265,+17182372962,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/5487146969
new-york-osm-4df9fe12,Hope City Empowerment Center,meal,,40.6788153,-73.9641433,+17188575698,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/7161218432
new-york-osm-28a24b64,Chilis on Wheels,meal,,40.7264773,-73.9806626,,,,,,,,,,,,,,,Sa 14:00-16:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/7258410330
new-york-osm-b855d20b,Plant-Based Community Fridge,meal,,40.7254855,-73.9928802,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/8486759789
new-york-osm-86d52130,Tiny Purple Pantry,meal,,40.6702071,-73.9917883,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/8572644586
new-york-osm-d4977df8,Refrigerador Comunitario,meal,,40.6601105,-73.9942396,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/8762272650
new-york-osm-bc63ba55,UA3 Community First Food Pantry,meal,"384 Grand Street, New York, NY, 10002",40.7164243,-73.9877507,,,,,,,,,,,,,,,"Mo,Th 08:00-17:00",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/8925299255
new-york-osm-f2608cef,Fulton Street Community Fridge,meal,,40.6828688,-73.9634527,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/9008487124
new-york-osm-f9483d12,Tiny Purple Pantry,meal,,40.6483926,-73.977519,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/9121304277
new-york-osm-9e587ca7,Tomche Shabbos,meal,,40.6252442,-73.9969674,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/10107514719
new-york-osm-8542f494,Chinatown Community Fridge & Pantry,meal,"96 Baxter Street, New York, NY, 10013",40.7172174,-73.9996218,,,,,,,,,,,,,,,Mo-Su 09:00-18:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/10182432693
new-york-osm-7c81038b,Tiny Purple Pantry,meal,,40.6620617,-73.9947136,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/10197719081
new-york-osm-9296d087,Barbara Kleiman Residence,shelter,"300 Skillman Avenue, Brooklyn, NY, 11211",40.7168403,-73.9389097,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/10683548411
new-york-osm-b14fc68e,Macedonia Pantry,meal,"340 East 106th Street, 10029",40.7897967,-73.9408772,,,,,,,,,,,,,,,Fr 10:00-11:30,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12060132666
new-york-osm-fc3ccc20,Saint Cecilia's Food Pantry,meal,"125 East 105th Street, 10029",40.7919483,-73.9473268,+12123480488,,,,,,,,,,,,,,We 09:00-12:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12154563494
new-york-osm-7d5ccbac,Astoria Food Pantry,meal,,40.7660451,-73.9134806,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12202831609
new-york-osm-95b967a5,Park Savoy Hotel,shelter,"158 West 58th Street, 10019",40.7657395,-73.9787508,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12459875827
new-york-osm-c8da8717,Apna Food Pantry Brighton Beach,meal,225 Neptune Avenue,40.5817204,-73.9616806,+17185134700,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12493102987
new-york-osm-6be859bc,Safe Haven Continental Shelter,shelter,,40.7271091,-73.938323,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12554309111
new-york-osm-21ba2ebc,Food Support Connections,meal,"184 Wyckoff Avenue, Brooklyn, NY, 11237",40.7018115,-73.9155208,,,,,,,,,,,,,,,by appointment,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12554317124
new-york-osm-8b41aee9,Greenpoint Hunger Program,meal,"123 Milton Street, Brooklyn, NY 11222",40.72955,-73.9559635,,,,,,,,,,,,,,,"We 18:00-19:00, Th 16:00-19:00",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12554351331
new-york-osm-08191655,St. John's Bread and Life: Mobile Soup Kitchen,meal,"240 Division Avenue, Brooklyn, NY, 11211",40.7069715,-73.9575568,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12554381248
new-york-osm-f2cd5c11,Transfiguration Church,meal,"263 Marcy Avenue, Brooklyn, NY, 11211",40.7053954,-73.9559482,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12554389753
new-york-osm-6e66a788,Trinity Human Services Corp.,meal,"153 Johnson Avenue, Brooklyn, NY, 11206",40.7068642,-73.9441822,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12554403033
new-york-osm-35145bc1,Catholic Charaties Brooklyn and Queens,meal,"333 Hart Street, Brooklyn, NY, 11206",40.6950366,-73.9362832,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12554598806
new-york-osm-c0db3238,"Homebase, Riseborough Community Partnership",shelter,"90 Beaver Street, Brooklyn, NY, 11206",40.6999027,-73.9366434,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12554601862
new-york-osm-452b269f,Masbia,meal,"5402 New Utrecht Avenue, 11219",40.6323425,-73.9954444,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12732221751
new-york-osm-4b376790,9 Million Reasons,meal,,40.7541284,-73.9371589,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13325175365
new-york-osm-5faf541d,North Hudson Community Action Corporation,meal,"7007 Polk Street, Guttenberg, NJ, 07093",40.7972905,-74.0123915,+12012100333,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13507575448
new-york-osm-eeb521f4,Woodcliff Community Church Food Pantry,meal,"7605 Palisade Avenue, North Bergen, NJ, 07047",40.7991962,-74.0060917,+12018694555,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13511136750
new-york-osm-6bcea210,Spitzer Fulfillment Center,meal,"171 Lexington Avenue, New York, NY, 10016",40.7442091,-73.9811409,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13703645668
new-york-osm-dbfae2db,Tompkins Distro,meal,"East 7th Street, New York, NY, 10009",40.7252196,-73.9813118,,,,,,,,,,,,,,,Sa 11:00-12:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/14049465301
new-york-osm-4204e633,Washington Square Park Mutual Aid,meal,,40.7311305,-73.9982393,,,,,,,,,,,,,,,Fr 17:00-20:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/14049479401
new-york-osm-3c1a5e09,The Roosevelt Hotel,shelter,"45 East 45th Street, New York, NY, 10017",40.7548417,-73.9771877,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/164645790
new-york-osm-c060e508,Hillside House,medical,"163-03 89th Avenue, Jamaica, NY, 11432",40.7072701,-73.7981319,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/248285817
new-york-osm-d85bd48e,Lexington Avenue Residence,shelter,"85 Lexington Avenue, 11238",40.6869779,-73.9586776,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/250329993
new-york-osm-26f97fa5,The Redbury New York,shelter,"29 East 29th Street, New York, NY, 10016",40.7447069,-73.9844573,+12126891900,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/265040104
new-york-osm-121f0565,Harmonia Shelter,shelter,"12 East 31st Street, 10016",40.7459767,-73.9852153,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/265042466
new-york-osm-9e5a4d6f,The Watson Hotel,shelter,"440 West 57th Street, New York, NY",40.7681731,-73.9874822,+12125818100,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/265353505
new-york-osm-83a222d3,ROW NYC,shelter,"700 8th Avenue, New York, NY, 10036",40.7587122,-73.9882997,+12128693600,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/266149365
new-york-osm-9c434b84,NY Common Pantry,meal,"8 East 109th Street, 10029",40.795785,-73.9492267,+19177209700,,,,,,,,,,,,,,We-Sa 11:00-14:30,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/271279157
new-york-osm-6e01171b,Catherine Street Family Respite Shelter,shelter,"78 Catherine Slip, New York, NY, 10038",40.7107454,-73.9979033,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/278231648
new-york-osm-94fb9c54,Borden Avenue Veterans Residence,shelter,"21-10 Borden Avenue, 11101",40.7398642,-73.9495373,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/280627771
new-york-osm-ae445ff9,The Collective Paper Factory,shelter,"37-06 36th Street, Long Island City, NY, 11101",40.7528772,-73.9277944,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/281342966
new-york-osm-89268baf,The Landing Family Shelter,shelter,"9400 Ditmars Boulevard, East Elmhurst, NY, 11369",40.7696768,-73.875755,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/281396297
new-york-osm-1f30da67,Saratoga Family Inn,shelter,"175-15 Rockaway Boulevard, Queens, 11434",40.6579186,-73.7694441,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/282936379
new-york-osm-299d10b4,Clarke Thomas Men’s Shelter,shelter,"121 Hell Gate Circle, 10035",40.7861097,-73.9285151,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/284865751
new-york-osm-0fff8b62,CUMAC Food Bank,meal,"223 Ellison Street, Paterson, NJ, 07505",40.9173767,-74.1676967,+19737425518,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/379442284
new-york-osm-ecd9461f,St. Lucy's Emergency Shelter,shelter,"612 Grove Street, Jersey City, NJ, 07310",40.7326237,-74.040717,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/409705888
new-york-osm-5fc6c1bf,St. John's Reformed Church,meal,"46 Fairview Avenue, Jersey City, NJ, 07304",40.7227638,-74.070226,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/417749830
new-york-osm-793476fb,Let's Celebrate,meal,"48 Fairview Avenue, Jersey City, NJ, 07304",40.722798,-74.0703767,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/417749855
new-york-osm-fc98533a,Oasis - A Haven for Women and Children,shelter,"59 Mill Street, Paterson, NJ, 07505",40.9140191,-74.1759836,+19738818307,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/473080989
new-york-osm-1b8fc7d6,Project Hospitality,shelter,,40.6388856,-74.0871845,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/1211605302
new-york-osm-754563d8,Covenant House New York,shelter,"460 West 41st Street, New York, NY, 10036",40.7585116,-73.995616,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/1393560938
