id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
oakland-mi-overture-56bb58ed,Active Faith Community Services,meal,"401 Washington St, South Lyon",42.45765686035156,-83.65239715576172,12484379790,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.activefaithcs.org
oakland-mi-overture-1c0c7fc2,Forgotten Harvest,meal,"21800 Greenfield Rd, Oak Park",42.454307556152344,-83.19985961914062,+12489671500,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://forgottenharvest.org
oakland-mi-overture-bc011557,Community Sharing - Food Distribution Center,meal,"2029 N Milford Rd, Highland",42.65699768066406,-83.619873046875,12488890347,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: community-sharing.org
oakland-mi-overture-1e497c58,Community Sharing Outreach Center,meal,"400 Beach Farm Cir, Highland",42.644927978515625,-83.61030578613281,+12488890347,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.community-sharing.org/
oakland-mi-overture-82e220b2,HOPE Shelters,shelter,"249 Baldwin Ave, Pontiac",42.651546478271484,-83.29962921142578,+12484997345,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.HopeShelters.org/
oakland-mi-overture-2e5f7bce,"Open Door Outreach Center, Inc",meal,"7170 Cooley Lake Rd, Waterford",42.61615753173828,-83.42689514160156,+12483602930,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://opendoormi.org/
oakland-mi-overture-1c9f1ea0,Open Hands Food Pantry,meal,"26998 Woodward Ave, Royal Oak",42.4891471862793,-83.15734100341797,+19479001263,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.openhandspantry.org/
oakland-mi-overture-706097fa,South Oakland Shelter,shelter,"18505 W 12 Mile Rd, Lathrup Village",42.50200653076172,-83.22786712646484,2488093773,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.southoaklandshelter.org
oakland-mi-overture-ca0408f3,Oxford Orion FISH,meal,"1060 S Lapeer Rd, Oxford",42.80971908569336,-83.25142669677734,+12486283933,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://oxfordorionfish.org/index.html
oakland-mi-overture-4bd46103,Yad Ezra,meal,"2850 W Eleven Mile Rd, Berkley",42.48908615112305,-83.18757629394531,+12485483663,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.yadezra.org
oakland-mi-overture-4551a9dc,Neighbor For Neighbor,meal,"495 Broadway, Davisburg",42.75164031982422,-83.53656768798828,+12486340900,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.neighborforneighbor.net/
oakland-mi-overture-2e703f7b,UUCF Little Pantry,meal,"25301 Halsted Rd, Farmington Hills",42.47792434692383,-83.41718292236328,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
oakland-mi-overture-f97fed25,Welcome Inn Day Center,shelter,"1717 W 13 Mile Rd, Royal Oak",42.517860412597656,-83.16539764404297,12488503219,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://sochwi.org
oakland-mi-overture-54abbecd,Food Bank Of Oakland County,meal,"120 E Columbia Ave, Pontiac",42.66960906982422,-83.29596710205078,+12483321473,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.fboc.org
oakland-mi-overture-22763d81,HOPE Recuperative Shelter,shelter,"1416 Joslyn Ave, Pontiac",42.676639556884766,-83.28047943115234,2484996437,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.hopeshelters.org/
oakland-mi-overture-6f0ff135,Heartfelt Family,meal,"29200 W 10 Mile Rd, Farmington Hills",42.472068786621094,-83.33443450927734,+12488853651,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.heartfeltfamilynonprofits.org
oakland-mi-overture-13c3f0e7,South Oakland Citizens for the Homeless,shelter,Southfield,42.472049713134766,-83.2556381225586,+12488503219,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://sochwi.org/
oakland-mi-overture-fe9e0cb1,Oak Park Gifting Little Pantry,meal,"23400 Seneca Ave, Oak Park",42.463260650634766,-83.16817474365234,+12485068584,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://mapping.littlefreepantry.org/pantry/1038
oakland-mi-overture-c7778adb,Lighthouse Emergency Services,shelter,"46156 Woodward Ave, Pontiac",42.630218505859375,-83.28814697265625,+12489206000,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.lighthousepath.com
oakland-mi-overture-eebbdafd,Madison Heights Food Pantry,meal,"1529 E 12 Mile Rd, Madison Heights",42.50567626953125,-83.0904312133789,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://madisonHeightsFoodPantry.org/
oakland-mi-overture-a713fc5b,Eastwood Recovery Center,meal,"29451 Greenfield Rd, Southfield",42.50645065307617,-83.2035903930664,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
oakland-mi-overture-cd8a4bd8,Lighthouse Youth Sanctuary,shelter,"751 Hendrie Blvd, Royal Oak",42.48319625854492,-83.15180969238281,12485472260,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.lighthousemi.org
