id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
oklahoma-ok-overture-8cc61c67,Church of the Open Arms Food Pantry,meal,"3131 N Pennsylvania Ave, Oklahoma City",35.50168991088867,-97.54804229736328,+14055259555,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
oklahoma-ok-overture-b5c4ba12,Bethel Foundation,meal,"13003 N Western Ave, Oklahoma City",35.60136795043945,-97.53253173828125,+14052863700,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.bethelfoundation.org/
oklahoma-ok-overture-b94891d4,EF5 Tornado Shelters,shelter,"14300 N Lincoln Blvd, Edmond",35.615657806396484,-97.50455474853516,+14055096888,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.ef5tornadoshelters.com/
oklahoma-ok-overture-e121bf39,Mid-Del Food Pantry,meal,"322 N Midwest Blvd, Midwest City",35.468414306640625,-97.38660430908203,+14057323603,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://middelfoodpantry.com/
oklahoma-ok-overture-4741823e,Grace Rescue Mission Inc,shelter,"2205 Exchange Ave, Oklahoma City",35.45304870605469,-97.55333709716797,+14052325756,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.cbaokc.net/page/grace_rescue_mission
oklahoma-ok-overture-e56e56d5,Sister BJ's Pantry,meal,"819 NW 4th St, Oklahoma City",35.472225189208984,-97.52667999267578,+14058377068,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.srbjpantry.com
oklahoma-ok-overture-c780f7d5,City Care Night Shelter,shelter,"532 N Villa Ave, Oklahoma City",35.4726676940918,-97.55648803710938,+14057248439,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
oklahoma-ok-overture-1f7ffb04,Catholic Charities,meal,"2133 SW 11th St, Oklahoma City",35.454124450683594,-97.55284118652344,+14055233000,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
oklahoma-ok-overture-195f9152,Heart and Hand Ministries,shelter,"1308 NW 9th St #2, Oklahoma City",35.47764587402344,-97.53355407714844,+14055280171,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://heartnhandokc.com/
oklahoma-ok-overture-f039306d,BritVil Community Food Pantry,meal,"8717 N Western Ave, Oklahoma City",35.55943298339844,-97.53150177001953,+14058421275,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.helpbritvil.com/
oklahoma-ok-overture-11f40d3c,Regional Food Bank of Oklahoma,meal,"3355 S Purdue Ave, Oklahoma City",35.43104934692383,-97.61402893066406,+14059721111,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://rfbo.org/
oklahoma-ok-overture-22061bef,Homeless Alliance,shelter,"1724 NW 4th St, Oklahoma City",35.47164535522461,-97.5443115234375,14054158410,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://homelessalliance.org
oklahoma-ok-overture-a5e4771c,Careforokc Food Pantry,meal,"1201 N Robinson Ave, Oklahoma City",35.48093032836914,-97.51643371582031,14052324255,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fbcokc.org
oklahoma-ok-overture-b9ffc7a8,The Paseo Courtyard,shelter,"901 NW 25th St, Oklahoma City",35.495628356933594,-97.52782440185547,+14055210911,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://paseoavenues.org/
oklahoma-ok-overture-7bb0dcea,Homeless Military Veterans,shelter,"2704 SW 44th St, Oklahoma City",35.42039489746094,-97.56178283691406,+14056065091,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.homelessmilitaryveterans.org
oklahoma-ok-overture-5efdfc17,Project 66 Food and Resource Center,meal,"2612 S Kelly Ave, Edmond",35.6290397644043,-97.4957275390625,+14053411353,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.project66.org/
oklahoma-ok-overture-6c4ad557,Mercy Food Pantry,meal,"3840 N St Clair Ave, Oklahoma City",35.509788513183594,-97.58086395263672,+14059827686,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://icnarelief.org/?gclid=EAIaIQobChMIudXG8pvj_AIVhy-tBh1zBgtdEAAYASAAEgJm2fD_BwE
oklahoma-ok-overture-8acb5ad4,Fresh Start - OKC,shelter,"1724 NW 4th St, Oklahoma City",35.47165298461914,-97.54483795166016,+14054158410,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.homelessalliance.org/
oklahoma-ok-overture-18055312,City Rescue Mission,shelter,"800 W California Ave, Oklahoma City",35.464866638183594,-97.52598571777344,+14052322709,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://cityrescue.org/
oklahoma-ok-overture-09850c2c,Feed His Sheep,meal,"609 W Sheridan Ave, Oklahoma City",35.466670989990234,-97.52317810058594,+14053261497,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
oklahoma-ok-overture-502d3636,Community Market OKC,meal,"222 NW 15th St, Oklahoma City",35.48426818847656,-97.51678466796875,+14056091018,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://stlukesokc.org/serve/food-ministry/
