id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
onondaga-ny-overture-d3f0c598,YWCA Residence Program,shelter,"300 Burt St, Syracuse",43.0377197265625,-76.14644622802734,+13154719480,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.ywca.org/site/c.dulrk4oslqk8e/b.8267943/k.689f/transitional_housing.htm
onondaga-ny-overture-44d49917,The Salvation Army Of Syracuse Emergency Practical Assistance - Food Distribution Center,meal,"677 S Salina St, Syracuse",43.040855407714844,-76.15025329589844,13154791144,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://easternusa.salvationarmy.org/southern-new-england
onondaga-ny-overture-ca90e6e9,The Table Community Food Pantry,meal,"6099 Court St Rd, Syracuse",43.08584213256836,-76.0977554321289,+18334482253,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://thetablefoodpantry.org/
onondaga-ny-overture-a428911f,Food Bank Of Central New York,meal,"6970 Schuyler Rd, East Syracuse",43.10897445678711,-76.07239532470703,+13154371899,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.foodbankcny.org
onondaga-ny-overture-44150711,Our Lady Of Peace Church Food Pantry,meal,"203 Halcomb St, Geddes",43.08832550048828,-76.24412536621094,+13154883221,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.ourladyofpeacechurch.org
onondaga-ny-overture-693f9d65,Southwest Community Center Food Pantry - Food Distribution Center,meal,"401 South Ave, Syracuse",43.03482437133789,-76.15861511230469,13154746823,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://smnfswcc.org
onondaga-ny-overture-419fdf82,Temple Society Of Concord Food Pantry - Food Distribution Center,meal,"910 Madison St, Syracuse",43.045047760009766,-76.13378143310547,13154759952,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: templeconcord.org
onondaga-ny-overture-6044cbf7,Thrifty Shopper,shelter,"628 S Main St, North Syracuse",43.12438201904297,-76.1426010131836,3157010876,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.ishopthrifty.org/
onondaga-ny-overture-2106bd9b,Huntington Family Centers,shelter,"405 Gifford St, Syracuse",43.043060302734375,-76.16072845458984,+13154763157,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.huntingtonfamilycenters.org/
onondaga-ny-overture-a8180e66,Vineyard Connects - Food Pantry,meal,"718 S Beech St, Syracuse",43.04121780395508,-76.12103271484375,13154078463,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: www.vineyardny.org
onondaga-ny-overture-61a8ad69,St Lucy's Food Pantry,meal,"425 Gifford St, Syracuse",43.04314422607422,-76.16175079345703,+13154240023,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.stlucychurch.org
onondaga-ny-overture-6171ebe0,House of Psalms 23,shelter,"224 Harrison St, Syracuse",43.044071197509766,-76.14983367919922,+16802837506,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.houseofpsalms23.com/
onondaga-ny-overture-f9c4953e,Catholic Charities Of Onondaga County - Food Pantry,meal,"264 E Onondaga St, Syracuse",43.04633331298828,-76.14949035644531,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.ccoc.us
onondaga-ny-overture-7e77fff4,VanKeuren Square,shelter,"2223 E Genesee St, Syracuse",43.045894622802734,-76.11576080322266,+13154741815,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.va.gov/syracuse-health-care
onondaga-ny-overture-64ecd90c,F-P Outreach,meal,"7786 Main St, Fabius",42.83473205566406,-75.98793029785156,+13156773590,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fpoutreach.org/
onondaga-ny-overture-e3056bc2,F M Food Pantry,meal,"behind Pavone's Pizza, 122 E Seneca St, Manlius",43.001502990722656,-75.97779846191406,+13156823688,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.fmfoodpantry.org
onondaga-ny-overture-9bddd3da,Joseph's House,shelter,"802 Court St, Syracuse",43.073604583740234,-76.15420532226562,+13157014981,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.gofevo.com/event/JosephsHouseforWomen
onondaga-ny-overture-406adc93,Jamesville Food Pantry,meal,"6486 E Seneca Turnpike, De Witt",42.991539001464844,-76.07219696044922,+13154695093,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://foodbankcny.org/get-help/program_search/jamesville-food-pantry
onondaga-ny-overture-a5439fdb,Food Bank of Central New York,meal,"7066 Interstate Island Rd, Syracuse",43.1108512878418,-76.27574157714844,+13154371899,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.foodbankcny.org/
onondaga-ny-overture-e723beb8,Skaneateles Food Pantry,shelter,"819 W Genesee St Rd, Skaneateles",42.94579315185547,-76.44486236572266,+13156855048,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.paypal.com/donate/?hosted_button_id=SBSWRVBEZKX7L&fbclid=PAAabAbh0frXaPHM5guPcvxMu-frYhnY4mevEpP-Y0khfRinZ0kuC1110NxmE
