id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
orange-ca-overture-a1914106,King Of Glory Lutheran Church Food Bank,meal,"10280 Slater Ave, Fountain Valley",33.70829391479492,-117.94950103759766,17148635649,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://kogchurch.org
orange-ca-overture-60e9a029,Casa Youth Shelter,shelter,"10911 Reagan St, Los Alamitos",33.80400848388672,-118.06938934326172,+18009142272,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.casayouthshelter.org
orange-ca-overture-d04107c2,"Grateful Hearts Storehouse, Inc",meal,"5420 Katella Ave, Los Alamitos",33.80260467529297,-118.03828430175781,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
orange-ca-overture-3bc0f8bc,Karma Camp,shelter,"881 Dover Dr  Ste 210, Newport Beach",33.6237907409668,-117.90616607666016,18882144633,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
orange-ca-overture-835a422f,Homeless Intervention Services of Orange County,shelter,"907 Bradford Ave, Placentia",33.88024139404297,-117.86869049072266,+17149935774,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.his-oc.org/
orange-ca-overture-e3f0078d,Friendship Shelter,shelter,"1335 S Coast Hwy, Laguna Beach",33.53204345703125,-117.77564239501953,+19494946928,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.friendshipshelter.org/
orange-ca-overture-77355d7c,Alternative Sleeping Location (asl),shelter,"20652 Laguna Canyon Rd, Laguna Beach",33.570884704589844,-117.7621841430664,19494946928,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.lagunabeachcity.net
orange-ca-overture-01fad916,Second Harvest Food Bank of Orange County,meal,"8014 Marine Way, Irvine",33.66189956665039,-117.73843383789062,+19496532900,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://feedoc.org
orange-ca-overture-bbd48d86,Salvation Army - Southern California - Food Distribution Center,meal,"1515 W North St, Anaheim",33.84147644042969,-117.93682098388672,17147832344,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.salvationarmy.org
orange-ca-overture-31c6fc80,Mary's Kitchen,meal,"790 E Debra Ln, Anaheim",33.81279373168945,-117.90052795410156,+17146330444,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.maryskitchenpantry.org/
orange-ca-overture-87fb69be,Laguna Food Pantry,meal,"20652 Laguna Canyon Rd, Laguna Beach",33.57180404663086,-117.76250457763672,+19494977121,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://lagunafoodpantry.org/
orange-ca-overture-70ac0484,Catholic Charities Of Orange County,meal,"3631 W Warner Ave, Santa Ana",33.71479415893555,-117.91768646240234,+17146681130,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.catholiccharitiesusa.org/
orange-ca-overture-2bcbeb15,Thomas House Temporary Shelter,shelter,"12601 Morningside Ave # 6, Garden Grove",33.756797790527344,-117.9099349975586,+17145540357,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.thomashouseshelter.org/
orange-ca-overture-fc00e30c,Saddlebrook Church - San Clemente - Food Distribution Center,meal,"1311 Calle Batido, San Clemente",33.45786666870117,-117.586181640625,19496098665,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.saddleback.com
orange-ca-overture-f21cdca8,Mission Basilica - Father Serra's Food Pantry - Food Distribution Center,meal,"31611 El Camino Real, San Juan Capistrano",33.50264358520508,-117.66292572021484,19492341302,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: missionparish.org
