id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
orange-ny-overture-a5196b27,Greenwood Lake Food Pantry,meal,"41 Windermere Ave, Greenwood Lake",41.2213020324707,-74.29573822021484,+18454772139,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/greenwoodlakefoodpantry?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAb21jcAQPxKBleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAadEUs1AGfRN6Jtq5TWXdrYCQizE8bVEcmuRKW7uH0NvSRK6o4-ZOyMYs_kEvA_aem_lKvfUeQyCXub4-JQqTjRLQ
orange-ny-overture-52b69ca0,Goshen Food Pantry,shelter,"Presbyterian Church, 33 Park Pl, Goshen",41.40204620361328,-74.3217544555664,+18452949004,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.facebook.com/goshenfoodpantry
orange-ny-overture-64a82218,The Newburgh Ministry,shelter,"9 Johnston St, Newburgh",41.5007209777832,-74.01394653320312,18455610070,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://newburghministry.org
orange-ny-overture-6f794b54,Honorehg,shelter,"38 Seward Ave, Middletown",41.453269958496094,-74.43836975097656,18453437115,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
orange-ny-overture-0707c43f,Montgomery Food Pantry,meal,"2200 NY-208, Montgomery",41.5234375,-74.20098114013672,+18454579673,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.villageofmontgomery.org/services/food-pantry.html
orange-ny-overture-dc870f11,Wildcat Shelter,shelter,"Appalachian Trl, Warwick",41.268516540527344,-74.26818084716797,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
orange-ny-overture-f1c842d2,Project Life,shelter,"172 1st St, Newburgh",41.50241470336914,-74.01427459716797,+18455699334,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.newburghinterfaithprojectlife.org/
orange-ny-overture-04f56f46,Food Bank Of The Hudson Valley,meal,"195 Hudson St, Cornwall on Hudson",41.443477630615234,-74.0108413696289,18455345344,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: foodbankofhudsonvalley.org
orange-ny-overture-e48deeec,Florida Community Food Pantry,meal,"1 N Main St, Florida",41.332611083984375,-74.35665893554688,+18456514117,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
orange-ny-overture-a0f55ae7,Country Kids Food Pantry inc.,meal,"2 Father Tierney Cir, Washingtonville",41.434200286865234,-74.15996551513672,+18454962119,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://sites.google.com/site/countrykidsfoodpantry
