id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
outagamie-wi-overture-3ba9f666,COTS,shelter,"819 S West Ave, Appleton",44.25470733642578,-88.38932037353516,+19207343609,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.appletoncots.org/
outagamie-wi-overture-9c8a7ced,Feeding America Eastern Wisconsin - Fox Valley,meal,"2911 W Evergreen Dr, Appleton",44.301658630371094,-88.34812927246094,9202023690,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://feedingamericawi.org/
outagamie-wi-overture-dd5cd209,Pillars Adult and Family Shelter,shelter,"400 N Division St, Appleton",44.26498794555664,-88.41051483154297,+19207349192,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
outagamie-wi-overture-e2a73ab9,Freedom Center Food Pantry,meal,"1110 S Oneida St, Appleton",44.2520637512207,-88.40425109863281,+19204127582,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://freedom-from-hunger.org/
outagamie-wi-overture-bdd73d50,Freedom Food Pantry,meal,"W2002 County Rd S, Freedom",44.38661193847656,-88.28666687011719,+19202121438,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://sites.google.com/view/freedomfoodpantry/home
outagamie-wi-overture-8d7babf8,Oneida Food Distribution,meal,"N7360 Water Circle Pl, Oneida",44.50505447387695,-88.20117950439453,+19208691041,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://oneida-nsn.gov/resources/environmental/food-distribution/
outagamie-wi-overture-3e09fd41,Pillars Adult Shelter,shelter,"1928 W College Ave, Appleton",44.26401901245117,-88.43733215332031,19207349192,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.pillarsinc.org
outagamie-wi-overture-790ae121,Pillars Administrative Offices,shelter,"605 E Hancock St, Appleton",44.26869201660156,-88.39779663085938,+19207349192,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.pillarsinc.org/
outagamie-wi-overture-d9fda9c2,Shepherds Inn,shelter,"621 W Factory St, Seymour",44.51070022583008,-88.33717346191406,+19208332013,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.goodshepherdservices.org
outagamie-wi-overture-a7c71a63,Oneida Emergency Food Pantry,meal,"N7372 Water Cir Pl, Oneida",44.505123138427734,-88.20172119140625,+19208696165,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://oneida-nsn.gov/resources/food-pantry/
