id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
palm-beach-fl-overture-001c1ac5,Vetsville Cease Fire House,shelter,"291 NE 19th Ave, Boynton Beach",26.54656410217285,-80.06285858154297,+15617364325,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.vetsville.us/
palm-beach-fl-overture-421cc304,Safe Harbor Runaway Center,shelter,"3335 Forest Hill Blvd, West Palm Beach",26.652971267700195,-80.09369659423828,15618684444,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: djj.state.fl.us
palm-beach-fl-overture-494fabc3,Valley of Love Ministries,shelter,"1744 45th St, West Palm Beach",26.752897262573242,-80.0802993774414,5618442400,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://valleyofloveministries1.org/
palm-beach-fl-overture-f1b98c18,The Poverello Center,meal,"7721 N Military Trl, West Palm Beach",26.789562225341797,-80.10759735107422,+15618053669,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.poverello.org
palm-beach-fl-overture-01025cee,Perfect Love Outreach Foundation,meal,"9112 Highway A1A Alt, Palm Beach Gardens",26.80971336364746,-80.0762710571289,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
palm-beach-fl-overture-fb3be359,Oasis Compassion Agency,meal,"4952 10th Ave N, Greenacres",26.63028907775879,-80.1192626953125,5619674066,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.oasiscompassion.org/
palm-beach-fl-overture-7ff93bfb,Villages of Hope,shelter,"3551 Burma Cir, West Palm Beach",26.806982040405273,-80.09099578857422,+15615578949,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.villagesofhope.net/
palm-beach-fl-overture-181bce10,Gail Pavilion,shelter,"14200 U.S. Hwy 1, Juno Beach",26.88506507873535,-80.05557250976562,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
palm-beach-fl-overture-e8923f6e,A Place Without Judgement,shelter,"641 Triana St, West Palm Beach",26.685680389404297,-80.14965057373047,+19549181662,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://aplacewithoutjudgement.com/
palm-beach-fl-overture-e269801a,Feed the Hungry Pantry of PBC,meal,"900 Brandywine Rd, West Palm Beach",26.71483612060547,-80.0961685180664,+15613982828,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.feedthehungrypbc.org/
palm-beach-fl-overture-6800f5a5,West Palm Beach Housing Authority - RAD,shelter,"1612 N Tamarind Ave, West Palm Beach",26.72761344909668,-80.06120300292969,5616558530,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.wpbha.org/housing/public_housing.html
palm-beach-fl-overture-8fa615ee,Palm Beach County Food Bank,meal,"3600 Village Blvd, West Palm Beach",26.75294303894043,-80.09323120117188,+15613982828,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
palm-beach-fl-overture-c5c15038,Our Church Home,shelter,"2671 Hypoluxo Rd, Lake Worth Beach",26.572437286376953,-80.08442687988281,+15619326370,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.soberfloridaliving.com/
palm-beach-fl-overture-1e9d48ff,The Lord's Place,shelter,"2808 N Australian Ave, West Palm Beach",26.73859977722168,-80.0682144165039,+15614940125,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.thelordsplace.org/
palm-beach-fl-overture-6afb247d,Lord's Place,shelter,"1750 NE 4th St, Boynton Beach",26.542705535888672,-80.05826568603516,+15614940125,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.thelordsplace.org
palm-beach-fl-overture-7bb839df,Hospitality Helping Hands,meal,"4700 S Dixie Hwy, West Palm Beach",26.67039680480957,-80.05484771728516,+15618335691,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.hospitalityhelpinghands.org
palm-beach-fl-overture-2a3aeb78,West Palm Beach Housing Authority,shelter,"1201 7th St, West Palm Beach",26.720243453979492,-80.06456756591797,+15616553582,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
palm-beach-fl-overture-0863137d,The Senator Philip D. Lewis Center,shelter,"1000 45th St, West Palm Beach",26.752744674682617,-80.06685638427734,+15619047900,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.homelesscoalitionpbc.org/p/11/the-senator-philip-d-lewis-center
palm-beach-fl-overture-e038d53c,Feeding Hope Village,meal,"3437 Avenue O, Riviera Beach",26.790809631347656,-80.07447052001953,+15612906621,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
palm-beach-fl-overture-2511ba9a,Palm Beach County Food Bank,meal,"701 Boutwell Rd Suites A-1, A-2, Lake Worth Beach",26.6258487701416,-80.07620239257812,+15616702518,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://pbcfoodbank.org/
palm-beach-fl-overture-3bbe291f,United Haitian Baptist Church - Food Pantry,meal,"2015 Parker Ave, West Palm Beach",26.695423126220703,-80.06261444091797,15612156506,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.myuhbc.org/about-us
palm-beach-fl-overture-c08407f5,Reach Shelter Program,shelter,"1320 Henrietta Ave, West Palm Beach",26.72515869140625,-80.05715942382812,+15615140564,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://ctrfam.org
palm-beach-fl-overture-a00c4f69,Boca Helping Hands,meal,"1500 NW 1st Ct, Boca Raton",26.36379623413086,-80.08707427978516,+15614170913,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://hoo.be/bocahelpinghands
