id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
penobscot-me-overture-38090b21,Good Shepherd Food Bank,meal,"11 Penobscot Meadow Dr, Hampden",44.780582427978516,-68.79412841796875,+12079894672,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.gsfb.org/
penobscot-me-overture-51e9ba97,Lincoln Regional Food Cupboard,meal,"32 Park St, Lincoln",45.36554718017578,-68.52689361572266,+12077943784,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://lincolnmaine.org/general-assistance
penobscot-me-overture-b6a9119d,Newburgh Regional Community Food Pantry,meal,"363 Lindsey Rd, Newburgh",44.74437713623047,-69.01295471191406,+12076595613,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
penobscot-me-overture-0497270b,Bangor Area Homeless Shelter,shelter,"263 Main St, Bangor",44.796871185302734,-68.77386474609375,+12079470092,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.bangorareashelter.org/
penobscot-me-overture-f01b7019,Black Bear Exchange,meal,"139 Rangeley Rd, Orono",44.90149688720703,-68.66155242919922,+12075814567,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://engage.umaine.edu/bodwell-center/?a=12254258
penobscot-me-overture-c47522af,Burlington Food Pantry,meal,"1510 Long Ridge Rd, Burlington",45.213558197021484,-68.4229507446289,+12077944181,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.BurlingtonFoodPantry.com/
penobscot-me-overture-3b3195ce,Hampden Neighborhood Food Cupboard,meal,"101 Main Rd N, Hampden",44.74662399291992,-68.83625793457031,+12078625248,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
penobscot-me-overture-8a6f444f,Shaw House,shelter,"136 Union St, Bangor",44.79892349243164,-68.77399444580078,+12079412874,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.theshawhouse.org/
penobscot-me-overture-b1974a55,OHI Brewer Area Food Pantry,meal,"222 N Main St, Brewer",44.79674530029297,-68.76252746582031,+12079893200,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.ohimaine.org/brewer-area-food-pantry/
penobscot-me-overture-0de93e9d,Safe Place Food Pantry,meal,"328 Main St, Corinth",45.00217819213867,-69.02252197265625,+12072997671,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://safeplacefoodpantry1.placeweb.site
