id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
peoria-il-overture-0a8ea739,WestMark Food Pantry,meal,"1420 W Moss Ave, Peoria",40.693023681640625,-89.61527252197266,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
peoria-il-overture-853f85e7,CBC Bountiful Blessings Food Pantry,meal,"9600 N Broadway St, Peoria",40.80497741699219,-89.5715103149414,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
peoria-il-overture-5e4ae1f6,Peoria Area Food Bank,meal,"721 W McBean St, Peoria",40.68572998046875,-89.6048812866211,+13099993842,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://pafpantry.org/
peoria-il-overture-3a92b8b0,Hanna City Area Food Pantry,meal,"12208 W Farmington Rd, Hanna City",40.691192626953125,-89.78791046142578,+13095654513,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
peoria-il-overture-9ed79e18,House of Hope Peoria. INC,shelter,"514 S Shelley St, Peoria",40.68246078491211,-89.6170883178711,+13099229390,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.houseofhopepeoria.org/
peoria-il-overture-9e8b4f76,Sophia's Kitchen,meal,"105 North Richard Pryor Place, Peoria",40.688720703125,-89.60435485839844,+13096551578,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.catholicpeoria.org/
peoria-il-overture-d74b31f5,Pathway Ministries,shelter,"601 SW Adams St, Peoria",40.687931060791016,-89.59650421142578,+13096766416,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.pathwaypeoria.org/
peoria-il-overture-dea9de9f,PHCC FOOD Pantry,meal,"4906 N Prospect Rd, Peoria Heights",40.746559143066406,-89.5735092163086,+13096857649,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
peoria-il-overture-4d3e0be7,The Salvation Army Peoria - Food Services,meal,"417 NE Adams St, Peoria",40.69480895996094,-89.58561706542969,13096557272,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://centralusa.salvationarmy.org/indiana
peoria-il-overture-7c5845c6,Heart Of Illinois Harvest,meal,"3622 Knoxville Ave, Peoria",40.73166275024414,-89.59271240234375,+13096930876,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://heartofillinoisbasketball.com/
