id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
philadelphia-osm-708e6287,Philabundance,meal,"3616 South Galloway Street, Philadelphia, 19148",39.9014476,-75.1569472,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2632780801
philadelphia-osm-95c9d6ce,Baabun Nasr,meal,"1841 North 19th Street, Philadelphia, 19025",39.982159,-75.165182,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2719566945
philadelphia-osm-c06aa594,SHARE Food Program,meal,"2901 West Hunting Park Avenue, Philadelphia, 19129",40.0065485,-75.1762263,,,,,,,,,,,,,,,May-Oct: Mo-Sa 09:00-15:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2719642386
philadelphia-osm-21c1cd95,Tindley Temple Community Kitchen,meal,"750 South Broad Street, Philadelphia, 19146",39.9414207,-75.1664322,+12157350442,,,,,,,,,,,,,,Mo-Th 09:00-15:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2727247265
philadelphia-osm-1e0bd481,St. Luke's Episcopal Church,meal,"5421 Germantown Avenue, Philadelphia, 19144",40.033801,-75.1709901,+12158448544,,,,,,,,,,,,,,Fr 09:00-12:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2751248076
philadelphia-osm-8254402a,St. Matthew Baptist Church,meal,"634 East Chelten Avenue, Philadelphia, 19144",40.0436681,-75.1664613,+12158493070,,,,,,,,,,,,,,Fr 13:00-16:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2752431640
philadelphia-osm-2bb25d85,St. Peters AAL Food Share,meal,"Philadelphia, 19138",40.0675945,-75.153983,+12672352624,,,,,,,,,,,,,,Sa 10:00-12:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2752440017
philadelphia-osm-1e68267c,St. Vincent De Paul Church,meal,"109 East Price Street, Philadelphia, 19144",40.0380961,-75.1745414,+12154381514,,,,,,,,,,,,,,"Mo,Tu,Fr 09:00-12:00",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2752446335
philadelphia-osm-68ae56e7,Triedstone Church,meal,"6533 Wyncote Avenue, Philadelphia, 19138",40.0535064,-75.155787,+12159241530,,,,,,,,,,,,,,We 11:00-13:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2752452926
philadelphia-osm-8da7ed19,Upper Room Missionary Baptist,meal,"7236 Ogontz Avenue, Philadelphia, 19138",40.0647735,-75.1551949,+12155497311,,,,,,,,,,,,,,Mo 09:00-11:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2752461521
