id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
pierce-wa-overture-f9510bd8,Emergency Food Network,meal,"3318 92nd St S, Lakewood",47.17366027832031,-122.47956085205078,+12535841040,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.efoodnet.org/
pierce-wa-overture-d26c5a2e,Share and Care House of Tacoma,shelter,"3418 McKinley Ave, Tacoma",47.2309455871582,-122.42127227783203,+12535644177,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.shareandcarehouse.org
pierce-wa-overture-4a8df2fd,Sumner Community Food Bank,meal,"15625 Main St E, Sumner",47.2028923034668,-122.22019958496094,+12538633793,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.sumnerfoodbank.org/
pierce-wa-overture-d76d53d5,Families Unlimited Network,meal,"2610 Sunset Dr W, University Place",47.236080169677734,-122.5453109741211,+12534603134,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.familiesunlimitednetwork.org/
pierce-wa-overture-1b9d00bc,Orting Food Bank,meal,"224 Washington Ave S, Orting",47.09645462036133,-122.20189666748047,+13608930095,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://twitter.com/OrtingFoodBank
pierce-wa-overture-35648c3e,Helping Hand House,shelter,"4321 2nd St SW, Puyallup",47.15044403076172,-122.29412078857422,+12538486096,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.helpinghandhouse.org/
pierce-wa-overture-8c14aeff,My Sister's Pantry,meal,"621 Tacoma Ave S, Tacoma",47.2407112121582,-122.44132995605469,12536271186,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://mysisterspantry.org
pierce-wa-overture-75276fe4,St Leo Food Connection,meal,"1323 S Yakima Ave, Tacoma",47.24966812133789,-122.44610595703125,+12533835048,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.foodconnection.org
pierce-wa-overture-0475ac69,Bonney Lake Food Bank,meal,"18409 Veterans Memorial Dr E, Bonney Lake",47.17791748046875,-122.18302917480469,+12538634043,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: bonneylakefoodbank.org
pierce-wa-overture-bc6167d0,CARE Food Pantry,meal,"7310 12th Ave E, Tacoma",47.190460205078125,-122.41324615478516,+12534329394,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.carefoodpantry.org/
pierce-wa-overture-b6489ad7,Nourish Mobile Food Banks / Multicare Mary Bridge Children's Health Center - Food Distribution Center,meal,"311 S L St, Tacoma",47.25959777832031,-122.45448303222656,12533833164,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: nourishpc.org
