id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
pima-az-overture-7c74e593,The Hearth Foundation,shelter,"229 W King Rd, Tucson",32.273677825927734,-110.97515869140625,+15202079350,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.thehearthfoundation.com/
pima-az-overture-8092aaa2,Gospel Rescue Mission: Community Ministries,shelter,"338 W 28th St, Tucson",32.20055389404297,-110.9742202758789,5207401501,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.grmtucson.com/
pima-az-overture-017cda28,TMBC Food Pantry,meal,"5757 W Ajo Hwy, Tucson",32.16666030883789,-111.08683776855469,+15205237884,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://tucsonmountainchurch.org/food_pantry
pima-az-overture-05ae73a4,Old Pueblo Community Services,shelter,"2323 S Park Ave, Tucson",32.194766998291016,-110.95561981201172,+15205460122,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.helptucson.org/
pima-az-overture-369204e8,The Primavera Foundation Shelter for families,shelter,"702 S 6th Ave, Tucson",32.213134765625,-110.96880340576172,+15206235111,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://primavera.org
pima-az-overture-f5592cc1,Southern Arizona Animal Food Bank,meal,"4444 E Grant Rd Ste 116, Tucson",32.25002670288086,-110.89767456054688,+15202687299,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.SAAFB.org/
pima-az-overture-feaeedf8,Holy Family Church - Food Distribution Center,meal,"338 W University Blvd, Tucson",32.232093811035156,-110.97745513916016,15206236773,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.library.pima.gov
pima-az-overture-8b5861c0,ReSources Vail Food Bank,meal,"13105 E Colossal Cave Rd Unit 4, Vail",32.04738235473633,-110.7134780883789,+15203382610,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://resourcesvail.org/
pima-az-overture-55ee0b65,Primavera Foundation - Project Action For Veterans,shelter,"3504 S 6th Ave  Ste 150, Tucson",32.18317413330078,-110.96870422363281,15203083093,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.primavera.org
pima-az-overture-362c7aee,Sol Food Initiatives,meal,"8302 E Broadway Blvd, Tucson",32.219974517822266,-110.8150405883789,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.solfoodkitchen.org/
pima-az-overture-7f4800c8,Caridad Community Kitchen,meal,"845 N Main Ave, Tucson",32.232635498046875,-110.97811126708984,+15208825641,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.communityfoodbank.org/locations/caridad-community-kitchen/
pima-az-overture-890b38c3,Gospel Rescue Mission,shelter,"4550 S Palo Verde Rd, Tucson",32.16957473754883,-110.9190673828125,15207401501,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.grmtucson.com
pima-az-overture-6228ebd7,Center of Opportunity,shelter,"4550 S Palo Verde Rd, Tucson",32.1697998046875,-110.91899108886719,+15207401501,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://centerofopportunity.org/
pima-az-overture-0b89c03a,Primaver Emergency Men's Shelter,shelter,"110I S 10th Ave, Tucson",32.18540954589844,-110.96665954589844,+15206234300,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://primavera.com
pima-az-overture-3161d504,God's Vast Resources,meal,"6161 E 22nd St, Tucson",32.20756912231445,-110.86114501953125,+15207779629,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.godsvastresources.org/
pima-az-overture-74719830,Haven Totes,meal,"710 S Kolb Rd, Tucson",32.2123908996582,-110.84236907958984,15206610370,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.haventotes.org
pima-az-overture-f7940875,Southern Arizona Aids Foundation (saaf's Food For Life Program) - Food Distribution Center,meal,"375 S Euclid Ave, Tucson",32.217803955078125,-110.95771789550781,15206287223,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.saaf.org
pima-az-overture-24b26ca5,Norstar Non-Profit Organization,shelter,"700 W Orange Grove Rd, Tucson",32.32334899902344,-110.97998809814453,+15205000343,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.norstarnonprofit.com/
pima-az-overture-90f5fde7,Littletown Food Bank,meal,"6465 S Craycroft Rd, Tucson",32.13393783569336,-110.87480163574219,+15205742263,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
pima-az-overture-3c2f6f33,St Francis Shelter,shelter,"601 E Fort Lowell Rd, Tucson",32.26506805419922,-110.96275329589844,+15204614943,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.stfrancisshelteraz.org/
pima-az-overture-4ba56ca1,Dragonfly Village,shelter,"10496 E Tanque Verde Rd, Tucson",32.24781036376953,-110.76748657226562,+15207494302,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://dragonflyvillage.org
pima-az-overture-d09186ab,Midwest Food Bank,meal,"829 S 6th Ave, Tucson",32.211185455322266,-110.96829223632812,15203011477,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.midwestfoodbank.org
pima-az-overture-88a178ed,Our Family Services,shelter,"2590 N Alvernon Way, Tucson",32.254005432128906,-110.90928649902344,+15203231708,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.ourfamilyservices.org/
pima-az-overture-430acd5a,Veteran Rescue Mission,shelter,"7670 N Star Grass Dr, Tucson",32.34617233276367,-111.06708526611328,+15203299192,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.VeteranRescueMission.org/
pima-az-overture-a97080e0,The Salvation Army Hospitality House,shelter,"1002 N Main Ave, Tucson",32.23462677001953,-110.97767639160156,+15206225411,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.salvationarmyusa.org/
pima-az-overture-d20844e7,Community Food Bank,meal,"3003 S Country Club Rd, Tucson",32.188743591308594,-110.92507934570312,5206220525,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.communityfoodbank.org/
