id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
pinellas-fl-overture-2fce422f,Operation Attack,meal,"1310 22nd Ave S, St Petersburg",27.748254776000977,-82.65278625488281,+17278221187,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.operationattack.org/
pinellas-fl-overture-12ca6e35,St. Vincent de Paul CARES Food Center,meal,"401 15th St N, St Petersburg",27.776844024658203,-82.6536636352539,+17279548668,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
pinellas-fl-overture-3e5377b1,Hope Villages Of America,meal,"700 Druid Rd E, Clearwater",27.95766830444336,-82.79662322998047,17274434031,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://hopevillagesofamerica.org
pinellas-fl-overture-94a26e8b,Beacon Street Ministries - Food Pantry,meal,"3470 Adrian Ave, Largo",27.900787353515625,-82.82278442382812,17272782285,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://beaconstreetministries.org
pinellas-fl-overture-5432bb51,Hannah's Homeless,shelter,"2244 1st Ave N, St Petersburg",27.77166748046875,-82.66394805908203,+17275643195,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.hannahshomeless.org/
pinellas-fl-overture-06065764,Alpha House Of Pinellas County,shelter,"701 5th Ave N, St Petersburg",27.777790069580078,-82.64301300048828,17278228190,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.alphahousepinellas.org
pinellas-fl-overture-15a34d2c,Pinellas Hope,shelter,"5726 126th Ave N, Clearwater",27.886240005493164,-82.71109008789062,+17275566397,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.pinellashope.org/
pinellas-fl-overture-9011da1a,Dunedin Cares Food Pantry,meal,"1630 Pinehurst Rd, Dunedin",28.027450561523438,-82.77277374267578,+17274108495,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.dunedincares.org/
pinellas-fl-overture-73a63175,Cfn 1st Thursday Monthly Hope In The Park Free Community Dinner-food Pantry,meal,"1875 Nursery Rd, Clearwater",27.941913604736328,-82.75982666015625,7275361498,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: www.clearwaternazarene.org
pinellas-fl-overture-bd678dbf,Daystar Life,meal,"1055 28th St S, St Petersburg",27.759492874145508,-82.6714096069336,+17278250442,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.daystarlife.org/
pinellas-fl-overture-1672cfa9,St. Petersburg Free Clinic,meal,"863 3rd Ave N, St Petersburg",27.77553939819336,-82.64600372314453,+17278211200,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://stpetersburgfreeclinic.org
pinellas-fl-overture-f93e72a7,St. Jerome Lifeline Ministry - Food Pantry,meal,"10895 Hamlin Blvd, Largo",27.872257232666016,-82.83873748779297,17273514756,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.stjeromeonline.org
pinellas-fl-overture-bc46f548,Harbor Dish,meal,"3380 FL-580, Safety Harbor",28.028076171875,-82.69733428955078,+17277968286,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.harbordish.org/
pinellas-fl-overture-535b61eb,Harvest Of Hope Food Pantry,meal,"4682 40th Ave N, St Petersburg",27.808015823364258,-82.6980209350586,17273449979,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.wherehopewins.church
pinellas-fl-overture-9cd12efa,Corinne's Food Pantry,meal,"1122 S Myrtle Ave, Clearwater",27.953853607177734,-82.79637908935547,+17274330111,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.corinnesfoodpantry.com/
pinellas-fl-overture-6612637c,Southern Supportive Services,shelter,"1655 16th St S, St Petersburg",27.754100799560547,-82.65496063232422,+18004357352,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://southernsupportiveservices.org/
pinellas-fl-overture-6f1337e9,We Help,meal,"863 3rd Ave N, St Petersburg",27.77553939819336,-82.64600372314453,17278211200,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://stpetersburgfreeclinic.org
pinellas-fl-overture-94106247,Oak Ridge Wesleyan Church - Food Pantry,meal,"11000 110th Ave  # 1, Largo",27.872051239013672,-82.7917251586914,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: oakridgewc.com
pinellas-fl-overture-f5aa2bae,"Interfaith Food Pantry, Inc.",meal,"9530 Starkey Rd, Seminole",27.858036041259766,-82.76384735107422,7273929365,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.interfaithfoodpantry.com/
pinellas-fl-overture-0404f5db,Bed Bug Exterminator,shelter,"750 4th Ave S Unit 304, St. Petersburg",27.766826629638672,-82.64434051513672,7278664232,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.bedbugexterminator.org/
pinellas-fl-overture-9f06f81e,Rcs Grace House,shelter,"1552 S Myrtle Ave, Clearwater",27.940614700317383,-82.79647827148438,17274465964,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.rcspinellas.org
pinellas-fl-overture-9f5bcd3e,FEAST Food Pantry,meal,"2255 Nebraska Ave, Palm Harbor",28.079925537109375,-82.744873046875,+17277895275,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://feastfoodpantry.org/
pinellas-fl-overture-0c8ddda0,Homeless Empowerment Program,shelter,"1120 N Betty Ln, Clearwater",27.97705078125,-82.78455352783203,+17274429041,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.HEPempowers.org/
pinellas-fl-overture-670777b6,Kimberly Home Inc,shelter,"1189 NE Cleveland St, Clearwater",27.967782974243164,-82.78822326660156,+17274430471,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.kimberlyhome.org/
