id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
placer-ca-overture-8f5b0e28,Auburn Adventist Community Services,meal,"12225 Rock Creek Rd, Auburn",38.94607925415039,-121.09410095214844,15308230345,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.aubsda.org
placer-ca-overture-d27fd556,Acres of Hope,shelter,"13675 Bowman Rd, Auburn",38.9325065612793,-121.0576400756836,+15308788030,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://acresofhopeonline.org/
placer-ca-overture-5e5cfbc9,The Salt Mine Food Closet,meal,"590 Lincoln Blvd, Lincoln",38.893035888671875,-121.29316711425781,+19166453778,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://thesaltmine.org/
placer-ca-overture-2bb2b9de,Everyone Matters Ministries,shelter,"3031 Stanford Ranch Rd  # 2-420, Rocklin",38.816131591796875,-121.2584457397461,19162090287,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.everyonemattersministries.com
placer-ca-overture-3e4fc9bb,Auburn Interfaith Food Closet,meal,"1788 Auburn Ravine Rd, Auburn",38.92225646972656,-121.05903625488281,+15308851921,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://auburnfoodcloset.org/
placer-ca-overture-f8ab9a7c,Maidu village apartments,shelter,"1750 Eureka Rd, Roseville",38.73994827270508,-121.24384307861328,+19167734050,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.projectgoinc.org
placer-ca-overture-f10d2ce3,Feeding The Foothills,meal,"8284 Industrial Ave, Roseville",38.784576416015625,-121.30410766601562,19167830481,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://placerfoodbank.org
placer-ca-overture-61bd6a0b,Colonial Village,shelter,"2205 Colonial Village, Auburn",38.93559646606445,-121.09061431884766,+15308891072,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.projectgoinc.org
placer-ca-overture-cb01a8a8,The Gathering Inn,shelter,"201 Berkeley Ave, Roseville",38.75148391723633,-121.28890228271484,19167919355,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.thegatheringinn.com
placer-ca-overture-55bc2546,The Gathering Inn,shelter,"4020 Sierra College Blvd, Rocklin",38.8094596862793,-121.20622253417969,+19167919355,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://thegatheringinn.com/
