id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
plymouth-ma-overture-9179a70b,East Bridgewater Food Pantry,meal,"105 Pleasant St, East Bridgewater",42.0346794128418,-70.97596740722656,+15083782874,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://uccofeb.org/
plymouth-ma-overture-5c322cc6,Abington Food Pantry,meal,"425 Plymouth St, Abington",42.11727523803711,-70.93669891357422,+17818781194,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
plymouth-ma-overture-93a7865d,Whitman Food Pantry,meal,"44 Blake St, Whitman",42.082542419433594,-70.92948150634766,+17814478560,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
plymouth-ma-overture-0474677c,Norwell Food Pantry,meal,"345 Main St, Norwell",42.15793991088867,-70.8176498413086,17816905050,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://friendsofnorwell.org
plymouth-ma-overture-8cf2bbf6,Mainspring Shelter Brockton,shelter,"26 Spring St, Brockton",42.0865592956543,-71.02125549316406,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
plymouth-ma-overture-e00755e6,Weymouth Food Pantry,meal,"40 Reservoir Park Dr, Rockland",42.160560607910156,-70.90641021728516,+17813317682,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.weymouthfoodpantry.org
plymouth-ma-overture-bb78598c,"West Bridgewater Food Pantry, Inc.",meal,"2 Spring St, West Bridgewater",42.02069091796875,-71.01478576660156,3399871684,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
plymouth-ma-overture-87446256,Brockton Housing Authority,shelter,"1380 Main St, Brockton",42.05817794799805,-71.01246643066406,+15085865508,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.brocktonhousingauthority.com
plymouth-ma-overture-f3d23ae6,West Bridgewater Food Pantry,meal,"457r S Main St, West Bridgewater",42.00410079956055,-70.99166870117188,+15085105274,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://wbfoodpantry.com/
plymouth-ma-overture-ff5b5bbc,Saint Kateri Food Pantry,meal,"126 S Meadow Rd, Plymouth",41.92170715332031,-70.71905517578125,15087471568,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://maryqueenofmartyrs.org
plymouth-ma-overture-a7e78035,Hanover Food Pantry,meal,"Sylvester Elementary School, 495 Hanover St, Hanover",42.11723709106445,-70.84196472167969,+17813366275,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://hanoverfoodpantry.org/
plymouth-ma-overture-d8ce5d7d,Carolina Hill Shelter,shelter,"728 Main St, Marshfield",42.114662170410156,-70.73372650146484,+17818371377,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.carolinahill.org/
plymouth-ma-overture-cff2f622,Marshfield Food Pantry,meal,"1837 Ocean St, Marshfield",42.091453552246094,-70.7024154663086,+17818370359,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.marshfieldfoodpantry.org/
plymouth-ma-overture-7d869e1b,Support The Soupman,shelter,"1 Bert Dr  Ste 6, West Bridgewater",42.036720275878906,-71.05875396728516,15085106680,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
plymouth-ma-overture-93468ed2,Damien's Place Food Pantry,meal,"242 Marion Rd, Wareham",41.753692626953125,-70.73316955566406,+15082953486,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://damiensfoodpantry.org/
plymouth-ma-overture-b99cef57,Anchor House Inc,shelter,"60 Cherry St, Plymouth",41.97165298461914,-70.6903076171875,+15087466654,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.anchorhousenj.org
