id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
portland-osm-c76aa0c3,Fish,meal,,45.6283947,-122.6795842,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/4331337967
portland-osm-39a009bc,Sunshine Division,meal,"12436 Southeast Stark Street, Portland, OR, 97233",45.5188663,-122.5351289,+19712550834,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/6308943546
portland-osm-9bee4213,Behavioral Health Resource Center,shelter,"333 Southwest Park Avenue, Portland, OR, 97205",45.5220323,-122.6795826,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/6390159292
portland-osm-b267fec5,Meals on Wheels People,meal,"1032 Southwest Main Street, Portland, 97205",45.5174026,-122.6844281,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/6554169240
portland-osm-d787eca3,Transition Projects Resource Center,shelter,"650 Northwest Irving Street, Portland, OR, 97209",45.5277529,-122.6773414,+15032804700,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/7495589854
portland-osm-2f45358f,Esther's Pantry,meal,"10202 Southeast 32nd Avenue, Milwaukie, OR, 97222",45.4496118,-122.629003,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/7560325700
portland-osm-c8bfb083,Northeast Emergency Food Program,meal,"4800 Northeast 72nd Avenue, Portland, OR, 97218",45.5580436,-122.5886543,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/7560545149
portland-osm-8b07b453,The Salvation Army Female Emergency Shelter (SAFES),shelter,"30 Southwest 2nd Avenue, Portland, OR, 97204",45.5227503,-122.672175,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/7566994474
portland-osm-243593c0,Wy’east Shelter,shelter,"1415 Southeast 122nd Avenue, Portland, OR, 97233",45.5132589,-122.5380806,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/7593631074
portland-osm-7703da14,Right 2 Dream Too,shelter,"999 North Thunderbird Way, Portland, OR, 97227",45.530116,-122.6688996,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/9077801982
portland-osm-1197c4d9,Feed the Mass,meal,"80 Northwest Davis Street, Portland, OR, 97209",45.524356,-122.6708749,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/9785995427
