id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
prince-george-s-md-overture-bbc7cf8d,Prince George's House Men's Shelter,shelter,"603 Addison Rd S, Capitol Heights",38.88103485107422,-76.89852142333984,+13018085317,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.jobshavepriority.org
prince-george-s-md-overture-92db59d6,"Blessed To Help, Inc.",meal,"11516 Fort Washington Rd, Fort Washington",38.73796463012695,-77.001708984375,+12405085592,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://blessedtohelp.org/
prince-george-s-md-overture-b5b96d61,Fort Washington Food Pantry,meal,"9801 Livingston Rd, Fort Washington",38.75566482543945,-77.00096893310547,12402572762,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
prince-george-s-md-overture-9aa2bd4f,Service Area Example,meal,"6406 Ivy Ln Ste 700, Greenbelt",39.00833511352539,-76.89493560791016,8666987513,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
prince-george-s-md-overture-088716f2,Fountain Community Enrichment,meal,"15853 Commerce Ct, Upper Marlboro",38.88497543334961,-76.73117065429688,+12404846800,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fountainenrichment.org/
prince-george-s-md-overture-a1f3500e,Bowie Interfaith Pantry and Emergency Aid Fund,meal,"2614 Kenhill Dr, Bowie",38.96152114868164,-76.74132537841797,+13012626765,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.bowiefoodpantry.org/
prince-george-s-md-overture-2350a729,Elizabeth House,meal,"308 Gorman Ave, Laurel",39.0985221862793,-76.85050964355469,+13017769296,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fishoflaurel.org
prince-george-s-md-overture-9f2f2c40,Creating Connections,meal,"7721 Barlowe Rd, Hyattsville",38.91794204711914,-76.87242889404297,+12028272131,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.creatingcommunityconnections.org/
prince-george-s-md-overture-a2ff3418,Marlboro Churches Food Bank,meal,"4610 Largo Rd, Upper Marlboro",38.82541275024414,-76.74915313720703,+13016273255,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
prince-george-s-md-overture-f404b3f4,Fish of Laurel Inc,meal,"308 Gorman Ave, Laurel",39.09851837158203,-76.85053253173828,+13012627106,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fishoflaurel.org/
