id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
providence-ri-overture-9c857f9c,Project Outreach,meal,"1520 Broad St, Providence",41.78596115112305,-71.40145111083984,+14019412212,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://opentableofchrist.org/project-outreach-2/
providence-ri-overture-ad74d279,Cranston Housing Authority,shelter,"50 Birch St, Cranston",41.80064392089844,-71.44898223876953,+14019447210,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.officialhousingauthority.com/rhode-island/cranston-housing-authority
providence-ri-overture-9ff5dd6e,The Northern Rhode Island Food Pantry,meal,"1 Angell Rd, Cumberland",41.93764877319336,-71.42890167236328,+14013475714,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.nrifoodpantry.org/
providence-ri-overture-a62d0a96,Good Neighbors,meal,"55 Turner Ave, Riverside",41.770755767822266,-71.35851287841797,+14014330045,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.goodneighborsri.org/
providence-ri-overture-9c6f374b,Blessed Mother Mary Food Pantry Inc,meal,"1 Weingeroff Blvd, Cranston",41.76692199707031,-71.41854095458984,14019465291,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.michaeltnapolitano.com
providence-ri-overture-30bd05e0,Pawtucket Soup Kitchen,meal,"195 Walcott St, Pawtucket",41.877357482910156,-71.37325286865234,+14012584616,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.pawtucketsoupkitchen.org/
providence-ri-overture-e6ff2e44,Sojourner House,shelter,"1570 Westminster St, Providence",41.815879821777344,-71.43557739257812,+14018616191,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.sojournerri.org/
providence-ri-overture-444833c9,Crossroads Family Shelter,shelter,"754 Broad St, Providence",41.80348587036133,-71.41890716552734,+14014611755,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://crossroadsri.org
providence-ri-overture-147e762e,"Blessing Box of Cumberland, RI",meal,"1460 Diamond Hill Rd, Cumberland",41.93161392211914,-71.40349578857422,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://blessingboxcumberl.wixsite.com/blessingboxofcumberl
providence-ri-overture-e4c21521,Elmhurst House,shelter,"55 Waterman Ave, North Providence",41.8597412109375,-71.48599243164062,+14012317555,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.phoenix-ri.com/property-by-location/north-providence/elmhurst-house
providence-ri-overture-99bb0551,St Edward Food Center,meal,"1001 Branch Ave, Providence",41.855716705322266,-71.4397201538086,14016021880,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://stedwardfoodcenter.org
providence-ri-overture-d4a8bd6e,Bread Of Life Food Pantry - Food Distribution Center,meal,"100 Newman Ave, Rumford",41.84141540527344,-71.35061645507812,14014344742,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.newmanucc.org
providence-ri-overture-b0b87a33,Blackstone Valley Emergency Food Center,meal,"75 Benefit St, Pawtucket",41.892494201660156,-71.3686752319336,+14017247170,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://blackstone-valley-emergency-food-center.business.site/?m=true
providence-ri-overture-ef6700eb,Providence Rescue Mission,shelter,"627 Cranston St, Providence",41.806758880615234,-71.43612670898438,+14012748861,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.providencerescuemission.org/
providence-ri-overture-defcb898,The Emmanuel House Men's Shelter,shelter,"239 Public St, Providence",41.80709457397461,-71.40866088867188,+14014217888,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
providence-ri-overture-63bc4f06,Rhode Island Community Food Bank,meal,"200 Niantic Ave, Providence",41.7970085144043,-71.43807220458984,+14019426325,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.rifoodbank.org/
providence-ri-overture-32646ed0,Your Neighborhood Food Pantry,meal,"533 Branch Ave, Providence",41.851707458496094,-71.4229507446289,+14019195233,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://ynfp.org/
providence-ri-overture-bc219692,Blackstone Valley Community Action Program - Food Distribution Center,meal,"210 West Ave, Pawtucket",41.869728088378906,-71.39095306396484,14017234520,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://bvcap.org
providence-ri-overture-32adbbe1,Central Falls Food Pantry,meal,"626 Broad St, Central Falls",41.88823318481445,-71.38835144042969,+14017285920,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.progresolatino.org/
providence-ri-overture-2e1ea427,Cranston Housing Authority Resident,shelter,"85 Briggs St, Cranston",41.78324890136719,-71.46583557128906,+14014646275,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
providence-ri-overture-c6182260,Dcyf Food Bank - Food Distribution Center,shelter,"101 Friendship St, Providence",41.8209342956543,-71.41120910644531,+14015283644,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
providence-ri-overture-107090e8,Central Falls Food Pantry At Progreso Latino,meal,"20 Claremont St, Central Falls",41.885826110839844,-71.39997863769531,13013394133,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.progresolatino.org
