id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
ramsey-mn-overture-a5be4b1d,Journey's Homes,shelter,"671 Van Buren Ave, St Paul",44.96215057373047,-93.12844848632812,+17632190191,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.journeyshomesllc.com
ramsey-mn-overture-413b5c96,Multicultural Care Center,shelter,"1821 University Ave W Ste S292, Saint Paul",44.957313537597656,-93.17586517333984,+16514931271,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.multicaremn.com
ramsey-mn-overture-821f8e2b,New Foundations Eastside,shelter,"1161 Westminster St, St Paul",44.97606658935547,-93.08646392822266,+16124555253,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.ppl-inc.org/our-service-model
ramsey-mn-overture-8490ca91,Vineyard Community Services,meal,"1280 Arcade St, Saint Paul",44.97962951660156,-93.06527709960938,19525955980,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://vcsmn.org
ramsey-mn-overture-b4d94a7e,StreetPax,shelter,"2332 Lexington Ave N, Roseville",45.0114631652832,-93.14583587646484,6516360946,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://streetpax.org/
ramsey-mn-overture-0781cc9f,North St. Paul Area Emergency Food Shelf,meal,"2266 2nd St N, North St Paul",45.00959014892578,-92.99969482421875,+16517701309,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.nspafoodshelf.org/
ramsey-mn-overture-93652eb1,Today's Harvest,meal,"1740 Van Dyke St, Maplewood",44.994449615478516,-93.02103424072266,6513231200,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://todaysharvestmn.org/
ramsey-mn-overture-9b21afc1,White Bear Area Food Shelf,meal,"1884 Whitaker St, White Bear Lake",45.07537078857422,-93.02085876464844,+16514075310,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.whitebearfoodshelf.org/
ramsey-mn-overture-931239d8,Women's Advocates,shelter,"Grand Ave, St Paul",44.93989944458008,-93.12618255615234,+16512279966,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.wadvocates.org/
ramsey-mn-overture-62f82785,Fruit of the Vine Food Shelf,meal,"1280 Arcade St, St Paul",44.979923248291016,-93.06511688232422,+19525955980,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://vcsmn.org/
ramsey-mn-overture-3628b6c4,North St. Paul Area Food Shelf,meal,"2538 Seppala Blvd, North St Paul",45.01234817504883,-92.9927749633789,+16517701309,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.nspafoodshelf.org
ramsey-mn-overture-f03a05a5,Catholic Charities Family Service Center,shelter,"2001 Van Dyke St, Maplewood",44.99961853027344,-93.02269744873047,+16516472300,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.cctwincities.org/locations/family-service-center
ramsey-mn-overture-e7718e8b,7th Street West Salvation Army - Food Distribution Center,meal,"401 7th St W, Saint Paul",44.93943786621094,-93.10975646972656,16512244316,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://centralusa.salvationarmy.org/indiana
ramsey-mn-overture-c3daec9c,Bethel Hotel-Working Men's Htl,shelter,"435 University Ave E, Saint Paul",44.95872116088867,-93.08512878417969,6512921721,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
ramsey-mn-overture-cb145bec,Union Gospel Mission Twin Cities—Administrative Offices,shelter,"376 Western Ave N, St. Paul",44.95243835449219,-93.11613464355469,6512281800,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://ugmtc.org/
ramsey-mn-overture-ba9b0e19,Union Gospel MSN Twin Cities,shelter,"580 Highway 96 W, Saint Paul",45.077457427978516,-93.12564849853516,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.ugmtc.org/
ramsey-mn-overture-db849ed3,Union Gospel Mission Twin Cities,shelter,"77 9th St E, Saint Paul",44.94978332519531,-93.09526824951172,6512281800,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://ugmtc.org/
ramsey-mn-overture-6b51acad,Philomena House,shelter,"906 Lexington Pkwy N, St Paul",44.9686393737793,-93.1463623046875,+17633443339,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://philomenahouse.org/
ramsey-mn-overture-145d5d50,Ralph Reeder Food Shelf,meal,"2544 Mounds View Blvd, Mounds View",45.106689453125,-93.21287536621094,+16516216280,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.ralphreederfoodshelf.org/
ramsey-mn-overture-88319c73,The Anthony House,shelter,"2534 Hillwood Dr E, Maplewood",44.92154312133789,-92.991943359375,+16513342395,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.theanthonyhouse.com/
ramsey-mn-overture-e1d8eab0,Sarah's an Oasis for Women,shelter,"1884 Randolph Ave, St Paul",44.926734924316406,-93.1798095703125,+16516968699,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.sarahsoasis.org/
ramsey-mn-overture-cc42c7db,Kingdom Pathways,shelter,"1088 University Ave W, Saint Paul",44.9554328918457,-93.14582061767578,16513878393,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://kingdompathways.org
ramsey-mn-overture-db6d9f52,Keystone Community Services Midway Food Shelf,meal,"1916 University Ave W, Saint Paul",44.95701599121094,-93.18077850341797,16519173792,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://keystoneservices.org
ramsey-mn-overture-dfba07e6,The Corner Shelf,meal,"1740 Van Dyke St N, St Paul",44.99348449707031,-93.02117156982422,+16512873000,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.whchurch.org/the-corner-shelf
ramsey-mn-overture-25051d8b,Rakhma Joy Home,shelter,"123 S Wheeler St, St Paul",44.93762969970703,-93.17516326904297,+16128242345,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.rakhma.org
ramsey-mn-overture-83c7624f,Listening House Of St. Paul,shelter,"421 7th St E, Saint Paul",44.953731536865234,-93.08330535888672,16512275911,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.listeninghouse.org
ramsey-mn-overture-aa8b5a9e,Spare Key,shelter,"480 Broadway St, St Paul",44.95341873168945,-93.08798217773438,+19524068872,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/SpareKey97
ramsey-mn-overture-db796133,Central Village Housing,shelter,"513 Central Ave W, St Paul",44.9536018371582,-93.12196350097656,+16124015794,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.centralvillagehousing.com/
ramsey-mn-overture-36c0d883,360 Housing Stability,shelter,"1351 Arcade St, Saint Paul",44.98220443725586,-93.0662841796875,+16513928881,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.360housingstability.com
ramsey-mn-overture-9c62a43a,Salvation Army Lakewood - Food Distribution Center,meal,"2080 Woodlynn Ave, Maplewood",45.03297424316406,-93.01347351074219,16517704974,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://centralusa.salvationarmy.org/indiana
ramsey-mn-overture-c8f9c085,Vadnais Heights Food Shelf - Food Distribution Center,meal,"655 County Road F E, Vadnais Heights",45.065521240234375,-93.07257843017578,16512463638,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.cityvadnaisheights.com
ramsey-mn-overture-fc3fd870,Catholic Charities Higher Ground Saint Paul,shelter,"235 W 5th St #110, St Paul",44.94731521606445,-93.10266876220703,+16516472350,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
ramsey-mn-overture-59c1074b,Keystone Community Services Rice Street Food Shelf,meal,"1459 Rice St  # 3, Saint Paul",44.985595703125,-93.10623931884766,16514872792,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://keystoneservices.org
ramsey-mn-overture-034230e4,Manna Market,meal,"2425 White Bear Ave N, Maplewood",45.01455307006836,-93.0214614868164,+16517775200,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.redeeminglovechurch.com/ministries/manna-pantry/
