id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
richland-sc-overture-ea839c1e,FoodShare South Carolina,meal,"201 Columbia Mall Blvd Suite 109, Columbia",34.06364440917969,-80.96561431884766,+18038514461,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/FoodShareSC
richland-sc-overture-d6ff5c9d,Transitions Homeless Center,shelter,"2025 Main St, Columbia",34.01261901855469,-81.03902435302734,+18037084861,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://transitionssc.networkforgood.com/events/88331-reconstructing-home
richland-sc-overture-7515fe43,Tranquility Transitional Housing,shelter,"1122 Lady St Ofc 317, Columbia",34.00218200683594,-81.03449249267578,+18446568359,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
richland-sc-overture-1cc0bad3,Killingsworth,shelter,"1831 Pendleton St, Columbia",34.001991271972656,-81.02152252197266,+18037716359,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://killingsworth.org/
richland-sc-overture-4d6cffee,Salvation Army Food Distribution Center,meal,"3020 Farrow Rd, Columbia",34.02869415283203,-81.02590942382812,+18037650260,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://SalvationArmyMidlands.org/
richland-sc-overture-27d6000b,Columbia Women's Shelter,shelter,"3425 N Main St, Columbia",34.03167724609375,-81.04264068603516,+18037794706,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/womenshelter
richland-sc-overture-192d8efa,Family Shelter,shelter,"2411 Two Notch Rd, Columbia",34.02711486816406,-81.0105209350586,+18037717040,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.familysheltersc.org/donate.html
richland-sc-overture-05b399a7,"Division of Food, Nutrition, Health and Environmental Control - Food Distribution Center",meal,"2600 Bull St, Columbia",34.02268981933594,-81.03666687011719,+18038983432,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://dhec.sc.gov
richland-sc-overture-e4bd34b0,JBC Cares,meal,"1051 Clarkson Rd, Hopkins",33.9020881652832,-80.87294006347656,+18038143837,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.jbccares.org/donations/jbc-cares-inc/
richland-sc-overture-73de91a9,St. Lawrence Place,shelter,"2400 Waites Rd, Columbia",34.024959564208984,-81.0136947631836,+18032563999,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.stlawrenceplace.org/help-us/donate/
richland-sc-overture-7b24ea85,Providence Home,shelter,"3421 N Main St, Columbia",34.031124114990234,-81.0427017211914,+18037792927,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.providencehomecolumbia.org/
richland-sc-overture-566392b7,Harvest Hope Food Bank,meal,"2220 Shop Rd, Columbia",33.96272277832031,-80.98979949951172,+18032544432,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.harvesthope.org/
