id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
riverside-ca-overture-8fae291a,Thermal Food & Donation Center,meal,"56301 Market St, Thermal",33.64009475708008,-116.14067840576172,+17608443842,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.thermalfdc.org/
riverside-ca-overture-673a2d5b,Hidden Harvest,meal,"85-711 Peter Rabbit Ln, Coachella",33.68327713012695,-116.17485809326172,+17602192909,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.hiddenharvest.org/
riverside-ca-overture-58d56bdd,FIND Food Bank,meal,"83775 Citrus Ave, Indio",33.7180290222168,-116.2052230834961,+17607753663,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://findfoodbank.org/?form=DonateNow&fundraiser=NXMAAHJC&member=SZALLNKX
riverside-ca-overture-376d3fa7,Family & Kids Foundation,meal,"21770 Van Buren Blvd, Riverside",33.888702392578125,-117.28243255615234,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://familykidsfoundation.org
riverside-ca-overture-32ca2ab8,Mobile Food Bank USA,meal,"5925 Sycamore Canyon Blvd, Riverside",33.9433479309082,-117.30042266845703,+19515589903,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://mobilefoodbankusa.com/
riverside-ca-overture-35b05691,Hanson House Foundation,shelter,"380 E Paseo El Mirador, Palm Springs",33.84016036987305,-116.54376220703125,+17604165070,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://HansonHouse.org/
riverside-ca-overture-b21b177a,Project Touch,shelter,"29760 Rancho California Rd  Ste 107a, Temecula",33.507904052734375,-117.14179229736328,19516779661,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: projecttouchonline.com
riverside-ca-overture-1fd5b434,Circle Of Care Food Bank,meal,"26090 Ynez Rd, Temecula",33.53038024902344,-117.16215515136719,+19519733582,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://circleofcareministries.org/
riverside-ca-overture-e6787585,HOPE Food Bank Lake Elsinore,meal,"506 Minthorn St, Lake Elsinore",33.68020248413086,-117.32981872558594,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
riverside-ca-overture-f83f7fb4,Operation Safe House,shelter,"9685 Hayes St, Riverside",33.9201774597168,-117.45143127441406,+19513514418,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.operationsafehouse.org/
riverside-ca-overture-8cd47e4e,Path of Life Ministries Community Shelter,shelter,"2840 Hulen Pl, Riverside",33.98699188232422,-117.35347747802734,+19516834101,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.thepathoflife.com/
riverside-ca-overture-dcf09f37,"Path Of Life Ministries Family Shelter - Riverside, Ca",shelter,"2530 3rd St, Riverside",33.9827880859375,-117.36203002929688,19514629822,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: thepathoflife.com
riverside-ca-overture-59c96e33,Safe House of the Desert,shelter,"72710 E Lynn St, Thousand Palms",33.819068908691406,-116.39370727539062,+18883434660,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://safehouseofthedesert.org/
riverside-ca-overture-865a541c,Desert Cities Hunger Action - Food Distribution Center,meal,"100 S Sunrise Way, Palm Springs",33.822200775146484,-116.52747344970703,17604166702,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://hiddenharvest.org
riverside-ca-overture-58dc4bb2,Shelter For Change,shelter,"139 Trakehner Pl, Norco",33.932044982910156,-117.52237701416016,+17147435778,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://shelterforchange.com/
riverside-ca-overture-6afa92ea,Fish Food Bank,meal,"1612 1st St, Coachella",33.683189392089844,-116.17829895019531,17603989000,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://fishfood.pl
