id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
saginaw-mi-overture-0f64a221,Teen Parent Services,shelter,"1630 Gratiot Ave, Saginaw",43.415164947509766,-83.98523712158203,+19897926789,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.innerlinkservices.com/saginaw-county-youth-protection-council.html
saginaw-mi-overture-3ad6155c,Innerlink For Runaways,shelter,"1110 Howard St, Saginaw",43.42019271850586,-83.93782043457031,+19897533431,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://ypccares.org/
saginaw-mi-overture-82cef33f,Restoration Community Outreach,shelter,"1205 Norman St, Saginaw",43.44370651245117,-83.92730712890625,+19897531886,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://rcoshelter.org/
saginaw-mi-overture-673375f5,Rescue Ministries of Mid-Michigan,shelter,"1021 Burt St, Saginaw",43.425018310546875,-83.92889404296875,+19897526051,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://rescuemidmichigan.org/
saginaw-mi-overture-925a6add,Caer Center,meal,"218 Church St, Chesaning",43.18281555175781,-84.1186752319336,+19898456212,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.foodpantries.org/li/chesaning-caer-center
saginaw-mi-overture-2b8e2bc1,Saginaw Shelter-The Homeless,meal,"1021 Burt St, Saginaw",43.42509460449219,-83.92913055419922,+19897536124,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://rescuesaginaw.org
saginaw-mi-overture-3c761ba1,Hunger Solution Center Expansion Project,meal,"940 E Genesee Ave, Saginaw",43.42839813232422,-83.92997741699219,+19897534749,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://hungersolutioncenter.org/
saginaw-mi-overture-d377d40b,Mustard Seed,shelter,"1325 Cherry St, Saginaw",43.427696228027344,-83.92611694335938,+19897554741,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.themustardseedshelter.org/
saginaw-mi-overture-f71f8800,Veteran Food Pantry,meal,"154 S Main St Ste 7, Frankenmuth",43.33479309082031,-83.73833465576172,+19898232078,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.supporttheonepercent.com/
saginaw-mi-overture-adb951cc,The Market,meal,"625 W Clinton St, St Charles",43.291202545166016,-84.14334869384766,+19892778082,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
saginaw-mi-overture-53be0d8c,Hidden Harvest,meal,"940 E Genesee Ave #2, Saginaw",43.42841720581055,-83.93006896972656,+19897534749,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://hiddenharvestshares.org/
saginaw-mi-overture-4b132e42,HIS Restoration Ministries,shelter,"1501 Weiss St, Saginaw",43.44353485107422,-83.96117401123047,+19893271086,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.hisrm.org
