id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
salt-lake-city-osm-079aca73,Rescue Mission of Salt Lake Men's Facility,shelter,"363 South 400 West, Salt Lake City, UT, 84101",40.7590671,-111.9022463,+18013551302,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/356682323
salt-lake-city-osm-71bc4fcf,Home Storage Center,meal,,40.753027,-111.9134171,,,,,,,,,,,,,,,"Tu, Th 09:00-15:30",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/10940754958
salt-lake-city-osm-74733f9f,Children's Shelter at the Christmas Box House,shelter,,40.6914678,-111.8943141,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/10940754976
salt-lake-city-osm-1f510b52,Youth Resource Center,shelter,"888 South 400 West, Salt Lake City, UT, 84101",40.7500905,-111.9031162,+18013640744,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12956440634
salt-lake-city-osm-6482a8e8,Saint Paul's Food Pantry,meal,"261 South 900 East, Salt Lake City, UT, 84102",40.7634698,-111.8647722,,,,,,,,,,,,,,,Sa 09:00-13:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13117501208
salt-lake-city-osm-5a8cb6dd,MOSAIC Inter-Faith Ministries Manna Pantry,meal,"20 West 2700 South, South Salt Lake, UT, 84115",40.712782,-111.8916668,+180158801391877388577818017212641,,,,,,,,,,,,,,Mo 08:00-15:00; Tu-Th 10:00-15:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13166901214
salt-lake-city-osm-c4d61e91,Somali Community Self-Management Agency Food Pantry,meal,"1578 West 1700 South, Salt Lake City, UT, 84104",40.7335206,-111.9351604,+18014870822,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13167022061
salt-lake-city-osm-6f4ad98c,Crossroads Urban Center Downtown Pantry,meal,"347 South 400 East, Salt Lake City, UT, 84111",40.7616004,-111.8792777,+1801364776518887478482,,,,,,,,,,,,,,Mo-Fr 09:00-17:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13266310497
salt-lake-city-osm-3d0bdb84,Utah Food Bank,meal,"3150 South 900 West, South Salt Lake, UT, 84119",40.7047776,-111.9178043,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/41375738
salt-lake-city-osm-9b574c2d,Weigand Resource Center and St. Vincent de Paul Dining Hall,shelter,"437 West 200 South, Salt Lake City, UT, 84101",40.7645985,-111.9038583,+18013637710,,,,,,,,,,,,,,Mo-Su 07:00-19:00; PH Off,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/307232654
salt-lake-city-osm-9cfbec80,Crossroads Westside Food Pantry,meal,"1358 West Indiana Avenue, Salt Lake City, UT, 84104",40.7515624,-111.9298418,+18019354079,,,,,,,,,,,,,,Mo-Fr 09:00-17:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/585589793
salt-lake-city-osm-3a84d483,Rescue Mission Women's Center,shelter,"1165 South State Street, Salt Lake City, UT, 84111",40.7435169,-111.8878335,+18015215925,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/588564105
salt-lake-city-osm-426566f2,Hildegarde’s Food Pantry,meal,"231 East 100 South, Salt Lake City, UT, 84111",40.7674364,-111.8838507,+18013282303,,,,,,,,,,,,,,"Tu,We,Fr 11:00-13:30; Th 17:00-18:30",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/595951867
salt-lake-city-osm-da8de063,Geraldine E. King Women's Resource Center,shelter,"131 East 700 South, Salt Lake City, UT, 84111",40.7547474,-111.8870183,+18018936678,,,,,,,,,,,,,,24/7,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/718442715
salt-lake-city-osm-7a75f571,Pamela Atkinson Resource Center,shelter,"3380 South 1000 West, South Salt Lake, UT, 84119",40.6974962,-111.9205879,+18013594142,,,,,,,,,,,,,,24/7,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/983677606
salt-lake-city-osm-885e9504,Family Interim Non-Congregate Housing (FINCH),shelter,"315 West 3300 South, South Salt Lake, UT, 84115",40.6995259,-111.9001236,+18019909999,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/1087269836
salt-lake-city-osm-81961e62,Bishop's Storehouse,meal,"751 West 700 South, Salt Lake City, UT",40.7531581,-111.9134934,+18012407320,,,,,,,,,,,,,,"Mo-Tu, Th-Fr 08:30-16:00; We 08:30-19:00",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/1177699585
salt-lake-city-osm-b6620127,Gail Miller Resource Center,shelter,"242 West Paramount Avenue, Salt Lake City, UT, 84115",40.7370306,-111.8978552,+18013281894,,,,,,,,,,,,,,24/7,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/1273154075
