id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
san-bernardino-ca-overture-b88c5596,Neighborhood Food Pantry,meal,"11966 Jack Benny Dr, Rancho Cucamonga",34.10128402709961,-117.54430389404297,+19096468860,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
san-bernardino-ca-overture-81f6a28b,Food Distribution Center - Capsbc Food Bank,meal,"678 S Tippecanoe Ave, San Bernardino",34.08836364746094,-117.26197814941406,9097231581,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.capsbc.org/food-bank
san-bernardino-ca-overture-4ea4961c,Our House Youth Shelter,shelter,"1387 Jasper Ave, Mentone",34.07651901245117,-117.13629150390625,+19093352676,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.familyassist.org/
san-bernardino-ca-overture-c971ae3d,Another Level For Women,meal,"11555 Cortez Ave, Adelanto",34.573333740234375,-117.41273498535156,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://anotherlevelforwomen.com
san-bernardino-ca-overture-fd64122e,Dignity Station,shelter,"516 E Williams St, Barstow",34.897560119628906,-117.022216796875,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://dignitystation.org
san-bernardino-ca-overture-c98d8148,Ontario Access Center,shelter,"435 S Bon View Ave, Ontario",34.05905532836914,-117.6363296508789,19093952890,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.ontarioca.gov
san-bernardino-ca-overture-8954c997,Inland Valley Hope Partners,shelter,"904 E California St, Ontario",34.05565643310547,-117.63639831542969,+19096223806,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.inlandvalleyhopepartners.org
san-bernardino-ca-overture-2298b3a8,Homeless Solutions,shelter,"9755 Arrow Rte, Rancho Cucamonga",34.0988655090332,-117.59235382080078,+19099271000,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.homelesssolutionsnonprofit.com
san-bernardino-ca-overture-3bc7f37a,Foothill Family Shelter,shelter,"1501 W 9th St, Upland",34.096248626708984,-117.6799545288086,+19099200453,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/foothillfamilyshelter
san-bernardino-ca-overture-12b62b13,Patria Generosity Center,meal,"9269 Utica Ave  Ste 175, Rancho Cucamonga",34.08512496948242,-117.57066345214844,19094760300,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.alfc.faith
