id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
san-diego-ca-overture-8cf66cd4,Fallbrook Food Pantry,meal,"140 N Brandon Rd, Fallbrook",33.38275909423828,-117.24441528320312,+17607287608,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fallbrookfoodpantry.org/
san-diego-ca-overture-2ca62b7c,Tricity Pantry,meal,"165 Eucalyptus Ave, Vista",33.20013427734375,-117.24070739746094,+17606584047,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.tricityfoodpantry.org
san-diego-ca-overture-d1c34da7,Amity Vista Ranch,meal,"2260 Watson Way, Vista",33.163875579833984,-117.2225341796875,+17605991892,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
san-diego-ca-overture-280ea906,In His Name - Food Distribution Center,meal,"3715 Oceanic Way, Oceanside",33.2048454284668,-117.30784606933594,17607541234,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://calvaryoceanside.org
san-diego-ca-overture-bb4c885b,Gleaning Field Foundation - Food Distribution Center,meal,"2220 Watson Way, Vista",33.165035247802734,-117.22148132324219,7609451003,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.gleaningfield.com
san-diego-ca-overture-08a3f3d5,First Christian Church Of Oceanside - Food Distribution Center,meal,"204 S Freeman St, Oceanside",33.194549560546875,-117.37686920166016,17604706992,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: oceansidesanctuary.org
san-diego-ca-overture-e3dfbc75,Duwara Consciousness Foundation,shelter,"603 Seagaze Dr PMB 197, Oceanside",33.19550704956055,-117.3776626586914,+17606962097,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://duwara.org
san-diego-ca-overture-4427d45d,North County Food Bank,meal,"1445 Engineer St Ste 110, Vista",33.15196228027344,-117.23766326904297,8585271419,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://sandiegofoodbank.org/
san-diego-ca-overture-f681decf,North County Health Services - La Mision,meal,"3220 Mission Ave, Oceanside",33.213741302490234,-117.34776306152344,7604333155,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.nchs-health.org/
san-diego-ca-overture-5d1dd81b,Womens Resource Center,shelter,"1963 Apple St, Oceanside",33.19572830200195,-117.35542297363281,+17607573500,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.womensresourcecenter.com
san-diego-ca-overture-8dcca940,Holiness Ministries Coalition,meal,"1120 Highland Dr, Vista",33.21175765991211,-117.25704193115234,7604584655,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.holinessministriescoalition.org/
san-diego-ca-overture-cb80d07f,Multiply - Food Pantry,meal,"14866 Lyons Valley Rd, Jamul",32.73099136352539,-116.840576171875,16196697203,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://jamul.org
san-diego-ca-overture-15b4eff2,Sarah's Hope Kitchen & Food Pantry,meal,"204 S Freeman St, Oceanside",33.194549560546875,-117.37686920166016,17604706992,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: oceansidesanctuary.org
