id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
san-francisco-osm-3bf57a07,Women's Drop-In Center,shelter,"211 13th Street, San Francisco, CA, 94103",37.7698358,-122.4193302,,,,,,,,,,,,,,,24/7,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/3009189224
san-francisco-osm-b81e2f50,Normandie Hotel,shelter,"251 9th Street, San Francisco, CA, 94103",37.7744267,-122.4122526,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/4003389390
san-francisco-osm-04859da4,Project Open Hand,meal,"730 Polk Street, San Francisco, CA, 94109",37.7839436,-122.4192113,+14154472300,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/9956258784
san-francisco-osm-c3da8a0c,Martin de Porres House of Hospitality,meal,,37.7665867,-122.4073555,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/10713395426
san-francisco-osm-52854d0a,Kain Na,meal,1340 4th Street,37.7713485,-122.391433,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/10897941831
san-francisco-osm-5f71e139,Civic Center Hotel,shelter,,37.7741184,-122.4201831,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/10936200165
san-francisco-osm-17f0eb7e,Fraternite Notre Dame Mary of Nazareth House,meal,,37.7834237,-122.4100719,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/11699762308
san-francisco-osm-d7e9a91d,Fort Help Mission,medical,1101 Capp Street,37.7490296,-122.4168431,,,,,,,,,,,,,,,Mo-Fr 06:00-14:30; Sa 07:00-10:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13762167930
san-francisco-osm-095c316a,New Generation Health Center,medical,2500 Potrero Avenue,37.7621541,-122.4074636,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13951064001
san-francisco-osm-c1a80cc1,San Francisco-Marin Food Bank,meal,"900 Pennsylvania Avenue, San Francisco, 94107",37.7544381,-122.3935088,+14152821900,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/97638171
san-francisco-osm-8233db3f,Julius Kahn Clubhouse,daytime,,37.7912257,-122.453732,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/165420859
san-francisco-osm-274e45c8,Hotel Union,shelter,"811 Geary Street, San Francisco, CA, 94109",37.7860867,-122.4167046,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/171178110
san-francisco-osm-bc82664c,Multi-Service Center South,shelter,"525 5th Street, San Francisco, CA, 94107",37.7777331,-122.3998353,+14155977960,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/218185111
san-francisco-osm-155d24a8,The Sanctuary,shelter,"201 8th Street, San Francisco, 94103",37.7762802,-122.4111736,,,,,,,,,,,,,,,24/7,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/243357053
san-francisco-osm-24c50f82,Next Door Shelter,shelter,,37.7861299,-122.4200752,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/260023952
san-francisco-osm-5a237138,I. T. Bookman Community Center,meal,446 Randolph Street,37.7144856,-122.4668908,,,,,,,,,,,,,,,Mo-Fr 09:00-17:00; Sa-Su off,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/283204706
san-francisco-osm-635848f8,Division Circle Navigation Center,shelter,"224;246 South Van Ness Avenue, San Francisco, CA, 94103",37.7693223,-122.4184667,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/586782486
san-francisco-osm-74c66b46,Embarcadero SAFE Navigation Center,shelter,"555 Beale Street, San Francisco",37.7858558,-122.3886907,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/725152967
san-francisco-osm-830bb3db,Bryant Navigation Center,shelter,680 Bryant Street,37.7784302,-122.3999285,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/1167668207
