id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
san-joaquin-ca-overture-1dddee94,Gospel Center Rescue Mission,shelter,"445 S San Joaquin St, Stockton",37.94845199584961,-121.2860336303711,+12094662138,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.gcrms.org/
san-joaquin-ca-overture-d09838f4,Stockton Shelter for the Homeless,shelter,"411 S Harrison St, Stockton",37.94711685180664,-121.29795837402344,+12094653612,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.stocktonshelter.org/
san-joaquin-ca-overture-feb12881,St. Mary's Community Services,shelter,"545 W Sonora St, Stockton",37.9475212097168,-121.29728698730469,12094670703,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.stmarysdiningroom.org
san-joaquin-ca-overture-2e16a35f,Silvercrest Residence,shelter,"123 N Stanislaus St, Stockton",37.955726623535156,-121.28271484375,+12094634960,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.usw.salvationarmy.org
san-joaquin-ca-overture-7e09317a,McHenry House Tracy Family Shelter,shelter,"739 A St, Tracy",37.73695373535156,-121.42961883544922,+12098352328,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://mchenryhousetracy.org/
san-joaquin-ca-overture-7aeaeda4,Stockton 209 cares,meal,"1022 Douglas Rd, Stockton",38.00669479370117,-121.32382202148438,+12099226789,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.stockton209cares.org/
san-joaquin-ca-overture-1e8c11e3,His Way Refuge Center,shelter,"555 Industrial Park Dr, Manteca",37.78700637817383,-121.21205139160156,+12099233968,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
san-joaquin-ca-overture-7154f28c,Lodi House,shelter,"801 S Washington St, Lodi",38.12467575073242,-121.26751708984375,+12093346346,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.lodihouse.org/
san-joaquin-ca-overture-dd96b231,Second Harvest of the Greater Valley,meal,"1220 Vanderbilt Cir, Manteca",37.784324645996094,-121.20838165283203,+12092392091,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.localfoodbank.org/
san-joaquin-ca-overture-c0b29d64,C.a.r.e. - Food Distribution Center,meal,"1601 2nd St, Escalon",37.7950325012207,-120.99142456054688,12094172048,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://escaloncare.org
san-joaquin-ca-overture-d259c3a8,Haven Peace Inc,shelter,"7070 S Harlan Rd, French Camp",37.88652420043945,-121.27493286132812,+12099820396,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.havenofpeaceinc.org/
san-joaquin-ca-overture-818b697a,Saint Anthony's - Saint Vincent De Paul - Food Distribution Center,meal,"525 E North St, Manteca",37.801944732666016,-121.21056365966797,12098238099,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: www.st-anthonys.org
san-joaquin-ca-overture-7ed4efef,Emergency Food Bank,meal,"7 W Scotts Ave, Stockton",37.94538879394531,-121.28997802734375,12094647369,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: runagainsthunger.org
san-joaquin-ca-overture-ab7e8d13,Hope Family Shelter,shelter,"520 S Union Rd, Manteca",37.79348373413086,-121.2342758178711,+12098240658,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.zeffy.com/en-US/ticketing/breakfast-bingo--2026
