id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
san-jose-osm-ddd8f126,The Jerry Larson FOODBasket,meal,,37.3299769,-121.9112565,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/4946490422
san-jose-osm-989bcff0,Choicelunch,meal,"1615 Remuda Lane, San Jose, CA, 95112",37.3720775,-121.908712,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/7094806054
san-jose-osm-7dcc0cd2,Homefirst Services SCC - Mabury Bridge Housing Community,shelter,"1410 Mabury Road, San Jose, CA, 95133",37.3633158,-121.8735592,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/8170644168
san-jose-osm-eefdea5c,HomeFirst Services Santa Clara County,shelter,"999 Hamlin Court, Sunnyvale, CA, 94089",37.4016723,-122.0298576,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/8174242227
san-jose-osm-207adca2,Saint Victor Food Pantry,meal,"3150 Sierra Road, San Jose, CA, 95132",37.3968915,-121.8509995,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/8258759695
san-jose-osm-28447e98,San Jose Unified School District Nutrition Services,meal,"2222 Unified Way, San Jose, CA, 95125",37.2964929,-121.8726693,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/8562598601
san-jose-osm-e060993a,Campbell Senior Nutrition Program,meal,"1 West Campbell Avenue, Campbell, CA, 95008",37.288704,-121.9515585,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/8748792871
san-jose-osm-5c3a5514,San Andreas Regional Center,medical,"6203 San Ignacio Avenue, San Jose, CA, 95119",37.2364038,-121.7780741,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/9103876949
san-jose-osm-126a1568,Almaden Valley Counseling Service,medical,"6529 Crown Boulevard, San Jose, CA, 95120",37.2182258,-121.8626328,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/9103918652
san-jose-osm-3ee2ad9c,The Health Trust - Housing Administration Office,medical,"1400 Parkmoor Avenue, San Jose, CA, 95126",37.3158837,-121.9125557,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/9136585009
san-jose-osm-5330b2cd,CCC Food Pantry,meal,"990 South Capitol Avenue, San Jose, CA, 95127",37.3522032,-121.8268231,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/9998294791
san-jose-osm-9cbbe283,South Hall,shelter,"435 South Market Street, San Jose, 95113",37.3285029,-121.887281,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/24168642
san-jose-osm-db4ad61c,Second Harvest Curtner Center,meal,"750 Curtner Avenue, San Jose, CA, 95125",37.2916823,-121.8772065,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/43519110
san-jose-osm-bb9b1328,Pacific Motor Inn,shelter,"455 South 2nd Street, San Jose, CA, 95113",37.329503,-121.8848125,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/53751709
san-jose-osm-68a8199a,Second Harvest Cypress Center,meal,"4001 North 1st Street, San Jose, CA, 95134",37.4132539,-121.9526554,+14082668866,,,,,,,,,,,,,,Mo-Fr 08:00-17:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/224128792
san-jose-osm-3295558a,Bill Wilson Center,shelter,"3490 The Alameda, Santa Clara, CA, 95050",37.3538825,-121.9416403,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/277753312
san-jose-osm-51b8cf8f,Plaza Hotel,shelter,"96 South Almaden Avenue, San Jose, CA, 95113",37.3330781,-121.8924272,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/355203511
san-jose-osm-56c349d5,Sobrato House,shelter,"496 South 3rd Street, San Jose, CA, 95112",37.3299887,-121.8826685,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/371657626
