id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
san-luis-obispo-ca-overture-144bfe35,Five Cities Christian Women Food Pantry,meal,"946 Rockaway Ave, Grover Beach",35.12024688720703,-120.61985778808594,+18054733368,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://fivecitieschristianwomenfoodpantry.org/
san-luis-obispo-ca-overture-98586206,The Salvation Army Paso Robles Service Center,shelter,"711 Paso Robles St, Paso Robles",35.622100830078125,-120.6854248046875,+18052218075,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.salvationarmyusa.org/
san-luis-obispo-ca-overture-dd118323,SLO Food Bank,meal,"1180 Kendall Rd, San Luis Obispo",35.23794937133789,-120.630859375,+18052384664,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.slofoodbank.org
san-luis-obispo-ca-overture-6a13b8a0,40 Prado Homeless Services Center,shelter,"40 Prado Rd, San Luis Obispo",35.25674819946289,-120.67194366455078,18055444004,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.capslo.org
san-luis-obispo-ca-overture-3bef7d49,5cities Homeless Coalition,shelter,"100 S 4th St, Grover Beach",35.12118911743164,-120.62684631347656,18055741638,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.5chc.org
san-luis-obispo-ca-overture-5c45146a,ALF Food Pantry,meal,"5411 El Camino Real, Atascadero",35.49150085449219,-120.6742935180664,+18054611504,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.alffoodpantry.org/
san-luis-obispo-ca-overture-63259590,Echo Shelter Facilty,shelter,"1134 Black Oak Dr, Paso Robles",35.645450592041016,-120.68746185302734,18054623663,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: echoshelter.org
san-luis-obispo-ca-overture-3879efa5,Loaves & Fishes,meal,"2650 Spring St, Paso Robles",35.64211654663086,-120.69251251220703,+18052384742,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://LoavesandFishesPaso.org/
san-luis-obispo-ca-overture-5c6be1a5,Nipomo Food Basket,meal,"197 W Tefft St, Nipomo",35.041229248046875,-120.47810363769531,+18056197681,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://nipomofoodbasket.com/
san-luis-obispo-ca-overture-05e73724,ECHO,shelter,"6370 Atascadero Ave, Atascadero",35.48612976074219,-120.6702880859375,+18054623663,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://echoshelter.org/
