id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
san-mateo-ca-overture-231a9fea,Justin Parker Warrior House,shelter,"1900 S Norfolk St #350, San Mateo",37.552608489990234,-122.29224395751953,+14085045958,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://justinpwh.org/
san-mateo-ca-overture-678e8301,Mid-Peninsula Horizons,shelter,"825 Old County Rd # 100, Belmont",37.522621154785156,-122.27714538574219,+16508028153,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
san-mateo-ca-overture-b6795549,StarVista's Daybreak Shelter,shelter,"639 Douglas Ave, Redwood City",37.48090744018555,-122.21090698242188,6503644633,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://star-vista.org/programs/daybreak/
san-mateo-ca-overture-72cbe03a,Second Harvest of Silicon Valley,meal,"1051 Bing St, San Carlos",37.496097564697266,-122.24458312988281,+16506100800,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://Shfb.org/
san-mateo-ca-overture-9554797b,Spring Street Shelter,shelter,"2686 Spring St, Redwood City",37.48224639892578,-122.20819091796875,+16502578822,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.mhasmc.org
san-mateo-ca-overture-538f1c3b,Hearts For Homeless,shelter,"405 El Camino Real PMB 345, Menlo Park",37.449710845947266,-122.1765365600586,16502603155,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.hearts4homeless.org
san-mateo-ca-overture-7adbd3e0,Project WeHOPE,shelter,"1854 Bay Rd, East Palo Alto",37.471588134765625,-122.13314819335938,+16503308000,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/projectwehope
san-mateo-ca-overture-788bf19a,Oriental Food Association,meal,"345 Lorton Ave, Burlingame",37.58024978637695,-122.34761047363281,+16505131181,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://orientalfood.org/
san-mateo-ca-overture-ad1030ca,Perpetual Help Home,shelter,"103 N Grant St N, San Mateo",37.57294464111328,-122.32169342041016,+16503449818,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.perpetualhelphome.org
san-mateo-ca-overture-6d645bf6,Safe Harbor Shelter,shelter,"295 N Access Rd, South San Francisco",37.63986587524414,-122.3918685913086,+16503473648,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://samaritanhousesanmateo.org/what-we-do/shelter
san-mateo-ca-overture-1b6321be,CALL Primrose Center,meal,"139 Primrose Rd, Burlingame",37.57609176635742,-122.3464126586914,+16503422255,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://callprimrose.org/
