id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
santa-barbara-ca-overture-88dcab97,Allan Hancock College,meal,"800 S College Dr, Santa Maria",34.94308090209961,-120.42186737060547,8059226966,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.hancockcollege.edu/
santa-barbara-ca-overture-10d40b79,Isla Vista Youth Projects,meal,"5638 Hollister Ave, Goleta",34.43586349487305,-119.82166290283203,+18056856900,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.youthsafetypartnership.org/
santa-barbara-ca-overture-ed88d490,Rancho Hermosa,meal,"235 Inger Dr, Santa Maria",34.926658630371094,-120.43429565429688,+18059250800,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.hasbarco.org/rancho-hermosa
santa-barbara-ca-overture-325c4ea5,Food From The Heart of Santa Barbara,meal,"909 N La Cumbre Rd, Santa Barbara",34.45408248901367,-119.751708984375,+18053345292,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.sbfoodfromtheheart.com/
santa-barbara-ca-overture-e630ace7,Good Shepherd Pantry - Food Distribution Center,meal,"380 N Fairview Ave, Goleta",34.44505310058594,-119.82982635498047,18059671416,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.goodshepherd.org
santa-barbara-ca-overture-612cb386,CASA DE TODOS INCORPORATED,meal,"4 W Calle Laureles, Santa Barbara",34.4400520324707,-119.72834777832031,8059808820,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
santa-barbara-ca-overture-7385667c,Path - Santa Barbara,shelter,"816 Cacique St  # 3622, Santa Barbara",34.41890335083008,-119.67657470703125,18058848481,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://santabarbaraca.gov/parksandrec
santa-barbara-ca-overture-aecd75a7,Freedom House,shelter,"220 S 1st St, Santa Maria",34.8636474609375,-120.44577026367188,+18054061330,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
santa-barbara-ca-overture-6dc27c4e,Transition House,shelter,"425 E Cota St, Santa Barbara",34.42311477661133,-119.69157409667969,+18059669668,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/transitionhousesb
santa-barbara-ca-overture-f3182a1b,Lompoc Food Pantry,meal,"325 N 2nd St, Lompoc",34.643184661865234,-120.44661712646484,+18057366226,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.feedinglompoc.org/
santa-barbara-ca-overture-5be7e450,Mariposa Townhomes,shelter,"290 Parkview S, Santa Maria",34.87788772583008,-120.4317398071289,+18059342140,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.pshhc.org
santa-barbara-ca-overture-2c70de83,Good Samaritan Shelter,shelter,"401 W Morrison Ave, Santa Maria",34.943763732910156,-120.44100189208984,+18053473338,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://goodsamaritanshelter.org/donate/
santa-barbara-ca-overture-e45187b1,Santa Barbara Rescue Mission,shelter,"535 E Yanonali St, Santa Barbara",34.41910934448242,-119.68452453613281,+18059661316,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.sbrm.org/donate/
santa-barbara-ca-overture-6fa93050,Serenity House,shelter,"930 Miramonte Dr, Santa Barbara",34.411624908447266,-119.71310424804688,+18056177777,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.vnhcsb.org
santa-barbara-ca-overture-5840beb8,Casa Esperanza Transitional Shelter Program,shelter,"816 Cacique St, Santa Barbara",34.4188117980957,-119.67652893066406,+18058848481,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.casa-esperanza.org
santa-barbara-ca-overture-312cc641,Foodbank of Santa Barbara County,meal,"490 W Foster Rd, Santa Maria",34.88232421875,-120.44124603271484,+18059373422,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://foodbanksbc.org
