id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
scott-ia-overture-0e633a9a,Humility of Mary Shelter Inc.,shelter,"1016 W 5th St, Davenport",41.524967193603516,-90.58780670166016,+15633228065,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.humilityofmaryshelter.com/
scott-ia-overture-07650372,Salvation Army Quad Cities Family Service Center Food Pantry,meal,"100 Kirkwood Blvd, Davenport",41.536502838134766,-90.57353973388672,15633244808,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://centralusa.salvationarmy.org/indiana
scott-ia-overture-09347fb1,Cafe On Vine,meal,"932 W 6th St, Davenport",41.52583312988281,-90.5872573852539,+15633244472,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.cafeonvine.org
scott-ia-overture-6e748d9b,River Bend Food Bank,meal,"4010 Kimmel Dr, Davenport",41.49927520751953,-90.63670349121094,+15633456490,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.riverbendfoodbank.org/
scott-ia-overture-5f65ba95,North Scott Food Pantry,meal,"500 W Le Claire Rd, Eldridge",41.64014434814453,-90.59082794189453,5632858444,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
scott-ia-overture-598b7d6e,North Scott Food Pantry,meal,"500 W Le Claire Rd, Eldridge",41.655242919921875,-90.58978271484375,15632858444,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
scott-ia-overture-92b7aa0a,Saint Anthony’s - Food Distribution Center,meal,"417 N Main St, Davenport",41.52411651611328,-90.57518005371094,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://stanthonysdavenportiowa.org
scott-ia-overture-62d990cc,St. James Lutheran Church Food Pantry,meal,"1705 Oak St, Bettendorf",41.532798767089844,-90.50817108154297,+15633440974,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://emily98hicks.wixsite.com/stjames-foodpantry
scott-ia-overture-1bc0e926,Bettendorf Ecumenical Food Pantry,meal,"2204 Grant St, Bettendorf",41.52716064453125,-90.5019760131836,+15632792411,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://sites.google.com/view/bettendorffoodpantry/home
scott-ia-overture-cce80ed1,Central Community Circle Food Pantry,meal,"1008 W 6th St, Davenport",41.525760650634766,-90.58789825439453,+15633228253,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.cccfoodpantry.com/
scott-ia-overture-6e8674d8,Fresh Start Center,shelter,"522 Fillmore St, Davenport",41.52543258666992,-90.59453582763672,+15633261330,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.humilityhomes.org/community-support?fbclid=IwZXh0bgNhZW0CMTEAAR0mR8uyyyHXfKNll1JM__zOrgdAMRMA9E-bC4n_2sxNnR4E7hk3KKuCRME_aem_vg0PxcmrnbLINgJPqSfkvA
