id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
seattle-osm-828ce9b9,Wallingford Food Bank,meal,"1501 North 45th Street, Seattle, 98103",47.6612205,-122.3390251,+12066471780,,,,,,,,,,,,,,Tu 12:00-14:00; Th 15:00-18:00; Fr 11:00-13:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2135540383
seattle-osm-c6cb7b56,University District Food Bank,meal,"5017 Roosevelt Way Northeast, Seattle, 98105",47.665583,-122.317622,,,,,,,,,,,,,,,"Mo 09:00-14:45; Tu, Th 11:00-19:45; Fr 11:00-15:45",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2261920655
seattle-osm-f4c0bd3c,Mary's Place,shelter,"1830 9th Avenue, Seattle, WA, 98101",47.6155239,-122.333971,+12066218474,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2327794615
seattle-osm-3146fd12,Compass Center,shelter,"77 South Washington Street, Seattle, WA, 98104",47.6006742,-122.3351764,+12063573100,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2351695703
seattle-osm-13505dbf,DESC Shelter,shelter,"517 3rd Avenue, Seattle, WA, 98104",47.6023825,-122.331368,+12064641570,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2351700820
seattle-osm-5367a54c,Union Hotel-Desc,shelter,"204 3rd Avenue South, Seattle, WA, 98104",47.6006413,-122.330059,+12065872460,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2351712017
seattle-osm-cc38d273,Downtown Emergency Service Center,shelter,"Seattle, 98104",47.6029018,-122.33192,+12063419575,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2357566079
seattle-osm-26d14696,Bread of Life Mission,shelter,"97 South Main Street, Seattle, WA, 98104",47.5999294,-122.3343921,+12066823579,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2361017599
seattle-osm-ed41cc9a,The Colored Girls Garden Club,meal,"9254 57th Avenue South, Seattle, WA, 98118",47.5199893,-122.2613737,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2446638560
seattle-osm-2630f968,North Helpline,meal,"12736 33rd Avenue Northeast, Seattle, 98125",47.7223985,-122.2919528,+12063673477,,,,,,,,,,,,,,"We,Sa 09:00-13:45; Th 16:00-18:45",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2462338203
seattle-osm-61bbbedf,Beacon Avenue Food Bank,meal,"6230 Beacon Avenue South, Seattle, 98108",47.5465655,-122.3002053,+12067225105,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2527384673
seattle-osm-a2de30b5,Blessed Sacrament Food Bank,meal,"5050 8th Avenue Northeast, Seattle, 98105",47.6665736,-122.31935,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2527394470
seattle-osm-9e14c952,Byrd Barr Place Food Bank,meal,"722 18th Avenue, Seattle, 98122",47.608717,-122.3086823,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/2527394471
seattle-osm-eda64ba1,Regina House Food Bank,meal,"South Southern Street, Seattle, WA, 98108",47.5295235,-122.3204358,,,,,,,,,,,,,,,"Th,Sa unknown",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/4822145701
seattle-osm-f322dd31,Salvation Army Food Bank,meal,"16th Avenue Southwest, Seattle, WA, 98106",47.5214715,-122.354846,,,,,,,,,,,,,,,Mo-Fr 13:00-14:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/4822145702
seattle-osm-ad531ee1,Rainier Valley Food Bank,meal,,47.5225566,-122.270489,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/6571741313
seattle-osm-903937f2,Little Free Pantry,meal,,47.6793033,-122.3554675,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/8092006851
seattle-osm-1869c44b,Little Free Pantry,meal,,47.6885874,-122.3091023,,,,,,,,,,,,,,,24/7,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/8508837321
seattle-osm-d85b055d,University of Washington Food Pantry,meal,,47.6567402,-122.3140369,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/8625138579
seattle-osm-7b92871d,North Helpline Bitter Lake,meal,,47.7240821,-122.3477885,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/9775673676
seattle-osm-9f89bc51,SODO Community Supermarket,meal,,47.5855183,-122.3294434,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/9932780718
seattle-osm-b2df3a8c,God's Li'l Acre,daytime,"12521 33rd Avenue Northeast, Seattle, 98125",47.7199056,-122.292928,+12064970838,,,,,,,,,,,,,,"Mo,We-Fr 09:00-12:00,13:00-16:00; Tu 09:00-12:00; Tu 13:00-16:00 ""women only",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/11291844021
seattle-osm-2a0ea32e,Blake House,shelter,"1400 Madison Street, Seattle, WA, 98104",47.6110021,-122.3217358,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/11817550735
seattle-osm-5466f7f1,Pike Market Food Bank,meal,,47.6089417,-122.3421848,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12021390361
seattle-osm-e5a4dd92,Georgetown Food Bank,meal,"5972 4th Avenue South, Seattle, WA, 98108",47.5486172,-122.3292535,+12067679975,,,,,,,,,,,,,,"Tu,Th,Fr 11:00-14:00",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12552582493
seattle-osm-559aae7e,West Seattle Food Bank,meal,,47.544333,-122.3758593,+12069329023,,,,,,,,,,,,,,"Tu,Th,Fr 10:00-14:00; We 12:00-19:00",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13874587171
seattle-osm-dc6ee48e,Health Through Housing,shelter,"14115 Aurora Avenue North, Seattle, WA, 98133",47.7313438,-122.3457666,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/219481190
seattle-osm-44c85311,Health Through Housing,shelter,"13300 Stone Avenue North, Seattle, 98133",47.7252716,-122.3411206,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/220550079
seattle-osm-343d5cc5,Santos Place,shelter,"6940 62nd Avenue Northeast, Seattle, 98115",47.6792948,-122.2616618,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/221073168
seattle-osm-29ec177b,ROOTS Young Adult Shelter,shelter,"4541 19th Avenue Northeast, Seattle, 98105",47.662414,-122.3075948,+12066321635,,,,,,,,,,,,,,Mo-Su 20:00-08:00,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/223482606
seattle-osm-1962e281,Arion Court,shelter,"1814 Minor Avenue, Seattle, WA, 98101",47.6173414,-122.3308384,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/223937035
seattle-osm-fd69c5cb,Everspring Inn,shelter,"8201 Aurora Avenue North, Seattle, 98103",47.6886101,-122.3449132,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/224048774
