id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
shelby-tn-overture-8ac5669e,Memphis Union Mission,shelter,"383 Poplar Ave, Memphis",35.14750289916992,-90.04197692871094,19015268403,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
shelby-tn-overture-59dd19c1,Memphis Housing Authority,shelter,"1770 Kirby Pkwy, Germantown",35.100738525390625,-89.83808135986328,+19017954580,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.bricks-incorp.com
shelby-tn-overture-d29ab192,Dorothy Day House,shelter,"321 S Bellevue Blvd, Memphis",35.13362503051758,-90.02114868164062,+19017266760,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.dorothydaymemphis.org/
shelby-tn-overture-789f38e7,Alpha Omega Veterans Services - Vinton,shelter,"1266 Vinton Ave, Memphis",35.13101577758789,-90.01951599121094,9017269737,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.alphaomegaveterans.org/
shelby-tn-overture-3e36e81f,Lacy's Care Facility,shelter,"3533 Kendrick Rd, Memphis",35.179412841796875,-89.9421615600586,+19016509618,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://recoverywithinreach.org/houses/lacys-care-facility
shelby-tn-overture-e77d316c,Calvary Rescue Mission,shelter,"960 S Third St, Memphis",35.12112045288086,-90.05437469482422,+19017752570,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.calvaryrescue.org/
shelby-tn-overture-7b43fbb8,LIA House,shelter,"1782 Cincinnati Rd, Memphis",35.096675872802734,-90.01388549804688,+19016543800,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.liahouse.org/
shelby-tn-overture-56c3d7b3,Mid-South Food Bank,meal,"3865 S Perkins Rd, Memphis",35.042598724365234,-89.90990447998047,+19015270841,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.midsouthfoodbank.org/
shelby-tn-overture-d684f8d3,Capleville Community Food Pantry,meal,"4725 Riverdale Rd, Memphis",35.01848220825195,-89.83191680908203,19013631859,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://caplevilleumc.org
shelby-tn-overture-5c6fdc3a,Memphis Union Mission,shelter,"170 Tillman St, Memphis",35.13664627075195,-89.96163177490234,19015268403,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.memphisunionmission.org/how-we-can-help/women.htm
shelby-tn-overture-6e25a177,Room In The Inn,shelter,"409 Ayers St, Memphis",35.1514892578125,-90.02934265136719,+19014670122,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.ritimemphis.org/
shelby-tn-overture-afa187ff,Collierville Food Pantry,meal,"609 E South St, Collierville",35.03828811645508,-89.64873504638672,19018533235,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
shelby-tn-overture-cd83c2ee,Manassas Gardens Homeless Vererans Housing Community,shelter,"230 N Manassas St, Memphis",35.14708709716797,-90.03433227539062,+19015702172,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
shelby-tn-overture-e0345597,Dorothy Day House Of Hospitality,shelter,"1178 Peabody Ave, Memphis",35.133033752441406,-90.02223205566406,+19013104412,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.dorothydaymemphis.org
shelby-tn-overture-ee606b3e,Collierville Food Pantry,meal,"167 Washington St, Collierville",35.04256057739258,-89.6638412475586,+19018533235,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.colliervilleliteracy.org
shelby-tn-overture-a06e8a75,FedExFamilyHouse,shelter,"918 Poplar Ave, Memphis",35.1456298828125,-90.0295181274414,+19013221971,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fedexfamilyhouse.org/
shelby-tn-overture-cece211d,Restoration House,shelter,"3095 Thomas St, Memphis",35.21016311645508,-90.03273010253906,+19017914022,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.lfcrestorationhouse.wixsite.com/shelter/church-opportunities
shelby-tn-overture-a9890664,Dorothy Day House,shelter,"1429 Poplar Ave, Memphis",35.14330291748047,-90.012939453125,19017266760,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.dorothydaymemphis.org
shelby-tn-overture-1b704927,Living For Christ,shelter,"4050 Thomas St, Memphis",35.236053466796875,-90.01275634765625,+19017914022,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.medicalraisedtoiletseat.com
