id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
spokane-overture-a50f1b2b,Crosswalk,shelter,"525 W 2nd Ave, Spokane",47.6541862487793,-117.42079162597656,+15096881112,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://voaspokane.org
spokane-overture-4529c2c8,Southside Christian Church,meal,"2934 E 27th Ave, Spokane",47.62965774536133,-117.3677749633789,+15095352301,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://southsidespokane.org/
spokane-overture-0c976533,Truth Ministries of Spokane,shelter,"1910 E Sprague Ave, Spokane",47.65681076049805,-117.38235473632812,+15094562576,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://truthministriesspokane.org/
spokane-overture-668b24b8,Transitions,shelter,"3128 N Hemlock St, Spokane",47.68693923950195,-117.44429016113281,+15093286702,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://transitionsspokane.org/
spokane-overture-c1cb69ab,St. Margaret's Shelter,shelter,"101 E Hartson Ave, Spokane",47.65005874633789,-117.40931701660156,+15096249788,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.cceasternwa.org/
spokane-overture-dc3ab6d4,Hope House,shelter,"318 S Adams St #99201, Spokane",47.6531982421875,-117.43119812011719,+15098161669,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
spokane-overture-99f9acab,North County Food Pantry,meal,"37417 N Conklin Rd, Elk",47.99454879760742,-117.23023223876953,+15092922530,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.northcountyfoodpantry.org/
spokane-overture-c3e0db05,Caritas Food Bank,meal,"4718 N Ash St, Spokane",47.70140838623047,-117.43606567382812,+15093262249,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.caritasoutreachministries.org/
spokane-overture-6cd99787,Scc Cares Food Pantry And Resource Center,meal,"1810 N Greene St, Spokane",47.674598693847656,-117.3635482788086,+15095337437,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://scc.spokane.edu
spokane-overture-681fedd0,Jewels Helping Hands,shelter,"1819 E Springfield Ave, Spokane",47.663455963134766,-117.38318634033203,+15094435104,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.jewelshelpinghands.org
spokane-overture-612ab85b,Serve Spokane,meal,"8303 N Division St, Spokane",47.73291778564453,-117.4132308959961,+15099985722,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://servespokane.org/
spokane-overture-464b3e7b,Mead Food Bank,meal,"12509 N Market St, Mead",47.77111053466797,-117.3558349609375,+15094667068,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://meadfoodbank.org
spokane-overture-a857d1e3,Feed Spokane,meal,"1114 N Fancher Rd STE 109, Spokane Valley",47.66753387451172,-117.32528686523438,+18552222199,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.feedspokane.org/
spokane-overture-f251bd93,UGM Anna Ogden Hall,shelter,"2828 W Mallon Ave, Spokane",47.665775299072266,-117.45355987548828,+15093277737,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://ugmspokane.org
spokane-overture-a85972b3,Better Living Center,meal,"25 E North Foothills Dr, Spokane",47.682823181152344,-117.41071319580078,+15093251258,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.betterlivingcenter.org
spokane-overture-09d326b2,Cup of Cool Water,shelter,"1106 W 2nd Ave, Spokane",47.65455627441406,-117.4283447265625,+15097476686,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.gofevo.com/group/Cupcool
spokane-overture-9f6e5938,Beatriz and Ed Schweitzer Haven Apartments,shelter,"9 E 1st Ave, Spokane",47.656742095947266,-117.41067504882812,+15098082864,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
spokane-overture-4deaa397,Southside Food Pantry,meal,"2934 E 27th Ave, Spokane",47.629825592041016,-117.36775207519531,+15095080131,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.southsidespokane.org/food-pantry
spokane-overture-6527aa05,Cheney Cupboard,meal,"624 3rd St, Cheney",47.4897346496582,-117.57544708251953,+15092352325,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://cheneycupboard.org/
spokane-overture-26c447b5,North Palouse Community Food Bank,meal,"202 N Railroad Ave, Fairfield",47.386444091796875,-117.17194366455078,+15092834250,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
spokane-overture-605d7fb3,LemonAID Pantry & Thrift Shop,meal,"5061 Lemon Ave, Hunters",48.1180419921875,-118.202392578125,+15097223332,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
spokane-overture-87c698c7,Loon Lake Food Bank,meal,"3945 Fir St, Loon Lake",48.060874938964844,-117.62313842773438,+15092338450,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.loonlakefoodbank.dreamhosters.com/ways-you-can-help/
spokane-overture-0c4c6f02,Chewelah Food Bank,meal,"302 E Main Ave, Chewelah",48.27614974975586,-117.71334838867188,+15099369155,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.chewelahfoodbank.weebly.com
spokane-overture-bb5be968,Northeast Washington Hunger Coalition,meal,"347 W 2nd Ave, Colville",48.545318603515625,-117.90935516357422,+15096902460,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://newhungercoalition.org/
spokane-overture-28338ed7,Colville Food Bank,meal,"210 S Wynne St, Colville",48.543243408203125,-117.90797424316406,+15096842971,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://colvillefoodbank.org/
spokane-overture-87f971d9,Volunteers of America Eastern Washington,shelter,"1440 N Haven St, Spokane",47.67129898071289,-117.36608123779297,+15096242378,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.voaspokane.org/
spokane-overture-914a7ffe,Lincoln County Care and Share,meal,"202 13th St, Davenport",47.65828323364258,-118.15899658203125,+15097251222,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.heavensfountain.com
