id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
suffolk-ny-overture-05efa0b2,Sharing A Meal - Sayville Soup Kitchen,meal,"131 Middle Rd, Sayville",40.7363395690918,-73.07994079589844,+16313752317,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.sharingameal.org/
suffolk-ny-overture-55078b79,"Outreach Young adults residential program, Building 2",shelter,"400 Crooked Hill Rd, Brentwood",40.788917541503906,-73.27233123779297,+16312313232,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
suffolk-ny-overture-393eaf50,Ecumenical Lay Council Pantry,meal,"330 Main St, Northport",40.90079879760742,-73.3428955078125,+16312614357,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://abidingpresencechurch.org
suffolk-ny-overture-5ad0865f,Mercy Haven Inc,shelter,"859 Connetquot Ave #10, Islip",40.76498031616211,-73.17322540283203,+16312778300,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.mercyhaven.org/
suffolk-ny-overture-c304306c,Pax Christi Hospitality Center,shelter,"255 Oakland Ave, Brookhaven",40.934776306152344,-73.05311584472656,+16319289108,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.hhm.org/ministry.html
suffolk-ny-overture-e03aa361,Saint Rosalies - Food Distribution Center,meal,"31 E Montauk Hwy, Hampton Bays",40.87941360473633,-72.52162170410156,16317289249,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://saintrosalie.com
suffolk-ny-overture-7585300d,East Hampton Food Pantry,meal,"159 Pantigo Rd, East Hampton",40.968223571777344,-72.17195892333984,16313242300,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://easthamptonfoodpantry.org
suffolk-ny-overture-b7cb9ec7,Sag Harbor Community Food Pantry,meal,"44 Union St, Sag Harbor",40.99747085571289,-72.29379272460938,+16317250437,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.sagharborfoodpantry.com/
suffolk-ny-overture-fa01ab2c,Saint Elizabeth Church - Food Distribution Center,meal,"175 Wolf Hill Rd, Melville",40.81188201904297,-73.39476013183594,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: www.stelizabeth.org
suffolk-ny-overture-0a227f92,Long Island Cares,meal,"10 Davids Dr, Hauppauge",40.81941223144531,-73.25709533691406,+16315823663,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.licares.org/
suffolk-ny-overture-cbfc37b8,Resurrection House Homeless Shelter and Services,shelter,"1650 Straight Path, Wyandanch",40.760169982910156,-73.35743713378906,+16314913954,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.resurrectionhouseinc.org/
suffolk-ny-overture-4e26062b,Island Harvest,meal,"40 Marcus Blvd, Hauppauge",40.809043884277344,-73.24819946289062,+16318734775,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://islandharvest.org
suffolk-ny-overture-6556a88c,Smithtown Emergency Food Pantry,meal,"90 Edgewater Ave, Smithtown",40.85381317138672,-73.20533752441406,+16312657676,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.smithtownfoodpantry.org/
suffolk-ny-overture-b06caad4,Help Suffolk,shelter,"685 Brookhaven Ave, Brookhaven",40.77996063232422,-72.93534088134766,+16312862400,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.helpusa.org
suffolk-ny-overture-75789693,Saint Louis De Montfort - Food Distribution Center,meal,"75 New York Ave, Sound Beach",40.95546340942383,-72.97461700439453,16312090325,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: stlouisdm.org
suffolk-ny-overture-a2dd799f,Suburban Housing - Food Distribution Center,meal,"1360 5th Ave, Bay Shore",40.7390022277832,-73.2640151977539,16316652866,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://hcr.ny.gov
suffolk-ny-overture-b475153a,Salvation Army - East Northport Corps - Food Distribution Center,meal,"319 Clay Pitts Rd, East Northport",40.86558151245117,-73.31884002685547,16313681170,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://easternusa.salvationarmy.org/southern-new-england
suffolk-ny-overture-722f0124,TSLI/HHB,shelter,"840 Suffolk Ave, Brentwood",40.78185272216797,-73.2415542602539,+16312313619,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.TSLI-HHB.org/
suffolk-ny-overture-cb6a3e93,Bridgehampton Community Food Pantry,meal,"2357 Montauk Hwy, Southampton",40.93539047241211,-72.30561828613281,+16314818179,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
suffolk-ny-overture-3d3acdde,Springs Food Pantry,shelter,"5 Old Stone Hwy, East Hampton",41.02138137817383,-72.15615844726562,+16313244791,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://springsfoodpantry.org/
suffolk-ny-overture-ea8cc707,Saint Lawrence The Martyr Parish Social Ministry - Food Distribution Center,meal,"27 Handsome Ave, Sayville",40.733516693115234,-73.08682250976562,16315896155,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.stlawrencesayville.org
suffolk-ny-overture-f431accc,Long Island Cares,meal,"163 N Wellwood Ave, Lindenhurst",40.68804931640625,-73.3748779296875,+16319918106,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.licares.org/contact-us
suffolk-ny-overture-72b6f8e6,Greater Sayville Food Pantry,meal,"47 Gillette Ave, Islip",40.73476791381836,-73.08151245117188,+16312448375,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.lifnb.com
suffolk-ny-overture-48c69bea,Our Lady Of Mount Carmel Parish Outreach - Food Distribution Center,meal,"495 N Ocean Ave, Patchogue",40.78117752075195,-73.01412200927734,16314759580,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.olmcpatchogue.org
suffolk-ny-overture-b8d1f3bb,Riverhead Center - Suffolk County Department of Social Services (DSS),shelter,"893 E Main St, Riverhead",40.92369842529297,-72.65018463134766,+16318523500,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
suffolk-ny-overture-965cfc2f,Saint Hugh Of Lincoln Parish Outreach - Food Distribution Center,meal,"21 E 9th St, Huntington Station",40.84739685058594,-73.41050720214844,16312718986,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://sthugh.org
suffolk-ny-overture-03c8b47d,Veterans Place,shelter,"32 Mill Rd, Yaphank",40.836334228515625,-72.93408966064453,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.mhaw.org/scuv
suffolk-ny-overture-821abd5a,Integrity Christian Fellowship - Food Distribution Center,meal,"1 Old Dock Rd, Yaphank",40.82084655761719,-72.94367980957031,16316053085,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.integrity.church/sermons
suffolk-ny-overture-f5cc3d7d,Long Island Lending a Helping Hand,meal,"341 Route 25A, Rocky Point",40.94515609741211,-72.94344329833984,+16318493653,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.lilahh.com/
suffolk-ny-overture-64808d76,East Hampton Food Pantry,meal,"219-50 Accabonac Rd, East Hampton",40.979034423828125,-72.17225646972656,+16313242300,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.easthamptonfoodpantry.org
suffolk-ny-overture-acfa7cd7,Island Harvest,meal,"126 Spagnoli Rd, Huntington",40.762481689453125,-73.4334945678711,+16318734775,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.islandharvest.org/
suffolk-ny-overture-18fe2dd6,Saint Cyril And Methodius Parish Outreach - Food Distribution Center,meal,"125 Half Hollow Rd, Deer Park",40.755374908447266,-73.32765197753906,16312431649,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.sscmdp.org
suffolk-ny-overture-d2b96d11,Long Island Cares,meal,"220 Broadway, Huntington",40.856040954589844,-73.40330505371094,+16318246384,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.licares.org
suffolk-ny-overture-ac374dc9,Maureen's Haven Homeless Outreach Program,shelter,"28 Lincoln St, Riverhead",40.9222526550293,-72.6664810180664,+16317276831,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.maureenshaven.org/
