id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
summit-oh-overture-e14f3146,Humility of Mary Housing Program,shelter,"421 Graham Rd Ste i, Cuyahoga Falls",41.15727996826172,-81.49534606933594,+13303841555,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.hmhousing.org/
summit-oh-overture-9f4c5ed6,Family Promise Of Summit County,shelter,"1040 E Tallmadge Ave, Akron",41.10026550292969,-81.47705841064453,13302538081,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://familypromisesc.org
summit-oh-overture-b38fc4e3,John Hilkert Ozanam Center,meal,"93 Kent St, Akron",41.07258224487305,-81.4879150390625,13302520035,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.svdpcle.org
summit-oh-overture-871d67b0,Faith Ministries Outreach Center,shelter,"922 Kenmore Blvd, Akron",41.04358673095703,-81.5569839477539,13303519133,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
summit-oh-overture-a8593946,Freedom House For Women,shelter,"1101 7th Ave, Akron",41.057594299316406,-81.48905181884766,+13307859720,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fh4women.org
summit-oh-overture-2d1741bd,Valor Home,shelter,"1121 Exeter Rd, Akron",41.03015899658203,-81.4882583618164,+13307737000,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://fcsserves.org/program/valor-home-summit/
summit-oh-overture-d88cb026,"Good Neighbors, Inc",meal,"1453 Goodyear Blvd, Akron",41.07096862792969,-81.4709243774414,+13307331453,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.good-neighbors.org/
summit-oh-overture-19473997,OPEN M Ministry,meal,"941 Princeton St, Akron",41.06114959716797,-81.53388977050781,3304340110,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.openm.org/
summit-oh-overture-2017cd83,Akron-Canton Regional Foodbank,meal,"350 Opportunity Pkwy, Akron",41.072509765625,-81.53645324707031,+13305356900,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://akroncantonfoodbank.org/
summit-oh-overture-b90e03ac,Safe Landing Youth Shelter,shelter,"587 Seiberling St, Akron",41.046756744384766,-81.46975708007812,+13307847200,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.sheltercareinc.org/programsministries/safe-landing-youth-shelter
summit-oh-overture-1bc30f30,The Emergency Assistance Center,meal,"9433 Olde Eight Rd, Northfield",41.31646728515625,-81.53731536865234,+13304677945,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.teacenter.org/
summit-oh-overture-6c6f23a0,Our Community Hunger Center,meal,"9733 Ravenna Rd, Twinsburg",41.312496185302734,-81.43888854980469,+13309633663,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.ourcommunityhungercenter.org/
summit-oh-overture-c5c5b53a,Gennesaret Inc,shelter,"419 W Exchange St, Akron",41.08357620239258,-81.53409576416016,+13309232222,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.gennesaret.net/
summit-oh-overture-58520204,Access Food Distribution Center,shelter,"230 W Market St, Akron",41.088653564453125,-81.52519226074219,+13303760997,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.access-shelter.org/
summit-oh-overture-c8bfce42,Hilltop Shelter,shelter,"1061 Cuyahoga St, Akron",41.12125778198242,-81.52220916748047,+13308675511,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
summit-oh-overture-c5b95dfc,Houses For The Homeless,shelter,"15 Broad St, Akron",41.071250915527344,-81.48857879638672,12342060381,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
summit-oh-overture-50afe1b0,Good Samaritan Hunger Center,meal,"420 S Hawkins Ave, Akron",41.09791946411133,-81.56986999511719,+13308648520,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.goodsamaritanhungercenter.org
summit-oh-overture-4ff0aefc,Haven of Rest Ministries,shelter,"175 E Market St, Akron",41.08363342285156,-81.51189422607422,+13305351563,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.havenofrest.org
summit-oh-overture-7021449e,Nazareth Housing Development Corporation,shelter,"795 Russell Ave, Akron",41.0616569519043,-81.55656433105469,+13303741526,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.nazarethhousing.org/
summit-oh-overture-55c9c783,Shelter Care,shelter,"32 South Ave, Tallmadge",41.09964370727539,-81.4416275024414,+13306305600,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.facebook.com/SOSDICstaff
summit-oh-overture-2c25a60a,North Canton Cares Pantry,meal,"5948 Mayfair Rd, Green",40.908145904541016,-81.42415618896484,+13308719282,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://nccpantry.com/
summit-oh-overture-441fc044,Harvest Home,shelter,"24 N Prospect St, Akron",41.084007263183594,-81.51154327392578,+13304341149,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: www.havenofrest.org
summit-oh-overture-1efcc815,Sarah's House,meal,"414 Pine St, Akron",41.07746124267578,-81.52932739257812,+13305357272,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://sarahshouseakron1.org/contact-us
