id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
tulare-ca-overture-7acfcca2,The New Porterville Rescue Mission,shelter,"30 S A St, Porterville",36.06462860107422,-119.0129623413086,+15592029157,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.prm.freeservers.com/
tulare-ca-overture-6055dc5f,Bethlehem Center,meal,"1638 N Dinuba Blvd, Visalia",36.34500503540039,-119.29647064208984,+15597341572,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.bethlehemcentervisalia.com/
tulare-ca-overture-dd981c4e,Gleanings For the Hungry,meal,"43029 Road 104, Dinuba",36.57263946533203,-119.34149169921875,+15595915009,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://gleanings.org/
tulare-ca-overture-57e192ec,Visalia warming center,shelter,"701 E Race Ave, Visalia",36.33523178100586,-119.28430938720703,+15593569526,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
tulare-ca-overture-50f65fce,Tulare Silvercrest,shelter,"350 N L St, Tulare",36.21177673339844,-119.3452377319336,+15596880704,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://tularesilvercrest.salvationarmy.org
tulare-ca-overture-9a8ebe16,Visalia Rescue Mission,shelter,"741 N Santa Fe St, Visalia",36.33870315551758,-119.2882080078125,+15597404178,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.visaliarescuemission.org/
tulare-ca-overture-e53409bb,Linnell Farm Labor Center,shelter,"1436 N Mariposa Ave, Visalia",36.30966567993164,-119.22449493408203,+15597470732,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.hatc.net
tulare-ca-overture-0df3e6d7,Woodlake Food Pantry,meal,"199 W Antelope Ave, Woodlake",36.41555404663086,-119.10001373291016,+15595642944,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
tulare-ca-overture-8c4b3084,Lighthouse Rescue Mission,shelter,"111 W Kern Ave, Tulare",36.206138610839844,-119.34928131103516,+15596878317,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.lighthouserescue.org/
tulare-ca-overture-0714df63,Exeter Food Closet,meal,"200 S E St, Exeter",36.29477310180664,-119.1402359008789,+15598027883,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
tulare-ca-overture-9dbbbc50,FoodLink Tulare County,meal,"611 2nd St, Exeter",36.290069580078125,-119.13035583496094,+15596513663,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.foodlinktc.org/
