id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
tulsa-overture-3345b0ba,Guts Distribution Center,meal,"4336 S 91st East Ave, Tulsa",36.10274887084961,-95.87638092041016,+19186224422,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.gutschurch.com/
tulsa-overture-907c88aa,Bixby Outreach Center,meal,"77 E Breckenridge Ave, Bixby",35.94222640991211,-95.88288116455078,+19183669226,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://linktr.ee/BixbyOC
tulsa-overture-f1d64123,Food Bank of Eastern Oklahoma,meal,"1304 N Kenosha Ave, Tulsa",36.173377990722656,-95.98277282714844,+19185852800,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://okfoodbank.org/
tulsa-overture-5ca00a99,Holy Highway Evangelistic Center,meal,"1019 E 54th St N, Tulsa",36.23316955566406,-95.977783203125,+19186296621,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
tulsa-overture-69796ff6,Stroud Food Pantry Inc.,meal,"211 N 3rd Ave, Stroud",35.74851608276367,-96.65635681152344,+19189870210,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.stroudfoodpantry.org/
tulsa-overture-8b79f3be,Tulsa Day Center,shelter,"415 W Archer St, Tulsa",36.15596389770508,-95.9987564086914,+19185835588,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.tulsadaycenter.org/
tulsa-overture-7d69e7a1,Iron Gate Tulsa,meal,"501 W Archer St, Tulsa",36.15547561645508,-95.99922180175781,+19188791702,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.irongatetulsa.org/
tulsa-overture-55c05ab6,Jenks Community Food Bank,meal,"324 W Aquarium Pl, Jenks",36.02144241333008,-95.97295379638672,+19189957117,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.jenksfoodbank.org/
tulsa-overture-fa11f2c1,Lisa's House Ministries,shelter,"1409 E 49th St, Tulsa",36.09322738647461,-95.97190856933594,+19184027072,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://lisas.house/
tulsa-overture-889204ca,Survivor Shelters LLC,shelter,"17311 Oklahoma 66, Claremore",36.36193084716797,-95.57643127441406,+19183414672,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.survivorsheltersllc.com/
tulsa-overture-f809815f,StoreHouse,meal,"1700 US-69, Pryor",36.331539154052734,-95.3074722290039,+19188253045,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://TheStorehousePryor.com/
tulsa-overture-e77d9286,The Barracks,shelter,"4717 W Okmulgee Ave, Muskogee",35.754764556884766,-95.41905975341797,+19186875480,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
tulsa-overture-cab47714,Cushing Marketplace,meal,"324 E Moses St, Cushing",35.98122787475586,-96.76921081542969,+19182486190,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://ourdailybreadstillwater.org/cushingmarketplace
tulsa-overture-012149f1,Washington County SPCA,shelter,"16620 State Highway 123, Bartlesville",36.77736282348633,-95.9516830444336,+19183361577,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.wcspca.org/
tulsa-overture-aa7bcca0,City Compassion,meal,"320 W Hensley Blvd, Bartlesville",36.7536506652832,-95.9803237915039,+15393576146,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://citycompassion.com/
tulsa-overture-d58b99c6,Tulsa Housing Authority,shelter,"12330 E Archer St, Tulsa",36.16289520263672,-95.84101867675781,+19184384020,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://tulsahousing.org
tulsa-overture-85ad0f3c,Neighbors In Need,meal,"708 N Main St, Owasso",36.274471282958984,-95.85516357421875,+19189495291,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://neighborsinneed.help/
tulsa-overture-a22d741b,Dividing Bread Ministry,meal,"11612 E 86th St N, Owasso",36.2778434753418,-95.84559631347656,+19182723923,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://DividingBreadMinistry.com/
tulsa-overture-995cca41,Cherokee Nation Food Distribution,meal,"1101 N 12th St, Collinsville",36.37494659423828,-95.83845520019531,+19183714082,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
tulsa-overture-5cb0ef32,Aim High Center Food Pantry,meal,"123 S Ash St, Nowata",36.69931411743164,-95.62953186035156,+19185202137,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
tulsa-overture-655360f1,Pryor Home Rescue Mission,shelter,"640 W Graham Ave, Pryor",36.30921936035156,-95.32740783691406,+19188251650,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.paypal.com/donate/?hosted_button_id=3U6TVVYGV7KWC
tulsa-overture-c85ff713,Lighthouse Outreach Center,shelter,"1411 W Hensley Blvd, Bartlesville",36.75331497192383,-95.99365234375,+19183369029,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://bartlesvillelighthouse.org/
tulsa-overture-02d47576,Family Promise of Tulsa County,shelter,"1616 N Gilcrease Museum Rd, Tulsa",36.17873001098633,-96.02010345458984,+19183924959,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.familypromisetulsa.org/
tulsa-overture-b1b5bb8c,Okmulgee County Homeless Shelter,shelter,"214 N Morton Ave, Okmulgee",35.624595642089844,-95.97278594970703,+19187569098,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://okmulgeehomelessshelter.org/
tulsa-overture-50f0f2e7,Hospitality House of Tulsa,shelter,"1137 S Victor Ave, Tulsa",36.14656448364258,-95.96522521972656,+19187940088,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.hhtulsa.org/
tulsa-overture-82353d85,Colberts Community Resource,meal,"4936 N Johnstown Ave, Tulsa",36.2260627746582,-95.98319244384766,+19184254847,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://colbertscommunityresource.com/
tulsa-overture-5db16e19,The Chosen House Inc,shelter,"423 E 9th St, Chandler",35.701263427734375,-96.87600708007812,+14052403842,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
tulsa-overture-3a48ed18,Bristow Housing Authority,shelter,"1110 S Chestnut St # 1, Bristow",35.82368469238281,-96.38748168945312,+19183675558,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://affordablehousingonline.com/housing-authority/Oklahoma/Bristow-Housing-Authority/OK033
tulsa-overture-a8a3caef,The Gospel Rescue Mission,shelter,"323 Callahan St, Muskogee",35.74789810180664,-95.36370849609375,+19186823489,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://grmok.org/
tulsa-overture-aa97e7a0,Muskogee Community Food Pantry,meal,"601 E Broadway St, Muskogee",35.74614334106445,-95.36091613769531,+14055225050,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
tulsa-overture-64f4c718,Murrow Indian Children's Home,shelter,"2540 Murrow Cir, Muskogee",35.77897644042969,-95.3388900756836,+19186822586,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.murrowindianchildrenshome.org/
tulsa-overture-1f882cbb,Tulsa Housing Authority Murdock Villa,shelter,"828 S Wheeling Ave, Tulsa",36.14860153198242,-95.96617889404297,+19185997360,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
tulsa-overture-f2c94c84,Northstar Storehouse,meal,"5 S Vann St, Pryor",36.30720138549805,-95.3157730102539,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
tulsa-overture-fb071c38,Cherokee Nation Housing Authority,shelter,"100 Cherokee Hts, Pryor",36.22966766357422,-95.24980926513672,+19188254811,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.cherokee.org
tulsa-overture-39a4fc8d,Tulsa & Creek Counties Senior Nutrition Program,meal,"8401 E 134th St S, Bixby",35.96952819824219,-95.88371276855469,+19183694160,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.tccsnp.com/
tulsa-overture-7335382a,Neighborhood Ministries Regional FoodBank,meal,"1005 E Kirk St, Perkins",35.97884750366211,-97.02100372314453,+14053770927,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
tulsa-overture-5fdce0cd,Freedom Ministries Of Muskogee Food Pantry,meal,"2411 W Okmulgee St, Muskogee",35.75471115112305,-95.39453125,+19182219959,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.fmmuskogee.org
tulsa-overture-bbb03829,Loaves And Fishes - Food Distribution Center,meal,"11321 E 19th St, Tulsa",36.13606643676758,-95.84999084472656,+19182348577,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: loavesandfishes.net
tulsa-overture-ef3dc69b,Kendall Whittier Food Pantry - Food Distribution Center,meal,"2915 E 5th St, Tulsa",36.15392303466797,-95.9466781616211,+19185923000,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://kendallwhittierinc.org
tulsa-overture-85f7a420,Dividing Bread Ministry Hominy,meal,"121 S Price Ave, Hominy",36.4146614074707,-96.39444732666016,+19187598211,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
tulsa-overture-34c190e5,CARD Senior Nutrition Dewey,meal,"301 E Angus Ave, Dewey",36.789791107177734,-95.93716430664062,+19185341270,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
tulsa-overture-13828d4e,Tulsa Housing Authority,shelter,"6565 S Newport Ave, Tulsa",36.068355560302734,-95.97733306884766,+19187433337,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.tulsahousing.org
