id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
ulster-ny-overture-8ddc6a86,Rochester Food Pantry,meal,"15 Tobacco Rd, Rochester",41.78646469116211,-74.2280502319336,+18456267501,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.rochesterfoodpantry.org/
ulster-ny-overture-34b06422,Rondout Valley Food Pantry,meal,"3775 Main St, Stone Ridge",41.84682846069336,-74.14543151855469,+18456874013,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.rvfoodpantry.org/
ulster-ny-overture-7fdb76bf,"Worker Justice Center For New York, Inc. - Food Distribution Center",meal,"9 Main St, Kingston",41.93332290649414,-74.01696014404297,18453316615,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.wjcny.org
ulster-ny-overture-095d877a,Family Inn Shelter,shelter,"38 Thomas St, Kingston",41.92953109741211,-74.00154876708984,+18453401847,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.familyofwoodstockinc.org/
ulster-ny-overture-100d6d91,Ulster Community Action Program - Food Distribution Center,meal,"85 Center St, Ellenville",41.717037200927734,-74.39466857910156,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://uccac.org
ulster-ny-overture-86423964,Caring Hands Soup Kitchen,meal,"122 Clinton Ave, Kingston",41.929710388183594,-74.01217651367188,+18453317188,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=EU7QG9QAJW9BG
ulster-ny-overture-b5e033c0,Reservoir Food Pantry,meal,"Behind the former Trail Nursery 4073, 4073 NY-28, Boiceville",42.00627136230469,-74.2667236328125,+18456633353,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.reservoirfoodpantry.org/
ulster-ny-overture-83e40b33,Family Outreach Food Pantry,meal,"529 US-44, Marlborough",41.692665100097656,-74.0047378540039,+18458915945,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://regionalfoodbank.net/agencies/family-outreach-food-pantry/
ulster-ny-overture-61cc48af,Happy to Help Food Pantry,meal,"35 Pearl St, Kingston",41.93212127685547,-74.0171127319336,+18453313030,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
ulster-ny-overture-beb90505,Saugerties Food Pantry,meal,"44 Livingston St, Saugerties",42.078041076660156,-73.95641326904297,+18452466885,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
ulster-ny-overture-355ebfc1,Bread Of Life Food Pantry,meal,"865 Neighborhood Rd, Lake Katrine",41.98860549926758,-73.99595642089844,18445464734,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://kingsfire.org
ulster-ny-overture-1202f324,Kingston Community Action Food Pantry,meal,"70 Lindsley Ave, Kingston",41.92765808105469,-73.97279357910156,+18453388750,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.uccac.org/
ulster-ny-overture-f13aa35b,Ulster Community Action Program - Food Distribution Center,meal,"15 Church St, Highland",41.71909713745117,-73.96533966064453,18453388750,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://uccac.org
ulster-ny-overture-16cd8ccc,People's Place,meal,"17 Saint James St, Kingston",41.931922912597656,-74.01192474365234,+18453384030,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.peoplesplace.org/
ulster-ny-overture-88aefae0,The Good Neighbor Food Pantry,meal,"89 Tinker St, Woodstock",42.04019546508789,-74.12235260009766,+18454175535,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.goodneighborfoodpantryofwoodstock.org/
ulster-ny-overture-d4f1e1d7,Angel Food East,meal,"207 Albany Ave, Kingston",41.934810638427734,-74.00729370117188,+18453316538,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.angelfoodeast.org/
