id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
ventura-ca-overture-deb702f9,Ventura County Rescue Mission,shelter,"234 E 6th St, Oxnard",34.1960563659668,-119.17523956298828,+18054364602,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://vcrescuemission.org/
ventura-ca-overture-98d05530,Mercy Housing,shelter,"1051 N A St, Oxnard",34.212154388427734,-119.1786880493164,+18059889035,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.mercyhousing.org
ventura-ca-overture-6ccb4ab4,The City Center,shelter,"837 E Thompson Blvd, Ventura",34.27851486206055,-119.28790283203125,+18056289035,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.TheCityCenter.org/
ventura-ca-overture-76274650,Housing Authority of the City of San Buenaventura,shelter,"11122 Snapdragon St, Ventura",34.28592300415039,-119.15050506591797,+18056475990,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://housing-authority-of-city-of-san-buenaventura.hub.biz/
ventura-ca-overture-3ebb04a0,"Gabriel's House - The Kingdom Center, Oxnard",shelter,"1450 S Rose Ave, Oxnard",34.18653106689453,-119.15948486328125,+18054873400,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.gabriels-house.org/
ventura-ca-overture-7a4da36e,Vc Rescue Mission - Food Distribution Center,meal,"234 E 6th St, Oxnard",34.19586181640625,-119.17536926269531,18054364602,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.vcrescuemission.org/index.php/en/ventura-super-thrift-stores
ventura-ca-overture-725060fb,Mercy House,shelter,"2323 Knoll Dr, Ventura",34.25139236450195,-119.22029113769531,17148367188,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: mercyhouse.net
ventura-ca-overture-b4aa6309,Seventh Day Adventist Community Service Food Pantry,meal,"6300 Telephone Rd, Ventura",34.26536560058594,-119.2076187133789,+18056429523,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://second-chance-mission-of-hope-inc-nc.hub.biz
ventura-ca-overture-99475cc1,Saticoy Food Hub,meal,"1297 Los Angeles Ave, Ventura",34.28321075439453,-119.14828491210938,+18052939417,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://Www.Saticoyfoodhub.org/
ventura-ca-overture-92812ccf,Manna Conejo Valley Food Bank,meal,"3020 Crescent Way, Thousand Oaks",34.16909408569336,-118.83760833740234,8054974959,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://mannaconejo.org/
ventura-ca-overture-c40e4cf2,Many Meals,meal,"121 Davis St, Santa Paula",34.354190826416016,-119.06114196777344,+18053405025,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://spiritofsantapaula.org/
ventura-ca-overture-a4f2c10e,Mercy Housing - Casa San Juan - Food Distribution Center,meal,"838 W 5th St, Oxnard",34.19727325439453,-119.18714141845703,18054833843,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.mercyhousing.org
ventura-ca-overture-68fd67ea,Shelter Care Resources,shelter,"940 S A St, Oxnard",34.19171905517578,-119.17822265625,18056127091,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.sheltercareresources.com
ventura-ca-overture-cbf0e9bc,La Rahada Apartments.,shelter,"1036 Ashland Ave, Simi Valley",34.26853942871094,-118.77954864501953,+18055222853,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://manymansions.org
ventura-ca-overture-c10ce4dd,The Samaritan Center,meal,"280 Royal Ave, Simi Valley",34.263797760009766,-118.7923355102539,+18055799166,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.thesamaritancenterofsimivalley.org
ventura-ca-overture-b7b5f4aa,Project Understanding Homeless to Home (H2H),shelter,"43 E Vince St, Ventura",34.294246673583984,-119.29621887207031,+18056521326,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://projectunderstanding.org/
ventura-ca-overture-6b8f9434,Ojai Valley Grange,shelter,"381 Cruzero St, Ojai",34.43389892578125,-119.28196716308594,18056468414,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.franciscabeach.com
ventura-ca-overture-61552487,Catholic Charities Moorpark,meal,"612 Spring Rd UNIT 101, Moorpark",34.284297943115234,-118.87408447265625,+18055290720,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.catholiccharitiesusa.org
ventura-ca-overture-ea85a73f,The Pure Pantry,meal,"79 E Daily Dr, Camarillo",34.222110748291016,-119.0689468383789,8668817873,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
ventura-ca-overture-c7aeb491,Food Share,meal,"4156 Southbank Rd, Oxnard",34.255462646484375,-119.16172790527344,+18059837100,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.foodshare.com/
ventura-ca-overture-3114d158,Care Podz,shelter,"701 E Santa Clara St #15, Ventura",34.279727935791016,-119.28973388671875,+18056423553,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.carepodz.com/
