id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
virginia-beach-va-overture-787f89cc,Grove Collaborative Services,shelter,"3419 Virginia Beach Blvd PMB 5285, Virginia Beach",36.839935302734375,-76.09175109863281,+17573873797,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.grovecollaborativeservices.org
virginia-beach-va-overture-e801a0a3,The Chapel Pantry,meal,"2020 Laskin Rd, Virginia Beach",36.84703826904297,-76.0393295288086,+17574286763,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://chapelpantry.org/
virginia-beach-va-overture-65fd7756,Seton Youth Shelters,shelter,"101 N Lynnhaven Rd Ste 101, Virginia Beach",36.83924102783203,-76.06964874267578,+17579635795,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://setonyouthservices.org/
virginia-beach-va-overture-c2827157,Vetshouse,shelter,"1005 Bennington Rd, Virginia Beach",36.80820083618164,-76.21180725097656,+17573061000,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.vetshouseinc.org
virginia-beach-va-overture-993cc477,William Lee & Patrick Maurice Independent Living Llc,shelter,"1385 Fordham Dr, Virginia Beach",36.80082702636719,-76.17627716064453,7578223298,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
virginia-beach-va-overture-b0c7bfb0,Fresh Food Wednesdays VB,meal,"409 First Colonial Rd, Virginia Beach",36.844627380371094,-76.02129364013672,+17574283720,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.thegatheringatscottmemorialumc.com/fresh-food-wednesdays/
virginia-beach-va-overture-d6ba5c88,Crescent Square,shelter,"1333 Diamond Springs Rd, Virginia Beach",36.88768005371094,-76.18083953857422,+17575781776,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.virginiasupportivehousing.org/regions/hampton-roads/crescent-square
virginia-beach-va-overture-4b0dd8e4,Manna Ministry of Tidewater,meal,"216 Business Park Dr Suite B, Virginia Beach",36.84512710571289,-76.17707061767578,+17576090709,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/mannaministry
virginia-beach-va-overture-8798cf7c,Judeo-Christian Outreach Center,shelter,"1053 Virginia Beach Blvd, Virginia Beach",36.84161376953125,-75.99382781982422,+17574912846,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.jcoc.org/
virginia-beach-va-overture-21dc2e2b,Storehouse Food Pantry,meal,"2708 Princess Anne Rd, Virginia Beach",36.76044845581055,-76.06593322753906,+17574273272,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://ccumc.net/connect-care/food-pantry
