id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
wake-nc-overture-7478d429,South Wilmington Street Center,shelter,"1420 S Wilmington St, Raleigh",35.76206588745117,-78.6398696899414,+19198579428,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.wakegov.com/humanservices/locations/swsc/Pages/default.aspx
wake-nc-overture-300be247,Family Promise of the Triangle,shelter,"903 Method Rd, Raleigh",35.78679656982422,-78.6935043334961,+19198326024,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.familypromisetriangle.org/
wake-nc-overture-d4f4ab81,Shepherd's Table Soup Kitchen,meal,"121 Hillsborough St, Raleigh",35.77998733520508,-78.64116668701172,+19198312010,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.shepherds-table.org/
wake-nc-overture-415fc1ec,Catholic Parish Outreach Food Pantry,meal,"2013 N Raleigh Blvd, Raleigh",35.808780670166016,-78.60331726074219,+19198730245,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.cporaleigh.org/
wake-nc-overture-c0487e12,Fuquay Varina Emergency Food Pantry,meal,"216 W Academy St, Fuquay-Varina",35.58445358276367,-78.80146026611328,+19195527720,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fvfoodpantry.com/
wake-nc-overture-08409367,North Raleigh Ministries Food Pantry,meal,"9650 Strickland Rd  Ste 175, Raleigh",35.904197692871094,-78.65678405761719,191984466761,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://northraleighministries.com
wake-nc-overture-d64c7409,Feeding the Carolinas,meal,"9121 Anson Way, Raleigh",35.89610290527344,-78.64690399169922,+19199871855,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://feedingthecarolinas.org/
wake-nc-overture-b24e0721,Catholic Charities Parish Outreach Food Pantry,meal,"3000 Highwoods Blvd, Raleigh",35.8200798034668,-78.60303497314453,19197908533,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://catholiccharitiesraleigh.org
wake-nc-overture-fda62bb2,Holly Springs Food Cupboard,meal,"621 W Holly Springs Rd, Holly Springs",35.6555061340332,-78.8426742553711,+19195772210,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.hsfoodcupboard.org/
wake-nc-overture-df47229e,Wrenn House,shelter,"908 W Morgan St, Raleigh",35.78131866455078,-78.655517578125,+19198327866,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.havenhousenc.org/contact-us
wake-nc-overture-15ae8b5a,Triangle Blessing Box,meal,"334 N Allen Rd, Wake Forest",35.98077392578125,-78.50038146972656,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
wake-nc-overture-10e36a00,Salvation Army - Raleigh - Food Distribution Center,meal,"215 S Person St, Raleigh",35.777366638183594,-78.63467407226562,19198346733,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.salvationarmy.org
wake-nc-overture-6d5bbb70,Design Food Group,meal,"343 S White St, Wake Forest",35.975894927978516,-78.50988006591797,9195561188,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.designfoodgroup.com
wake-nc-overture-6dc37f89,AME Men's Empowerment Center,shelter,"412 Capital Blvd, Raleigh",35.78663635253906,-78.64250946044922,+19199315824,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://giv.li/ttsbg9
wake-nc-overture-2f386672,Raleigh Rescue Mission,shelter,"314 E Hargett St, Raleigh",35.77788543701172,-78.63431549072266,+19198289014,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.raleighrescue.org/
wake-nc-overture-181e5715,Tri-Area Ministry Food Pantry,meal,"149 E Holding Ave, Wake Forest",35.97198486328125,-78.51335906982422,+19195567144,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://triareaministry.com/
wake-nc-overture-d31f30b1,The Dubois Center - Food Distribution Center,meal,"518 N Franklin St, Wake Forest",35.98497009277344,-78.49974060058594,+19195541436,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
wake-nc-overture-43bc41c2,Dorothy Mae Hall Women's Center,shelter,"15 W 3rd St, Wendell",35.7809944152832,-78.37043762207031,+19193718523,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
