id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
washington-ar-overture-5c234b4a,Ranger's Pantry Pet Food Bank,meal,"818 N Sang Ave, Fayetteville",36.075984954833984,-94.18854522705078,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.fayetteville-ar.gov/economicdevelopment
washington-ar-overture-2fe423f2,7hills Homeless Center,shelter,"1832 S School Ave, Fayetteville",36.04430389404297,-94.16504669189453,+14799664378,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://7hillscenter.org/
washington-ar-overture-0098f7b5,Little Free Pantry,meal,Fayetteville,36.10426330566406,-94.1338119506836,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.littlefreepantry.org/
washington-ar-overture-9b905515,Springdale School District Treehouse Pantry,meal,"802 W Allen Ave, Springdale",36.182594299316406,-94.13782501220703,+14793344654,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
washington-ar-overture-36b12ef4,Soul Food - Food Pantry,meal,"118 N Elm St, Elm Springs",36.20682907104492,-94.23330688476562,14792481290,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.elmsprings.church
washington-ar-overture-1e4288e9,Fayetteville Public Schools Outback,meal,"2350 W Old Farmington Rd Building F, Fayetteville",36.05742263793945,-94.19253540039062,+14794443026,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
washington-ar-overture-8a74b1fc,Compassion 479,meal,"3157 W Sunset Ave, Springdale",36.17483901977539,-94.16533660888672,+14797175662,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.weare479.com/
washington-ar-overture-76d87d16,New Beginnings NWA,shelter,"251 W 19th St, Fayetteville",36.04324722290039,-94.16327667236328,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://newbeginningsnwa.org/donate
washington-ar-overture-2afc56aa,Lifesource International,meal,"682 S Lt Col Leroy Pond Ave, Fayetteville",36.055904388427734,-94.1673812866211,+14795214000,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.lifesourceinternational.org
washington-ar-overture-320c946a,Bread of Life,meal,"208 W Emma Ave, Springdale",36.18518829345703,-94.13292694091797,+14797514610,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.firstchurchspringdale.org
